6.0	-40.0	-94.0	-55.918829638072125	6.111141425333258	975664	-5.4557989E7	TXPower,8
15.0	-33.0	-105.0	-71.17986547162346	9.012754676737934	2034515	-1.44816504E8	TXPower,12
6.0	-32.0	-104.0	-66.06749386682505	8.914443043934558	2124919	-1.40388073E8	TXPower,12
6.0	-43.0	-98.0	-60.15046778374316	7.545013854770139	314034	-1.8889292E7	TXPower,7
4.0	-32.0	-104.0	-65.77819158118642	9.274652338078957	828359	-5.4487957E7	TXPower,12
4.0	-43.0	-98.0	-59.199270717849224	7.620538235145868	115456	-6834911.0	TXPower,7
10.0	-42.0	-95.0	-60.50269170554971	6.059797168435615	390273	-2.3612567E7	TXPower,8
4.0	-40.0	-94.0	-53.74195028988619	6.128214562698994	372560	-2.0022101E7	TXPower,8
15.0	-44.0	-98.0	-66.9978870864067	6.953192331022691	314258	-2.1054622E7	TXPower,7
10.0	-43.0	-97.0	-65.05746043998457	7.800583414725773	129550	-8428194.0	TXPower,7
15.0	-42.0	-95.0	-61.797334497906334	5.9374908730271025	973175	-6.0139621E7	TXPower,8
10.0	-33.0	-105.0	-69.96863508570392	9.078671167981858	826975	-5.7862312E7	TXPower,12
