Distance,10.0
TXDevice,iPhone11_Pro
TXPower,7
RXDevice,iPhoneXR
0.001,Bluetooth,-62
0.001,Bluetooth,-62
0.035,Bluetooth,-83
0.036,Bluetooth,-83
0.071,Bluetooth,-55
0.072,Bluetooth,-55
0.102,Bluetooth,-59
0.103,Bluetooth,-59
0.247,Bluetooth,-54
0.248,Bluetooth,-54
0.284,Bluetooth,-66
0.285,Bluetooth,-66
0.323,Bluetooth,-52
0.325,Bluetooth,-51
0.364,Bluetooth,-54
0.405,Bluetooth,-64
0.407,Bluetooth,-64
0.443,Bluetooth,-52
0.445,Bluetooth,-52
0.475,Bluetooth,-55
0.477,Bluetooth,-55
0.513,Bluetooth,-66
0.515,Bluetooth,-66
0.551,Bluetooth,-54
0.552,Bluetooth,-53
0.583,Bluetooth,-56
0.584,Bluetooth,-54
0.696,Bluetooth,-52
0.697,Bluetooth,-52
0.766,Bluetooth,-62
0.767,Bluetooth,-63
0.797,Bluetooth,-51
0.798,Bluetooth,-52
0.838,Bluetooth,-54
0.898,Bluetooth,-54
0.900,Bluetooth,-54
0.970,Bluetooth,-51
0.972,Bluetooth,-51
1.008,Bluetooth,-54
1.009,Bluetooth,-54
1.046,Bluetooth,-63
1.047,Bluetooth,-62
1.076,Bluetooth,-52
1.078,Bluetooth,-52
1.123,Bluetooth,-53
1.124,Bluetooth,-54
1.155,Bluetooth,-61
1.157,Bluetooth,-62
1.183,Bluetooth,-52
1.184,Bluetooth,-51
1.216,Bluetooth,-51
1.217,Bluetooth,-53
1.251,Bluetooth,-54
1.253,Bluetooth,-55
1.326,Bluetooth,-52
1.328,Bluetooth,-55
1.364,Bluetooth,-56
1.365,Bluetooth,-55
1.405,Bluetooth,-71
1.407,Bluetooth,-70
1.442,Bluetooth,-57
1.444,Bluetooth,-58
1.474,Bluetooth,-57
1.475,Bluetooth,-57
1.506,Bluetooth,-67
1.508,Bluetooth,-68
1.573,Bluetooth,-53
1.575,Bluetooth,-54
1.604,Bluetooth,-56
1.606,Bluetooth,-55
1.640,Bluetooth,-66
1.641,Bluetooth,-68
1.672,Bluetooth,-60
1.736,Bluetooth,-59
1.737,Bluetooth,-58
1.774,Bluetooth,-70
1.776,Bluetooth,-70
1.808,Bluetooth,-71
1.810,Bluetooth,-69
1.843,Bluetooth,-60
1.844,Bluetooth,-60
1.876,Bluetooth,-59
1.878,Bluetooth,-60
1.907,Bluetooth,-59
1.909,Bluetooth,-59
1.942,Bluetooth,-60
1.944,Bluetooth,-60
1.978,Bluetooth,-58
1.980,Bluetooth,-58
2.013,Bluetooth,-61
2.014,Bluetooth,-62
2.043,Bluetooth,-64
2.044,Bluetooth,-65
2.073,Bluetooth,-73
2.075,Bluetooth,-73
2.112,Bluetooth,-60
2.113,Bluetooth,-60
2.178,Bluetooth,-62
2.179,Bluetooth,-62
2.216,Bluetooth,-65
2.217,Bluetooth,-65
2.253,Bluetooth,-61
2.254,Bluetooth,-61
2.281,Bluetooth,-65
2.282,Bluetooth,-64
2.312,Bluetooth,-65
2.313,Bluetooth,-65
2.345,Bluetooth,-60
2.347,Bluetooth,-62
2.381,Bluetooth,-66
2.383,Bluetooth,-67
2.414,Bluetooth,-62
2.415,Bluetooth,-62
2.446,Bluetooth,-69
2.447,Bluetooth,-68
2.481,Bluetooth,-62
2.483,Bluetooth,-61
2.517,Bluetooth,-62
2.519,Bluetooth,-61
2.557,Bluetooth,-71
2.559,Bluetooth,-71
2.594,Bluetooth,-65
2.596,Bluetooth,-65
2.623,Bluetooth,-63
2.625,Bluetooth,-63
2.658,Bluetooth,-60
2.659,Bluetooth,-61
2.690,Bluetooth,-64
2.691,Bluetooth,-64
2.720,Bluetooth,-64
2.722,Bluetooth,-64
2.751,Bluetooth,-59
2.753,Bluetooth,-59
2.790,Bluetooth,-66
2.791,Bluetooth,-65
2.826,Bluetooth,-72
2.828,Bluetooth,-73
2.894,Bluetooth,-70
2.895,Bluetooth,-70
2.970,Bluetooth,-80
2.972,Bluetooth,-81
3.006,Bluetooth,-59
3.007,Bluetooth,-60
3.040,Bluetooth,-63
3.042,Bluetooth,-63
3.080,Bluetooth,-69
3.082,Bluetooth,-68
3.124,Bluetooth,-62
3.125,Bluetooth,-61
3.188,Bluetooth,-72
3.190,Bluetooth,-72
3.253,Bluetooth,-58
3.255,Bluetooth,-57
3.288,Bluetooth,-60
3.289,Bluetooth,-61
3.327,Bluetooth,-73
3.328,Bluetooth,-74
3.365,Bluetooth,-57
3.366,Bluetooth,-59
3.471,Bluetooth,-58
3.473,Bluetooth,-58
3.503,Bluetooth,-60
3.504,Bluetooth,-60
3.544,Bluetooth,-67
3.545,Bluetooth,-66
3.575,Bluetooth,-67
3.576,Bluetooth,-68
3.605,Bluetooth,-58
3.606,Bluetooth,-58
3.640,Bluetooth,-67
3.642,Bluetooth,-66
3.680,Bluetooth,-72
3.682,Bluetooth,-71
3.710,Bluetooth,-59
3.711,Bluetooth,-60
3.744,Bluetooth,-67
3.745,Bluetooth,-68
3.782,Bluetooth,-76
3.783,Bluetooth,-76
3.815,Bluetooth,-74
3.816,Bluetooth,-74
3.890,Bluetooth,-68
3.892,Bluetooth,-68
3.925,Bluetooth,-70
3.927,Bluetooth,-70
3.961,Bluetooth,-71
3.962,Bluetooth,-71
159.372,Bluetooth,-61
159.374,Bluetooth,-61
159.437,Bluetooth,-67
159.439,Bluetooth,-67
159.516,Bluetooth,-62
159.517,Bluetooth,-62
159.556,Bluetooth,-67
159.557,Bluetooth,-67
159.591,Bluetooth,-61
159.592,Bluetooth,-60
159.621,Bluetooth,-63
159.623,Bluetooth,-62
159.659,Bluetooth,-67
159.660,Bluetooth,-67
159.689,Bluetooth,-67
159.691,Bluetooth,-67
159.722,Bluetooth,-60
159.723,Bluetooth,-60
159.757,Bluetooth,-61
159.758,Bluetooth,-62
159.791,Bluetooth,-67
