Distance,10.0
TXDevice,iPhone6s
TXPower,12
RXDevice,iPhone6s
0.000,Bluetooth,-74
0.001,Bluetooth,-74
0.031,Bluetooth,-72
0.129,Bluetooth,-72
0.131,Bluetooth,-73
0.162,Bluetooth,-72
0.163,Bluetooth,-73
0.193,Bluetooth,-73
0.194,Bluetooth,127
0.225,Bluetooth,-73
0.227,Bluetooth,-74
0.260,Bluetooth,-73
0.261,Bluetooth,-72
0.294,Bluetooth,-72
0.295,Bluetooth,127
0.363,Bluetooth,-75
0.364,Bluetooth,-75
0.397,Bluetooth,-71
0.397,Bluetooth,-73
0.429,Bluetooth,-71
0.430,Bluetooth,127
0.458,Bluetooth,127
0.491,Bluetooth,-72
0.493,Bluetooth,-73
0.523,Bluetooth,-73
0.525,Bluetooth,-72
0.557,Bluetooth,-72
0.560,Bluetooth,127
0.587,Bluetooth,-74
0.588,Bluetooth,-74
0.623,Bluetooth,-73
0.625,Bluetooth,-72
0.654,Bluetooth,-71
0.655,Bluetooth,127
0.716,Bluetooth,-73
0.717,Bluetooth,-75
0.748,Bluetooth,-74
0.749,Bluetooth,-74
0.779,Bluetooth,-72
0.780,Bluetooth,127
0.811,Bluetooth,-74
0.813,Bluetooth,-75
0.844,Bluetooth,-75
0.845,Bluetooth,-76
0.875,Bluetooth,-73
0.877,Bluetooth,-73
0.905,Bluetooth,-72
0.906,Bluetooth,127
0.934,Bluetooth,-75
0.935,Bluetooth,-75
0.969,Bluetooth,126
1.001,Bluetooth,-74
1.002,Bluetooth,-75
1.034,Bluetooth,-73
1.034,Bluetooth,126
1.065,Bluetooth,-74
1.066,Bluetooth,-74
1.098,Bluetooth,-74
1.100,Bluetooth,-75
1.129,Bluetooth,-73
1.130,Bluetooth,126
1.159,Bluetooth,-74
1.160,Bluetooth,127
1.188,Bluetooth,-75
1.189,Bluetooth,-76
1.219,Bluetooth,-75
1.219,Bluetooth,-74
1.250,Bluetooth,-73
1.251,Bluetooth,127
1.281,Bluetooth,-73
1.282,Bluetooth,127
1.310,Bluetooth,-75
1.311,Bluetooth,-76
1.343,Bluetooth,-75
1.344,Bluetooth,-76
1.376,Bluetooth,-72
1.377,Bluetooth,127
1.439,Bluetooth,-76
1.440,Bluetooth,-77
1.475,Bluetooth,-74
1.477,Bluetooth,-73
1.510,Bluetooth,-73
1.511,Bluetooth,126
1.540,Bluetooth,-75
1.543,Bluetooth,-75
1.575,Bluetooth,-74
1.576,Bluetooth,-74
1.610,Bluetooth,-74
1.611,Bluetooth,126
1.641,Bluetooth,-73
1.647,Bluetooth,127
1.668,Bluetooth,-74
1.669,Bluetooth,-75
1.701,Bluetooth,-75
1.702,Bluetooth,-74
1.731,Bluetooth,-74
1.732,Bluetooth,127
1.766,Bluetooth,-73
1.767,Bluetooth,126
1.799,Bluetooth,-74
1.800,Bluetooth,-74
1.830,Bluetooth,-74
1.831,Bluetooth,-73
1.860,Bluetooth,-73
1.862,Bluetooth,127
1.896,Bluetooth,-74
1.897,Bluetooth,-74
1.924,Bluetooth,-75
1.927,Bluetooth,-76
1.954,Bluetooth,-75
1.955,Bluetooth,-74
1.986,Bluetooth,-72
1.987,Bluetooth,127
2.015,Bluetooth,-75
2.016,Bluetooth,-75
2.080,Bluetooth,-74
2.081,Bluetooth,-73
2.113,Bluetooth,-73
2.114,Bluetooth,-74
2.145,Bluetooth,-74
2.146,Bluetooth,-76
2.175,Bluetooth,-75
2.177,Bluetooth,-75
2.206,Bluetooth,-76
2.207,Bluetooth,-74
2.240,Bluetooth,-73
2.242,Bluetooth,126
2.269,Bluetooth,-75
2.271,Bluetooth,-75
2.299,Bluetooth,-75
2.300,Bluetooth,-74
2.331,Bluetooth,-74
2.332,Bluetooth,-73
2.364,Bluetooth,-72
2.365,Bluetooth,-75
2.398,Bluetooth,-75
2.398,Bluetooth,-76
