Distance,15.0
TXDevice,iPhone6s
TXPower,12
RXDevice,iPhone6s
0.000,Bluetooth,-78
0.001,Bluetooth,-79
0.035,Bluetooth,-76
0.036,Bluetooth,-76
0.065,Bluetooth,-76
0.065,Bluetooth,-78
0.095,Bluetooth,-81
0.096,Bluetooth,-80
0.125,Bluetooth,-79
0.126,Bluetooth,-80
0.159,Bluetooth,-77
0.160,Bluetooth,-77
0.193,Bluetooth,-76
0.195,Bluetooth,-76
0.222,Bluetooth,-80
0.223,Bluetooth,-81
0.254,Bluetooth,-78
0.255,Bluetooth,-78
0.285,Bluetooth,-77
0.320,Bluetooth,-78
0.320,Bluetooth,-78
0.353,Bluetooth,-80
0.354,Bluetooth,-80
0.385,Bluetooth,-76
0.386,Bluetooth,-76
0.418,Bluetooth,-79
0.419,Bluetooth,-79
0.448,Bluetooth,-79
0.449,Bluetooth,-79
0.478,Bluetooth,-79
0.480,Bluetooth,-80
0.509,Bluetooth,-76
0.511,Bluetooth,-76
0.544,Bluetooth,-77
0.546,Bluetooth,-79
0.573,Bluetooth,-79
0.574,Bluetooth,-80
0.606,Bluetooth,-79
0.608,Bluetooth,-80
0.639,Bluetooth,-76
0.640,Bluetooth,-76
0.675,Bluetooth,-76
0.676,Bluetooth,-78
0.704,Bluetooth,-77
0.705,Bluetooth,-78
0.735,Bluetooth,-76
0.736,Bluetooth,-75
0.768,Bluetooth,-75
0.769,Bluetooth,-75
0.798,Bluetooth,-75
0.800,Bluetooth,-76
0.829,Bluetooth,-79
0.831,Bluetooth,-79
0.860,Bluetooth,-74
0.861,Bluetooth,-74
0.890,Bluetooth,-74
0.891,Bluetooth,-74
0.920,Bluetooth,-75
0.921,Bluetooth,-76
0.949,Bluetooth,-78
0.950,Bluetooth,-78
0.980,Bluetooth,-74
0.981,Bluetooth,-75
1.010,Bluetooth,-72
1.011,Bluetooth,-73
1.041,Bluetooth,-75
1.042,Bluetooth,-75
1.071,Bluetooth,-76
1.073,Bluetooth,-77
1.105,Bluetooth,-71
