Distance,6.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
0.022,Bluetooth,-47
0.059,Bluetooth,-48
0.060,Bluetooth,-48
0.099,Bluetooth,-48
0.100,Bluetooth,-48
0.138,Bluetooth,-48
0.138,Bluetooth,-48
0.174,Bluetooth,-48
0.205,Bluetooth,-48
0.206,Bluetooth,-48
0.243,Bluetooth,-48
0.244,Bluetooth,-48
0.321,Bluetooth,-49
0.321,Bluetooth,-48
0.350,Bluetooth,-47
0.352,Bluetooth,-47
0.390,Bluetooth,-49
0.391,Bluetooth,-48
0.419,Bluetooth,-48
0.420,Bluetooth,-48
0.450,Bluetooth,-48
0.451,Bluetooth,-48
0.632,Bluetooth,-48
0.633,Bluetooth,-49
0.698,Bluetooth,-47
0.698,Bluetooth,-48
0.728,Bluetooth,-49
0.729,Bluetooth,-48
0.758,Bluetooth,-49
0.934,Bluetooth,-48
0.935,Bluetooth,-48
0.964,Bluetooth,-48
0.964,Bluetooth,-48
1.007,Bluetooth,-48
1.008,Bluetooth,-48
1.143,Bluetooth,-48
1.144,Bluetooth,-49
1.178,Bluetooth,-49
1.179,Bluetooth,-49
1.207,Bluetooth,-49
1.208,Bluetooth,-49
1.344,Bluetooth,-50
1.346,Bluetooth,-49
1.380,Bluetooth,-50
1.415,Bluetooth,-48
1.417,Bluetooth,-49
1.493,Bluetooth,-49
1.494,Bluetooth,-49
1.524,Bluetooth,-49
1.525,Bluetooth,-49
1.562,Bluetooth,-49
1.564,Bluetooth,-49
1.597,Bluetooth,-48
1.597,Bluetooth,-48
1.631,Bluetooth,-49
1.632,Bluetooth,-49
1.671,Bluetooth,-50
1.702,Bluetooth,-49
1.742,Bluetooth,-49
1.744,Bluetooth,-50
1.777,Bluetooth,-49
1.778,Bluetooth,-49
1.913,Bluetooth,-50
1.914,Bluetooth,-48
1.944,Bluetooth,-49
1.945,Bluetooth,-48
1.982,Bluetooth,-48
2.086,Bluetooth,-49
2.087,Bluetooth,-49
2.115,Bluetooth,-49
2.117,Bluetooth,-49
2.151,Bluetooth,-49
2.256,Bluetooth,-49
2.257,Bluetooth,-49
2.258,Bluetooth,-49
2.293,Bluetooth,-50
2.294,Bluetooth,-49
2.330,Bluetooth,-49
2.331,Bluetooth,-49
2.396,Bluetooth,-49
2.396,Bluetooth,-49
2.426,Bluetooth,-49
2.427,Bluetooth,-49
2.463,Bluetooth,-48
2.465,Bluetooth,-49
2.500,Bluetooth,-49
2.500,Bluetooth,-48
2.535,Bluetooth,-49
2.537,Bluetooth,-49
2.570,Bluetooth,-48
2.601,Bluetooth,-50
2.603,Bluetooth,-49
2.637,Bluetooth,-49
2.638,Bluetooth,-48
2.715,Bluetooth,-49
2.716,Bluetooth,-48
2.756,Bluetooth,-49
2.757,Bluetooth,-49
2.792,Bluetooth,-48
2.793,Bluetooth,-50
2.830,Bluetooth,-50
2.831,Bluetooth,-49
2.868,Bluetooth,-48
2.905,Bluetooth,-50
2.907,Bluetooth,-49
2.985,Bluetooth,-48
2.987,Bluetooth,-49
3.023,Bluetooth,-49
3.024,Bluetooth,-49
3.057,Bluetooth,-48
3.058,Bluetooth,-47
3.158,Bluetooth,-49
3.269,Bluetooth,-48
3.270,Bluetooth,-48
3.335,Bluetooth,-50
3.336,Bluetooth,-49
3.437,Bluetooth,-50
3.439,Bluetooth,-48
3.470,Bluetooth,-49
3.549,Bluetooth,-49
3.550,Bluetooth,-49
3.620,Bluetooth,-47
3.622,Bluetooth,-48
3.661,Bluetooth,-50
3.662,Bluetooth,-48
3.694,Bluetooth,-49
3.696,Bluetooth,-50
3.765,Bluetooth,-48
3.804,Bluetooth,-48
3.805,Bluetooth,-49
3.836,Bluetooth,-49
3.836,Bluetooth,-47
3.869,Bluetooth,-48
3.870,Bluetooth,-47
3.976,Bluetooth,-48
3.977,Bluetooth,-48
59.266,Bluetooth,-63
59.305,Bluetooth,-63
59.306,Bluetooth,-65
59.341,Bluetooth,-62
59.342,Bluetooth,-61
59.379,Bluetooth,-62
59.380,Bluetooth,-62
59.414,Bluetooth,-64
59.415,Bluetooth,-64
59.560,Bluetooth,-60
59.633,Bluetooth,-63
59.634,Bluetooth,-63
59.671,Bluetooth,-59
59.672,Bluetooth,-60
59.732,Bluetooth,-65
59.733,Bluetooth,-65
59.806,Bluetooth,-61
59.807,Bluetooth,-61
59.878,Bluetooth,-61
59.911,Bluetooth,-65
59.912,Bluetooth,-65
59.944,Bluetooth,-62
59.945,Bluetooth,-61
60.020,Bluetooth,-65
60.020,Bluetooth,-66
60.095,Bluetooth,-59
60.096,Bluetooth,-60
60.133,Bluetooth,-62
60.134,Bluetooth,-62
60.169,Bluetooth,-61
60.202,Bluetooth,-60
60.203,Bluetooth,-60
60.243,Bluetooth,-63
60.243,Bluetooth,-62
60.274,Bluetooth,-59
60.275,Bluetooth,-59
60.341,Bluetooth,-59
60.342,Bluetooth,-59
60.378,Bluetooth,-62
60.379,Bluetooth,-61
60.408,Bluetooth,-57
60.409,Bluetooth,-58
60.532,Bluetooth,-62
60.570,Bluetooth,-58
60.571,Bluetooth,-58
60.740,Bluetooth,-61
60.740,Bluetooth,-61
60.774,Bluetooth,-58
60.884,Bluetooth,-64
60.885,Bluetooth,-66
60.919,Bluetooth,-57
60.920,Bluetooth,-58
60.986,Bluetooth,-65
60.986,Bluetooth,-65
61.027,Bluetooth,-58
61.028,Bluetooth,-58
61.062,Bluetooth,-60
61.133,Bluetooth,-64
61.134,Bluetooth,-64
61.269,Bluetooth,-65
61.270,Bluetooth,-65
61.300,Bluetooth,-59
61.301,Bluetooth,-59
61.330,Bluetooth,-59
61.331,Bluetooth,-59
61.365,Bluetooth,-64
61.394,Bluetooth,-59
61.395,Bluetooth,-60
61.435,Bluetooth,-62
61.436,Bluetooth,-63
61.500,Bluetooth,-62
61.501,Bluetooth,-62
61.536,Bluetooth,-64
61.537,Bluetooth,-64
61.570,Bluetooth,-68
61.571,Bluetooth,-69
61.644,Bluetooth,-67
61.645,Bluetooth,-67
61.678,Bluetooth,-58
61.714,Bluetooth,-66
61.715,Bluetooth,-67
61.746,Bluetooth,-75
61.746,Bluetooth,-75
61.786,Bluetooth,-55
61.786,Bluetooth,-54
61.814,Bluetooth,-66
61.815,Bluetooth,-66
61.957,Bluetooth,-63
61.994,Bluetooth,-63
61.996,Bluetooth,-64
62.096,Bluetooth,-82
62.097,Bluetooth,-82
62.164,Bluetooth,-63
62.165,Bluetooth,-63
62.197,Bluetooth,-65
62.198,Bluetooth,-65
62.232,Bluetooth,-57
62.234,Bluetooth,-57
62.295,Bluetooth,-56
62.296,Bluetooth,-56
62.371,Bluetooth,-62
62.372,Bluetooth,-62
62.475,Bluetooth,-65
62.476,Bluetooth,-64
62.516,Bluetooth,-62
62.517,Bluetooth,-63
62.547,Bluetooth,-62
62.548,Bluetooth,-61
62.584,Bluetooth,-61
62.616,Bluetooth,-61
62.617,Bluetooth,-61
62.655,Bluetooth,-65
62.736,Bluetooth,-60
62.737,Bluetooth,-60
62.766,Bluetooth,-64
62.767,Bluetooth,-65
62.802,Bluetooth,-62
62.803,Bluetooth,-63
62.833,Bluetooth,-58
62.834,Bluetooth,-58
62.871,Bluetooth,-64
62.912,Bluetooth,-59
62.913,Bluetooth,-59
62.942,Bluetooth,-65
62.943,Bluetooth,-64
62.983,Bluetooth,-59
62.984,Bluetooth,-59
63.052,Bluetooth,-62
63.053,Bluetooth,-64
63.080,Bluetooth,-63
63.081,Bluetooth,-62
63.116,Bluetooth,-58
63.117,Bluetooth,-58
63.195,Bluetooth,-74
63.196,Bluetooth,-74
152.807,Bluetooth,-54
152.808,Bluetooth,-52
152.839,Bluetooth,-49
152.840,Bluetooth,-49
152.878,Bluetooth,-49
152.913,Bluetooth,-49
152.913,Bluetooth,-48
152.951,Bluetooth,-50
152.953,Bluetooth,-50
153.176,Bluetooth,-52
153.207,Bluetooth,-52
153.208,Bluetooth,-52
153.245,Bluetooth,-50
153.246,Bluetooth,-51
153.281,Bluetooth,-51
153.282,Bluetooth,-51
153.391,Bluetooth,-52
153.392,Bluetooth,-51
153.493,Bluetooth,-52
153.494,Bluetooth,-53
153.534,Bluetooth,-52
153.535,Bluetooth,-52
153.604,Bluetooth,-50
153.605,Bluetooth,-49
153.672,Bluetooth,-53
153.673,Bluetooth,-52
153.808,Bluetooth,-52
153.809,Bluetooth,-52
153.845,Bluetooth,-50
153.846,Bluetooth,-52
153.883,Bluetooth,-49
153.884,Bluetooth,-49
153.916,Bluetooth,-53
153.917,Bluetooth,-53
154.059,Bluetooth,-52
154.099,Bluetooth,-52
154.100,Bluetooth,-52
154.131,Bluetooth,-53
154.132,Bluetooth,-51
154.164,Bluetooth,-52
154.165,Bluetooth,-53
154.195,Bluetooth,-49
154.196,Bluetooth,-48
154.300,Bluetooth,-50
154.301,Bluetooth,-49
154.379,Bluetooth,-50
154.491,Bluetooth,-48
154.492,Bluetooth,-48
154.569,Bluetooth,-51
154.570,Bluetooth,-52
154.604,Bluetooth,-50
154.605,Bluetooth,-51
154.669,Bluetooth,-53
154.737,Bluetooth,-51
154.738,Bluetooth,-52
154.833,Bluetooth,-48
154.833,Bluetooth,-49
154.868,Bluetooth,-50
154.868,Bluetooth,-51
155.018,Bluetooth,-48
155.082,Bluetooth,-49
155.082,Bluetooth,-49
155.117,Bluetooth,-46
155.118,Bluetooth,-46
155.147,Bluetooth,-47
155.148,Bluetooth,-47
155.286,Bluetooth,-52
155.455,Bluetooth,-46
155.456,Bluetooth,-46
155.565,Bluetooth,-45
155.604,Bluetooth,-47
155.604,Bluetooth,-47
155.694,Bluetooth,-50
155.696,Bluetooth,-49
155.727,Bluetooth,-46
155.728,Bluetooth,-47
155.761,Bluetooth,-45
155.762,Bluetooth,-45
155.796,Bluetooth,-48
155.797,Bluetooth,-49
155.832,Bluetooth,-47
155.833,Bluetooth,-47
155.860,Bluetooth,-48
155.900,Bluetooth,-48
155.901,Bluetooth,-48
156.000,Bluetooth,-47
156.001,Bluetooth,-47
156.034,Bluetooth,-48
156.035,Bluetooth,-49
156.067,Bluetooth,-47
156.068,Bluetooth,-46
156.104,Bluetooth,-49
156.105,Bluetooth,-49
156.136,Bluetooth,-48
156.137,Bluetooth,-48
156.175,Bluetooth,-49
156.208,Bluetooth,-48
156.209,Bluetooth,-48
156.245,Bluetooth,-47
156.246,Bluetooth,-48
156.320,Bluetooth,-47
156.321,Bluetooth,-49
156.394,Bluetooth,-49
156.395,Bluetooth,-49
156.434,Bluetooth,-49
156.435,Bluetooth,-48
156.512,Bluetooth,-49
156.513,Bluetooth,-49
156.541,Bluetooth,-49
156.542,Bluetooth,-50
156.570,Bluetooth,-48
156.571,Bluetooth,-49
156.643,Bluetooth,-50
156.644,Bluetooth,-49
156.720,Bluetooth,-49
156.720,Bluetooth,-49
211.973,Bluetooth,-64
212.011,Bluetooth,-68
212.012,Bluetooth,-69
212.046,Bluetooth,-59
212.046,Bluetooth,-58
212.082,Bluetooth,-52
212.083,Bluetooth,-52
212.115,Bluetooth,-66
212.116,Bluetooth,-65
212.145,Bluetooth,-65
212.145,Bluetooth,-65
212.178,Bluetooth,-63
212.179,Bluetooth,-64
212.252,Bluetooth,-63
212.253,Bluetooth,-63
212.360,Bluetooth,-77
212.361,Bluetooth,-78
212.394,Bluetooth,-61
212.395,Bluetooth,-60
212.432,Bluetooth,-61
212.433,Bluetooth,-62
212.463,Bluetooth,-68
212.464,Bluetooth,-68
212.493,Bluetooth,-65
212.494,Bluetooth,-65
212.523,Bluetooth,-65
212.524,Bluetooth,-65
212.596,Bluetooth,-60
212.597,Bluetooth,-59
212.736,Bluetooth,-63
212.737,Bluetooth,-63
212.770,Bluetooth,-56
212.771,Bluetooth,-56
212.806,Bluetooth,-62
212.807,Bluetooth,-63
212.844,Bluetooth,-65
212.845,Bluetooth,-65
212.882,Bluetooth,-64
212.912,Bluetooth,-67
212.912,Bluetooth,-67
212.947,Bluetooth,-54
212.948,Bluetooth,-55
213.017,Bluetooth,-74
213.053,Bluetooth,-56
213.054,Bluetooth,-56
213.125,Bluetooth,-58
213.126,Bluetooth,-57
213.165,Bluetooth,-58
213.198,Bluetooth,-72
213.199,Bluetooth,-71
213.295,Bluetooth,-60
213.296,Bluetooth,-60
213.398,Bluetooth,-59
213.399,Bluetooth,-59
213.439,Bluetooth,-66
213.440,Bluetooth,-66
213.477,Bluetooth,-60
213.507,Bluetooth,-63
213.508,Bluetooth,-63
213.537,Bluetooth,-56
213.538,Bluetooth,-57
213.635,Bluetooth,-63
213.636,Bluetooth,-63
213.673,Bluetooth,-60
213.674,Bluetooth,-60
213.704,Bluetooth,-58
213.705,Bluetooth,-58
213.739,Bluetooth,-58
213.740,Bluetooth,-59
213.770,Bluetooth,-58
213.805,Bluetooth,-59
213.805,Bluetooth,-59
213.840,Bluetooth,-62
213.841,Bluetooth,-63
213.872,Bluetooth,-64
214.081,Bluetooth,-60
214.185,Bluetooth,-70
214.186,Bluetooth,-69
214.226,Bluetooth,-66
214.227,Bluetooth,-67
214.298,Bluetooth,-70
214.299,Bluetooth,-71
214.375,Bluetooth,-66
214.412,Bluetooth,-59
214.414,Bluetooth,-59
