Distance,4.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
0.034,Bluetooth,-58
0.035,Bluetooth,-59
0.070,Bluetooth,-59
0.071,Bluetooth,-59
0.108,Bluetooth,-63
0.108,Bluetooth,-64
0.288,Bluetooth,-59
0.289,Bluetooth,-60
0.392,Bluetooth,-59
0.393,Bluetooth,-59
0.431,Bluetooth,-59
0.432,Bluetooth,-59
0.466,Bluetooth,-63
0.467,Bluetooth,-64
0.563,Bluetooth,-58
0.564,Bluetooth,-58
0.603,Bluetooth,-60
0.604,Bluetooth,-61
0.634,Bluetooth,-63
0.635,Bluetooth,-64
0.670,Bluetooth,-58
0.672,Bluetooth,-58
0.703,Bluetooth,-59
0.704,Bluetooth,-59
0.739,Bluetooth,-64
0.740,Bluetooth,-63
0.807,Bluetooth,-59
0.839,Bluetooth,-59
0.840,Bluetooth,-58
1.052,Bluetooth,-65
1.054,Bluetooth,-66
1.093,Bluetooth,-59
1.095,Bluetooth,-58
1.124,Bluetooth,-65
1.163,Bluetooth,-59
1.163,Bluetooth,-60
1.194,Bluetooth,-60
1.195,Bluetooth,-60
1.227,Bluetooth,-64
1.228,Bluetooth,-64
1.302,Bluetooth,-59
1.303,Bluetooth,-59
1.339,Bluetooth,-59
1.340,Bluetooth,-60
1.410,Bluetooth,-59
1.447,Bluetooth,-65
1.448,Bluetooth,-64
1.488,Bluetooth,-58
1.489,Bluetooth,-58
1.525,Bluetooth,-59
1.526,Bluetooth,-59
1.597,Bluetooth,-59
1.598,Bluetooth,-59
1.663,Bluetooth,-61
1.664,Bluetooth,-60
1.695,Bluetooth,-65
1.696,Bluetooth,-65
1.776,Bluetooth,-59
1.777,Bluetooth,-59
1.844,Bluetooth,-60
1.845,Bluetooth,-60
1.926,Bluetooth,-60
1.927,Bluetooth,-60
1.958,Bluetooth,-60
1.959,Bluetooth,-60
1.995,Bluetooth,-65
1.996,Bluetooth,-66
2.027,Bluetooth,-65
2.057,Bluetooth,-65
2.058,Bluetooth,-65
2.089,Bluetooth,-60
2.090,Bluetooth,-59
2.128,Bluetooth,-59
2.129,Bluetooth,-60
2.199,Bluetooth,-59
2.200,Bluetooth,-61
2.305,Bluetooth,-60
2.343,Bluetooth,-64
2.344,Bluetooth,-63
2.444,Bluetooth,-64
2.444,Bluetooth,-63
2.482,Bluetooth,-60
2.483,Bluetooth,-60
2.512,Bluetooth,-58
2.513,Bluetooth,-59
2.579,Bluetooth,-62
2.580,Bluetooth,-63
2.648,Bluetooth,-64
2.649,Bluetooth,-63
2.680,Bluetooth,-59
2.681,Bluetooth,-59
2.717,Bluetooth,-59
2.718,Bluetooth,-58
2.795,Bluetooth,-58
2.796,Bluetooth,-59
2.904,Bluetooth,-63
2.940,Bluetooth,-63
2.941,Bluetooth,-63
3.016,Bluetooth,-57
3.017,Bluetooth,-59
3.081,Bluetooth,-62
3.081,Bluetooth,-63
3.178,Bluetooth,-63
3.179,Bluetooth,-63
3.282,Bluetooth,-60
3.283,Bluetooth,-60
3.313,Bluetooth,-57
3.314,Bluetooth,-57
3.423,Bluetooth,-60
3.424,Bluetooth,-61
3.457,Bluetooth,-58
3.529,Bluetooth,-59
3.595,Bluetooth,-61
3.622,Bluetooth,-58
3.623,Bluetooth,-58
3.762,Bluetooth,-59
3.763,Bluetooth,-59
92.007,Bluetooth,-60
92.046,Bluetooth,-58
92.047,Bluetooth,-59
92.079,Bluetooth,-71
92.080,Bluetooth,-70
92.181,Bluetooth,-59
92.182,Bluetooth,-59
92.222,Bluetooth,-71
92.223,Bluetooth,-71
92.314,Bluetooth,-74
92.348,Bluetooth,-71
92.349,Bluetooth,-71
92.454,Bluetooth,-62
92.455,Bluetooth,-62
92.520,Bluetooth,-60
92.521,Bluetooth,-59
92.556,Bluetooth,-62
92.557,Bluetooth,-61
92.616,Bluetooth,-61
92.693,Bluetooth,-60
92.694,Bluetooth,-61
92.726,Bluetooth,-60
92.726,Bluetooth,-60
92.761,Bluetooth,-61
92.762,Bluetooth,-61
92.910,Bluetooth,-59
92.950,Bluetooth,-62
92.951,Bluetooth,-62
92.980,Bluetooth,-58
92.981,Bluetooth,-57
93.018,Bluetooth,-58
93.019,Bluetooth,-58
93.085,Bluetooth,-63
93.086,Bluetooth,-62
93.119,Bluetooth,-56
93.120,Bluetooth,-55
93.186,Bluetooth,-64
93.187,Bluetooth,-65
93.221,Bluetooth,-64
93.256,Bluetooth,-65
93.257,Bluetooth,-64
93.286,Bluetooth,-56
93.286,Bluetooth,-56
93.320,Bluetooth,-60
93.321,Bluetooth,-60
93.355,Bluetooth,-65
93.356,Bluetooth,-65
93.429,Bluetooth,-60
93.430,Bluetooth,-60
93.505,Bluetooth,-64
93.719,Bluetooth,-58
93.720,Bluetooth,-58
93.862,Bluetooth,-61
93.864,Bluetooth,-62
93.897,Bluetooth,-59
93.898,Bluetooth,-59
93.934,Bluetooth,-55
93.935,Bluetooth,-56
93.964,Bluetooth,-60
93.965,Bluetooth,-60
94.067,Bluetooth,-55
94.068,Bluetooth,-56
94.240,Bluetooth,-56
94.241,Bluetooth,-56
94.343,Bluetooth,-55
94.344,Bluetooth,-55
94.378,Bluetooth,-60
94.379,Bluetooth,-60
94.408,Bluetooth,-58
94.441,Bluetooth,-59
94.442,Bluetooth,-59
94.475,Bluetooth,-59
94.476,Bluetooth,-58
94.583,Bluetooth,-57
94.584,Bluetooth,-56
94.616,Bluetooth,-58
94.617,Bluetooth,-58
94.654,Bluetooth,-54
94.655,Bluetooth,-55
94.724,Bluetooth,-55
94.755,Bluetooth,-60
94.756,Bluetooth,-61
94.790,Bluetooth,-54
94.791,Bluetooth,-54
94.862,Bluetooth,-58
94.863,Bluetooth,-60
94.928,Bluetooth,-54
94.929,Bluetooth,-54
94.968,Bluetooth,-54
94.969,Bluetooth,-54
95.002,Bluetooth,-58
95.065,Bluetooth,-58
95.066,Bluetooth,-57
95.133,Bluetooth,-55
95.133,Bluetooth,-55
95.170,Bluetooth,-58
95.172,Bluetooth,-59
95.202,Bluetooth,-54
95.203,Bluetooth,-54
95.264,Bluetooth,-55
95.266,Bluetooth,-55
95.303,Bluetooth,-58
95.338,Bluetooth,-57
95.339,Bluetooth,-58
95.377,Bluetooth,-52
95.378,Bluetooth,-54
95.524,Bluetooth,-54
95.525,Bluetooth,-54
95.632,Bluetooth,-54
95.786,Bluetooth,-60
95.787,Bluetooth,-60
95.818,Bluetooth,-55
95.818,Bluetooth,-55
95.853,Bluetooth,-58
95.854,Bluetooth,-56
95.890,Bluetooth,-62
95.891,Bluetooth,-61
191.327,Bluetooth,-67
191.363,Bluetooth,-65
191.364,Bluetooth,-65
191.434,Bluetooth,-60
191.435,Bluetooth,-60
191.466,Bluetooth,-64
191.467,Bluetooth,-65
191.501,Bluetooth,-69
191.502,Bluetooth,-68
191.626,Bluetooth,-61
191.663,Bluetooth,-65
191.664,Bluetooth,-65
191.695,Bluetooth,-69
191.696,Bluetooth,-69
191.798,Bluetooth,-69
191.799,Bluetooth,-69
191.864,Bluetooth,-61
191.865,Bluetooth,-61
191.941,Bluetooth,-66
192.012,Bluetooth,-65
192.013,Bluetooth,-66
192.052,Bluetooth,-71
192.053,Bluetooth,-69
192.087,Bluetooth,-61
192.088,Bluetooth,-61
192.121,Bluetooth,-65
192.123,Bluetooth,-64
192.162,Bluetooth,-70
192.163,Bluetooth,-71
192.197,Bluetooth,-61
192.266,Bluetooth,-63
192.267,Bluetooth,-63
192.344,Bluetooth,-72
192.345,Bluetooth,-73
192.380,Bluetooth,-61
192.381,Bluetooth,-61
192.415,Bluetooth,-62
192.416,Bluetooth,-62
192.451,Bluetooth,-70
192.452,Bluetooth,-71
192.512,Bluetooth,-62
192.542,Bluetooth,-62
192.543,Bluetooth,-62
192.649,Bluetooth,-68
192.650,Bluetooth,-67
192.681,Bluetooth,-62
192.714,Bluetooth,-63
192.715,Bluetooth,-64
192.819,Bluetooth,-60
192.880,Bluetooth,-60
192.881,Bluetooth,-59
192.914,Bluetooth,-68
192.915,Bluetooth,-68
192.985,Bluetooth,-60
192.986,Bluetooth,-60
193.022,Bluetooth,-60
193.023,Bluetooth,-60
193.055,Bluetooth,-67
193.056,Bluetooth,-68
193.089,Bluetooth,-61
193.090,Bluetooth,-62
193.283,Bluetooth,-68
193.315,Bluetooth,-61
193.316,Bluetooth,-61
193.347,Bluetooth,-59
193.348,Bluetooth,-60
193.382,Bluetooth,-68
193.383,Bluetooth,-68
193.485,Bluetooth,-60
193.485,Bluetooth,-60
193.517,Bluetooth,-60
193.518,Bluetooth,-63
193.580,Bluetooth,-68
193.581,Bluetooth,-67
193.716,Bluetooth,-60
193.749,Bluetooth,-68
193.750,Bluetooth,-68
193.782,Bluetooth,-60
193.783,Bluetooth,-60
193.816,Bluetooth,-60
193.817,Bluetooth,-60
193.919,Bluetooth,-60
193.920,Bluetooth,-60
193.952,Bluetooth,-60
193.953,Bluetooth,-60
193.988,Bluetooth,-68
193.990,Bluetooth,-68
194.059,Bluetooth,-69
194.060,Bluetooth,-68
194.090,Bluetooth,-60
194.091,Bluetooth,-61
194.125,Bluetooth,-61
194.264,Bluetooth,-59
194.265,Bluetooth,-58
194.302,Bluetooth,-71
194.331,Bluetooth,-59
194.440,Bluetooth,-58
194.441,Bluetooth,-58
194.513,Bluetooth,-58
194.624,Bluetooth,-58
194.656,Bluetooth,-59
194.657,Bluetooth,-59
194.696,Bluetooth,-68
194.736,Bluetooth,-58
194.737,Bluetooth,-58
194.770,Bluetooth,-57
194.771,Bluetooth,-58
194.809,Bluetooth,-67
194.811,Bluetooth,-66
194.844,Bluetooth,-59
194.845,Bluetooth,-59
194.910,Bluetooth,-68
194.943,Bluetooth,-57
194.944,Bluetooth,-57
194.978,Bluetooth,-67
195.008,Bluetooth,-66
195.009,Bluetooth,-67
195.043,Bluetooth,-57
195.044,Bluetooth,-57
195.074,Bluetooth,-57
195.075,Bluetooth,-57
195.109,Bluetooth,-66
195.110,Bluetooth,-66
195.147,Bluetooth,-57
195.147,Bluetooth,-58
195.182,Bluetooth,-57
195.183,Bluetooth,-57
195.215,Bluetooth,-58
195.255,Bluetooth,-57
195.256,Bluetooth,-57
195.287,Bluetooth,-66
195.288,Bluetooth,-65
