Distance,4.0
TXDevice,iPhone6s
TXPower,12
RXDevice,iPhone6s
0.000,Bluetooth,-77
0.001,Bluetooth,-76
0.095,Bluetooth,-76
0.096,Bluetooth,-76
0.127,Bluetooth,-75
0.128,Bluetooth,-76
0.188,Bluetooth,-67
0.190,Bluetooth,-65
0.251,Bluetooth,-74
0.254,Bluetooth,-74
0.281,Bluetooth,127
0.313,Bluetooth,-66
0.314,Bluetooth,-65
0.347,Bluetooth,127
0.377,Bluetooth,-74
0.379,Bluetooth,-73
0.409,Bluetooth,127
0.441,Bluetooth,-66
0.442,Bluetooth,-65
0.475,Bluetooth,127
0.504,Bluetooth,-74
0.506,Bluetooth,-75
0.536,Bluetooth,127
0.570,Bluetooth,-74
0.572,Bluetooth,-74
0.599,Bluetooth,127
0.632,Bluetooth,-74
0.632,Bluetooth,-73
0.667,Bluetooth,127
0.698,Bluetooth,-75
0.698,Bluetooth,-74
0.730,Bluetooth,126
0.761,Bluetooth,-74
0.762,Bluetooth,-74
0.796,Bluetooth,-65
0.797,Bluetooth,-64
0.830,Bluetooth,-75
0.831,Bluetooth,-74
0.862,Bluetooth,-74
0.863,Bluetooth,-75
0.895,Bluetooth,-66
0.896,Bluetooth,-65
0.930,Bluetooth,-74
0.932,Bluetooth,-75
0.961,Bluetooth,-74
0.962,Bluetooth,-73
0.992,Bluetooth,-74
0.993,Bluetooth,-74
1.028,Bluetooth,-68
1.029,Bluetooth,-67
1.058,Bluetooth,-75
1.059,Bluetooth,-74
1.087,Bluetooth,-76
1.089,Bluetooth,-75
1.120,Bluetooth,-76
1.121,Bluetooth,-75
1.154,Bluetooth,-68
1.155,Bluetooth,-67
1.188,Bluetooth,-75
1.189,Bluetooth,-74
1.219,Bluetooth,-75
1.221,Bluetooth,-76
1.252,Bluetooth,-66
1.254,Bluetooth,-67
1.282,Bluetooth,-67
1.283,Bluetooth,-67
1.315,Bluetooth,-77
1.316,Bluetooth,-75
1.344,Bluetooth,-75
1.345,Bluetooth,-75
1.379,Bluetooth,-66
1.380,Bluetooth,-67
1.410,Bluetooth,-82
1.411,Bluetooth,-80
1.441,Bluetooth,-79
1.442,Bluetooth,-78
1.474,Bluetooth,-70
1.474,Bluetooth,-72
1.505,Bluetooth,-63
1.507,Bluetooth,-64
1.537,Bluetooth,-74
1.537,Bluetooth,-73
1.566,Bluetooth,-73
1.567,Bluetooth,-73
1.629,Bluetooth,-70
1.630,Bluetooth,-69
1.660,Bluetooth,-73
1.661,Bluetooth,-73
1.691,Bluetooth,-85
1.692,Bluetooth,-84
1.722,Bluetooth,-88
1.724,Bluetooth,-87
1.754,Bluetooth,-75
1.755,Bluetooth,-72
1.785,Bluetooth,-74
1.786,Bluetooth,-72
1.849,Bluetooth,127
2.038,Bluetooth,-73
2.038,Bluetooth,-73
2.066,Bluetooth,127
2.102,Bluetooth,-78
2.103,Bluetooth,-77
2.134,Bluetooth,-74
2.134,Bluetooth,-74
2.166,Bluetooth,-87
2.167,Bluetooth,-87
2.200,Bluetooth,-90
2.200,Bluetooth,-88
2.300,Bluetooth,-88
2.301,Bluetooth,-89
2.396,Bluetooth,-75
2.397,Bluetooth,-73
2.426,Bluetooth,-87
2.426,Bluetooth,-86
2.462,Bluetooth,-76
