Distance,4.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
0.000,Bluetooth,-70
0.002,Bluetooth,-70
0.076,Bluetooth,-61
0.138,Bluetooth,-72
0.139,Bluetooth,-71
0.179,Bluetooth,-73
0.245,Bluetooth,-71
0.246,Bluetooth,-71
0.284,Bluetooth,-75
0.392,Bluetooth,-74
0.463,Bluetooth,-61
0.465,Bluetooth,-63
0.496,Bluetooth,-70
0.530,Bluetooth,-73
0.531,Bluetooth,-74
0.568,Bluetooth,-62
0.569,Bluetooth,-63
0.602,Bluetooth,-71
0.603,Bluetooth,-71
0.765,Bluetooth,-74
0.804,Bluetooth,-62
0.805,Bluetooth,-63
0.836,Bluetooth,-71
0.837,Bluetooth,-72
0.875,Bluetooth,-73
0.909,Bluetooth,-62
0.910,Bluetooth,-62
0.939,Bluetooth,-62
0.940,Bluetooth,-63
1.013,Bluetooth,-72
1.140,Bluetooth,-71
1.180,Bluetooth,-62
1.181,Bluetooth,-62
1.213,Bluetooth,-71
1.351,Bluetooth,-70
1.489,Bluetooth,-71
1.524,Bluetooth,-61
1.525,Bluetooth,-62
1.561,Bluetooth,-74
1.707,Bluetooth,-72
1.708,Bluetooth,-72
1.747,Bluetooth,-65
1.748,Bluetooth,-65
1.781,Bluetooth,-63
1.782,Bluetooth,-63
1.813,Bluetooth,-74
1.814,Bluetooth,-74
1.854,Bluetooth,-69
1.855,Bluetooth,-70
1.889,Bluetooth,-62
1.890,Bluetooth,-61
1.998,Bluetooth,-61
2.000,Bluetooth,-61
2.096,Bluetooth,-68
2.098,Bluetooth,-69
2.132,Bluetooth,-63
2.134,Bluetooth,-60
2.168,Bluetooth,-75
2.168,Bluetooth,-74
2.202,Bluetooth,-69
2.203,Bluetooth,-67
2.280,Bluetooth,-75
2.316,Bluetooth,-69
2.317,Bluetooth,-69
2.349,Bluetooth,-61
2.351,Bluetooth,-62
2.388,Bluetooth,-74
2.423,Bluetooth,-74
2.424,Bluetooth,-75
2.531,Bluetooth,-74
2.630,Bluetooth,-74
2.669,Bluetooth,-69
2.670,Bluetooth,-69
2.775,Bluetooth,-74
2.777,Bluetooth,-74
2.914,Bluetooth,-69
2.915,Bluetooth,-70
2.954,Bluetooth,-62
2.955,Bluetooth,-62
2.986,Bluetooth,-73
2.988,Bluetooth,-73
3.062,Bluetooth,-69
3.063,Bluetooth,-69
3.102,Bluetooth,-62
3.268,Bluetooth,-75
3.342,Bluetooth,-61
3.413,Bluetooth,-70
3.515,Bluetooth,-71
3.516,Bluetooth,-70
3.620,Bluetooth,-70
3.657,Bluetooth,-73
3.659,Bluetooth,-72
3.692,Bluetooth,-61
3.693,Bluetooth,-61
3.724,Bluetooth,-68
3.725,Bluetooth,-69
3.797,Bluetooth,-63
3.836,Bluetooth,-71
3.837,Bluetooth,-72
3.875,Bluetooth,-72
3.876,Bluetooth,-73
3.909,Bluetooth,-65
3.911,Bluetooth,-66
29.809,Bluetooth,-71
29.810,Bluetooth,-73
29.838,Bluetooth,-78
29.839,Bluetooth,-78
29.876,Bluetooth,-75
29.877,Bluetooth,-76
29.908,Bluetooth,-70
29.909,Bluetooth,-71
29.939,Bluetooth,-71
29.940,Bluetooth,-71
29.975,Bluetooth,-73
29.976,Bluetooth,-73
30.010,Bluetooth,-76
30.044,Bluetooth,-71
30.045,Bluetooth,-71
30.084,Bluetooth,-74
30.158,Bluetooth,-70
30.189,Bluetooth,-73
30.190,Bluetooth,-74
30.332,Bluetooth,-73
30.357,Bluetooth,-76
30.398,Bluetooth,-70
30.399,Bluetooth,-70
30.433,Bluetooth,-72
30.496,Bluetooth,-76
30.497,Bluetooth,-76
30.527,Bluetooth,-70
30.528,Bluetooth,-69
30.558,Bluetooth,-73
30.590,Bluetooth,-75
30.625,Bluetooth,-70
30.627,Bluetooth,-70
30.661,Bluetooth,-71
30.662,Bluetooth,-70
30.697,Bluetooth,-74
