Distance,4.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
0.000,Bluetooth,-63
0.001,Bluetooth,-63
0.069,Bluetooth,-63
0.070,Bluetooth,-62
0.109,Bluetooth,-81
0.110,Bluetooth,-81
0.142,Bluetooth,-62
0.172,Bluetooth,-61
0.430,Bluetooth,-65
0.431,Bluetooth,-66
0.469,Bluetooth,-63
0.501,Bluetooth,-69
0.502,Bluetooth,-69
0.538,Bluetooth,-62
0.539,Bluetooth,-60
0.749,Bluetooth,-89
0.788,Bluetooth,-81
0.789,Bluetooth,-81
0.917,Bluetooth,-72
0.918,Bluetooth,-72
0.985,Bluetooth,-68
0.986,Bluetooth,-69
1.016,Bluetooth,-68
1.017,Bluetooth,-69
1.050,Bluetooth,-62
1.088,Bluetooth,-61
1.089,Bluetooth,-62
1.204,Bluetooth,-63
1.204,Bluetooth,-63
1.304,Bluetooth,-70
1.305,Bluetooth,-69
1.340,Bluetooth,-62
1.341,Bluetooth,-62
1.408,Bluetooth,-63
1.409,Bluetooth,-63
1.482,Bluetooth,-70
1.483,Bluetooth,-69
1.523,Bluetooth,-61
1.524,Bluetooth,-61
1.562,Bluetooth,-60
1.563,Bluetooth,-61
1.601,Bluetooth,-69
1.602,Bluetooth,-69
1.781,Bluetooth,-76
1.782,Bluetooth,-75
2.023,Bluetooth,-57
2.024,Bluetooth,-57
2.061,Bluetooth,-68
2.061,Bluetooth,-67
2.206,Bluetooth,-66
2.207,Bluetooth,-65
2.278,Bluetooth,-58
2.314,Bluetooth,-65
2.451,Bluetooth,-65
2.486,Bluetooth,-63
2.487,Bluetooth,-63
2.560,Bluetooth,-63
2.598,Bluetooth,-60
2.599,Bluetooth,-59
2.670,Bluetooth,-62
2.671,Bluetooth,-62
2.705,Bluetooth,-61
2.706,Bluetooth,-60
2.772,Bluetooth,-63
2.773,Bluetooth,-62
2.802,Bluetooth,-61
2.803,Bluetooth,-62
2.842,Bluetooth,-59
2.843,Bluetooth,-60
2.938,Bluetooth,-64
2.939,Bluetooth,-63
2.976,Bluetooth,-63
2.977,Bluetooth,-64
3.014,Bluetooth,-59
3.014,Bluetooth,-59
3.155,Bluetooth,-59
3.184,Bluetooth,-59
3.185,Bluetooth,-59
3.248,Bluetooth,-62
3.249,Bluetooth,-63
3.324,Bluetooth,-57
3.325,Bluetooth,-57
3.359,Bluetooth,-63
3.360,Bluetooth,-63
3.424,Bluetooth,-57
3.424,Bluetooth,-56
3.454,Bluetooth,-64
3.494,Bluetooth,-56
3.495,Bluetooth,-56
3.563,Bluetooth,-63
3.564,Bluetooth,-62
3.594,Bluetooth,-64
3.594,Bluetooth,-63
3.770,Bluetooth,-63
3.799,Bluetooth,-61
3.800,Bluetooth,-61
3.944,Bluetooth,-63
3.945,Bluetooth,-62
3.984,Bluetooth,-56
3.985,Bluetooth,-58
