Distance,4.0
TXDevice,iPhone11_Pro
TXPower,7
RXDevice,iPhoneXR
0.008,Bluetooth,-66
0.009,Bluetooth,-66
0.073,Bluetooth,-50
0.075,Bluetooth,-49
0.106,Bluetooth,-68
0.108,Bluetooth,-74
0.177,Bluetooth,-48
0.179,Bluetooth,-48
0.215,Bluetooth,-48
0.216,Bluetooth,-47
0.285,Bluetooth,-47
0.286,Bluetooth,-49
0.318,Bluetooth,-49
0.320,Bluetooth,-49
0.387,Bluetooth,-48
0.389,Bluetooth,-47
0.428,Bluetooth,-49
0.430,Bluetooth,-48
0.521,Bluetooth,-47
0.523,Bluetooth,-46
0.560,Bluetooth,-49
0.562,Bluetooth,-50
0.602,Bluetooth,-59
0.603,Bluetooth,-58
0.637,Bluetooth,-49
0.639,Bluetooth,-48
0.671,Bluetooth,-50
0.672,Bluetooth,-50
0.712,Bluetooth,-67
0.713,Bluetooth,-66
0.810,Bluetooth,-50
0.811,Bluetooth,-49
0.849,Bluetooth,-54
0.851,Bluetooth,-53
0.877,Bluetooth,-52
0.951,Bluetooth,-61
0.952,Bluetooth,-60
0.986,Bluetooth,-50
0.987,Bluetooth,-50
1.024,Bluetooth,-56
1.026,Bluetooth,-54
1.196,Bluetooth,-56
1.198,Bluetooth,-57
1.235,Bluetooth,-48
1.236,Bluetooth,-49
1.268,Bluetooth,-51
1.269,Bluetooth,-50
1.366,Bluetooth,-48
1.368,Bluetooth,-48
1.479,Bluetooth,-50
1.481,Bluetooth,-51
1.519,Bluetooth,-52
1.521,Bluetooth,-52
1.556,Bluetooth,-69
1.557,Bluetooth,-68
1.584,Bluetooth,-51
1.586,Bluetooth,-51
1.617,Bluetooth,-52
1.619,Bluetooth,-51
1.650,Bluetooth,-51
1.652,Bluetooth,-50
1.688,Bluetooth,-64
1.689,Bluetooth,-63
1.716,Bluetooth,-49
1.718,Bluetooth,-49
1.757,Bluetooth,-51
1.758,Bluetooth,-51
1.790,Bluetooth,-59
1.791,Bluetooth,-60
1.821,Bluetooth,-61
1.822,Bluetooth,-61
1.856,Bluetooth,-48
1.937,Bluetooth,-68
1.967,Bluetooth,-49
1.969,Bluetooth,-49
2.008,Bluetooth,-51
2.009,Bluetooth,-51
2.040,Bluetooth,-57
2.072,Bluetooth,-49
2.073,Bluetooth,-50
2.113,Bluetooth,-52
2.115,Bluetooth,-51
2.144,Bluetooth,-65
2.146,Bluetooth,-64
2.217,Bluetooth,-48
2.219,Bluetooth,-48
2.258,Bluetooth,-50
2.259,Bluetooth,-51
2.288,Bluetooth,-62
2.289,Bluetooth,-62
2.320,Bluetooth,-48
2.321,Bluetooth,-49
2.391,Bluetooth,-62
2.393,Bluetooth,-62
2.532,Bluetooth,-61
2.534,Bluetooth,-61
2.600,Bluetooth,-51
2.602,Bluetooth,-51
2.631,Bluetooth,-61
2.633,Bluetooth,-61
2.761,Bluetooth,-63
2.762,Bluetooth,-62
2.792,Bluetooth,-48
2.793,Bluetooth,-48
2.857,Bluetooth,-51
2.858,Bluetooth,-51
2.893,Bluetooth,-65
2.895,Bluetooth,-67
2.931,Bluetooth,-48
2.933,Bluetooth,-48
3.011,Bluetooth,-67
3.012,Bluetooth,-67
3.044,Bluetooth,-48
3.046,Bluetooth,-49
3.121,Bluetooth,-66
3.158,Bluetooth,-47
3.159,Bluetooth,-48
3.199,Bluetooth,-50
3.201,Bluetooth,-51
3.240,Bluetooth,-68
3.241,Bluetooth,-67
3.277,Bluetooth,-48
3.278,Bluetooth,-49
3.354,Bluetooth,-83
3.356,Bluetooth,-82
3.413,Bluetooth,-48
3.415,Bluetooth,-49
3.480,Bluetooth,-81
3.482,Bluetooth,-79
3.518,Bluetooth,-48
3.520,Bluetooth,-49
3.558,Bluetooth,-52
3.559,Bluetooth,-53
3.628,Bluetooth,-47
3.630,Bluetooth,-48
3.659,Bluetooth,-48
3.661,Bluetooth,-48
3.690,Bluetooth,-50
3.692,Bluetooth,-51
3.731,Bluetooth,-69
3.733,Bluetooth,-69
3.761,Bluetooth,-48
3.762,Bluetooth,-48
3.794,Bluetooth,-50
3.795,Bluetooth,-49
3.831,Bluetooth,-63
3.833,Bluetooth,-63
3.891,Bluetooth,-47
3.892,Bluetooth,-47
3.960,Bluetooth,-62
3.961,Bluetooth,-62
89.517,Bluetooth,-59
89.519,Bluetooth,-59
89.548,Bluetooth,-56
89.550,Bluetooth,-55
89.616,Bluetooth,-58
89.618,Bluetooth,-58
89.656,Bluetooth,-56
89.658,Bluetooth,-57
89.687,Bluetooth,-53
89.689,Bluetooth,-53
89.723,Bluetooth,-58
89.725,Bluetooth,-58
89.755,Bluetooth,-55
89.756,Bluetooth,-55
89.862,Bluetooth,-58
89.864,Bluetooth,-57
89.930,Bluetooth,-53
89.931,Bluetooth,-54
89.969,Bluetooth,-57
89.971,Bluetooth,-57
90.037,Bluetooth,-54
90.075,Bluetooth,-59
90.078,Bluetooth,-59
90.110,Bluetooth,-62
90.112,Bluetooth,-62
90.147,Bluetooth,-55
90.149,Bluetooth,-55
90.177,Bluetooth,-56
90.179,Bluetooth,-56
90.218,Bluetooth,-59
90.220,Bluetooth,-59
90.284,Bluetooth,-55
90.285,Bluetooth,-56
90.325,Bluetooth,-59
90.361,Bluetooth,-58
90.363,Bluetooth,-58
90.396,Bluetooth,-54
90.398,Bluetooth,-53
90.429,Bluetooth,-57
90.431,Bluetooth,-57
90.538,Bluetooth,-54
90.540,Bluetooth,-54
90.571,Bluetooth,-57
90.573,Bluetooth,-57
90.606,Bluetooth,-57
90.608,Bluetooth,-57
90.638,Bluetooth,-53
90.640,Bluetooth,-53
90.671,Bluetooth,-56
90.673,Bluetooth,-56
90.737,Bluetooth,-58
90.739,Bluetooth,-57
90.815,Bluetooth,-56
90.817,Bluetooth,-55
90.850,Bluetooth,-57
90.852,Bluetooth,-57
90.880,Bluetooth,-53
90.881,Bluetooth,-53
90.914,Bluetooth,-56
90.915,Bluetooth,-56
90.953,Bluetooth,-59
90.955,Bluetooth,-58
90.988,Bluetooth,-54
90.990,Bluetooth,-53
91.028,Bluetooth,-56
91.030,Bluetooth,-57
91.058,Bluetooth,-56
91.060,Bluetooth,-57
91.092,Bluetooth,-59
91.095,Bluetooth,-59
91.123,Bluetooth,-55
91.125,Bluetooth,-55
91.159,Bluetooth,-57
91.161,Bluetooth,-57
91.193,Bluetooth,-59
91.195,Bluetooth,-59
91.334,Bluetooth,-57
91.335,Bluetooth,-57
91.368,Bluetooth,-54
91.369,Bluetooth,-53
91.406,Bluetooth,-58
91.408,Bluetooth,-57
91.441,Bluetooth,-57
91.443,Bluetooth,-57
91.473,Bluetooth,-54
91.475,Bluetooth,-53
91.506,Bluetooth,-56
91.508,Bluetooth,-57
91.572,Bluetooth,-57
91.574,Bluetooth,-56
91.607,Bluetooth,-53
91.609,Bluetooth,-55
91.643,Bluetooth,-55
91.645,Bluetooth,-55
91.681,Bluetooth,-57
91.683,Bluetooth,-57
91.750,Bluetooth,-58
91.752,Bluetooth,-57
91.900,Bluetooth,-58
91.902,Bluetooth,-58
91.941,Bluetooth,-57
91.943,Bluetooth,-57
92.011,Bluetooth,-57
92.012,Bluetooth,-58
92.047,Bluetooth,-58
92.049,Bluetooth,-57
92.080,Bluetooth,-54
92.082,Bluetooth,-55
92.113,Bluetooth,-59
92.115,Bluetooth,-59
92.175,Bluetooth,-57
92.177,Bluetooth,-58
92.211,Bluetooth,-55
92.213,Bluetooth,-55
92.250,Bluetooth,-59
92.252,Bluetooth,-59
92.391,Bluetooth,-58
92.393,Bluetooth,-57
92.458,Bluetooth,-56
92.460,Bluetooth,-56
92.531,Bluetooth,-57
92.533,Bluetooth,-57
92.562,Bluetooth,-55
92.564,Bluetooth,-55
92.602,Bluetooth,-56
92.603,Bluetooth,-56
92.636,Bluetooth,-55
92.638,Bluetooth,-55
92.672,Bluetooth,-55
92.674,Bluetooth,-55
92.746,Bluetooth,-56
92.748,Bluetooth,-56
92.778,Bluetooth,-56
92.780,Bluetooth,-56
92.845,Bluetooth,-55
92.847,Bluetooth,-56
92.880,Bluetooth,-57
92.881,Bluetooth,-57
92.912,Bluetooth,-55
92.914,Bluetooth,-55
93.022,Bluetooth,-53
93.024,Bluetooth,-54
93.098,Bluetooth,-56
93.100,Bluetooth,-55
93.136,Bluetooth,-53
93.138,Bluetooth,-53
93.171,Bluetooth,-52
93.203,Bluetooth,-55
93.301,Bluetooth,-52
93.302,Bluetooth,-52
93.364,Bluetooth,-53
93.365,Bluetooth,-53
93.402,Bluetooth,-52
93.404,Bluetooth,-52
93.443,Bluetooth,-55
93.445,Bluetooth,-54
93.481,Bluetooth,-53
93.483,Bluetooth,-53
180.425,Bluetooth,-66
180.426,Bluetooth,-66
180.463,Bluetooth,-72
180.499,Bluetooth,-71
180.501,Bluetooth,-72
180.534,Bluetooth,-66
180.535,Bluetooth,-66
180.567,Bluetooth,-71
180.569,Bluetooth,-71
180.632,Bluetooth,-70
180.633,Bluetooth,-70
180.792,Bluetooth,-66
180.794,Bluetooth,-67
180.831,Bluetooth,-71
180.833,Bluetooth,-70
180.871,Bluetooth,-69
180.873,Bluetooth,-68
180.903,Bluetooth,-67
180.904,Bluetooth,-66
180.942,Bluetooth,-71
180.944,Bluetooth,-71
181.014,Bluetooth,-65
181.016,Bluetooth,-68
181.050,Bluetooth,-71
181.051,Bluetooth,-71
181.084,Bluetooth,-68
181.086,Bluetooth,-68
181.123,Bluetooth,-66
181.125,Bluetooth,-67
181.153,Bluetooth,-68
181.154,Bluetooth,-67
181.194,Bluetooth,-72
181.195,Bluetooth,-73
181.231,Bluetooth,-65
181.232,Bluetooth,-67
181.267,Bluetooth,-71
181.269,Bluetooth,-71
181.300,Bluetooth,-71
181.302,Bluetooth,-71
181.334,Bluetooth,-68
181.334,Bluetooth,-68
181.372,Bluetooth,-67
181.374,Bluetooth,-67
181.403,Bluetooth,-73
181.404,Bluetooth,-73
181.544,Bluetooth,-72
181.546,Bluetooth,-71
181.576,Bluetooth,-67
181.577,Bluetooth,-66
181.610,Bluetooth,-68
181.612,Bluetooth,-67
181.644,Bluetooth,-71
181.645,Bluetooth,-71
181.684,Bluetooth,-67
181.686,Bluetooth,-67
181.751,Bluetooth,-67
181.752,Bluetooth,-68
181.781,Bluetooth,-71
181.783,Bluetooth,-72
181.818,Bluetooth,-67
181.820,Bluetooth,-67
181.859,Bluetooth,-67
181.861,Bluetooth,-67
181.896,Bluetooth,-71
181.897,Bluetooth,-70
181.929,Bluetooth,-68
181.931,Bluetooth,-69
181.965,Bluetooth,-67
181.967,Bluetooth,-67
182.004,Bluetooth,-71
182.006,Bluetooth,-71
182.041,Bluetooth,-69
182.043,Bluetooth,-68
182.222,Bluetooth,-67
182.224,Bluetooth,-67
182.252,Bluetooth,-71
182.253,Bluetooth,-70
182.327,Bluetooth,-67
182.328,Bluetooth,-68
182.396,Bluetooth,-71
182.398,Bluetooth,-71
182.437,Bluetooth,-67
182.439,Bluetooth,-66
182.470,Bluetooth,-69
182.472,Bluetooth,-69
182.502,Bluetooth,-72
182.504,Bluetooth,-72
182.543,Bluetooth,-66
182.545,Bluetooth,-66
182.572,Bluetooth,-69
182.574,Bluetooth,-69
182.602,Bluetooth,-73
182.604,Bluetooth,-72
182.644,Bluetooth,-65
182.645,Bluetooth,-66
182.681,Bluetooth,-69
182.682,Bluetooth,-69
182.718,Bluetooth,-69
182.751,Bluetooth,-72
182.753,Bluetooth,-73
182.783,Bluetooth,-66
182.785,Bluetooth,-66
182.822,Bluetooth,-69
182.824,Bluetooth,-69
182.855,Bluetooth,-72
182.857,Bluetooth,-72
182.890,Bluetooth,-66
182.892,Bluetooth,-66
182.960,Bluetooth,-73
182.962,Bluetooth,-73
182.990,Bluetooth,-73
182.992,Bluetooth,-73
183.060,Bluetooth,-68
183.062,Bluetooth,-68
183.093,Bluetooth,-73
183.095,Bluetooth,-73
183.134,Bluetooth,-65
183.136,Bluetooth,-64
183.170,Bluetooth,-69
183.173,Bluetooth,-68
183.210,Bluetooth,-74
183.212,Bluetooth,-74
183.311,Bluetooth,-68
183.312,Bluetooth,-68
183.344,Bluetooth,-74
183.346,Bluetooth,-74
183.378,Bluetooth,-64
183.380,Bluetooth,-64
183.414,Bluetooth,-67
183.415,Bluetooth,-69
183.449,Bluetooth,-74
183.451,Bluetooth,-75
183.482,Bluetooth,-63
183.484,Bluetooth,-64
183.521,Bluetooth,-67
183.523,Bluetooth,-67
183.591,Bluetooth,-75
183.593,Bluetooth,-74
183.623,Bluetooth,-64
183.625,Bluetooth,-64
183.656,Bluetooth,-67
183.658,Bluetooth,-67
183.687,Bluetooth,-74
183.690,Bluetooth,-74
183.723,Bluetooth,-64
183.725,Bluetooth,-64
183.761,Bluetooth,-66
183.763,Bluetooth,-67
183.840,Bluetooth,-65
183.842,Bluetooth,-66
183.877,Bluetooth,-63
183.878,Bluetooth,-63
183.908,Bluetooth,-68
183.909,Bluetooth,-67
183.945,Bluetooth,-76
183.946,Bluetooth,-74
