Distance,10.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhoneXR
0.005,Bluetooth,-74
0.006,Bluetooth,-73
0.071,Bluetooth,-73
0.072,Bluetooth,-73
0.162,Bluetooth,-71
0.163,Bluetooth,-72
0.192,Bluetooth,-72
0.194,Bluetooth,-72
0.290,Bluetooth,-78
0.292,Bluetooth,-78
0.322,Bluetooth,-78
0.323,Bluetooth,-77
0.353,Bluetooth,-81
0.355,Bluetooth,-81
0.420,Bluetooth,-79
0.421,Bluetooth,-80
0.483,Bluetooth,-74
0.485,Bluetooth,-73
0.515,Bluetooth,-76
0.517,Bluetooth,-75
0.545,Bluetooth,-76
0.546,Bluetooth,-76
0.608,Bluetooth,-79
0.610,Bluetooth,-79
0.642,Bluetooth,-82
0.644,Bluetooth,-81
0.672,Bluetooth,-72
0.674,Bluetooth,-74
0.704,Bluetooth,-73
0.706,Bluetooth,-72
0.738,Bluetooth,-80
0.739,Bluetooth,-81
0.807,Bluetooth,-76
0.809,Bluetooth,-76
0.840,Bluetooth,-74
0.841,Bluetooth,-74
0.874,Bluetooth,-81
0.876,Bluetooth,-80
0.908,Bluetooth,-76
0.910,Bluetooth,-76
0.937,Bluetooth,-76
0.939,Bluetooth,-76
0.967,Bluetooth,-77
0.969,Bluetooth,-77
0.998,Bluetooth,-75
1.000,Bluetooth,-76
1.030,Bluetooth,-75
1.032,Bluetooth,-75
1.061,Bluetooth,-72
1.063,Bluetooth,-72
1.091,Bluetooth,-72
1.093,Bluetooth,-71
1.160,Bluetooth,-75
1.161,Bluetooth,-76
1.183,Bluetooth,-72
1.250,Bluetooth,-72
1.251,Bluetooth,-71
1.285,Bluetooth,-69
1.286,Bluetooth,-70
1.349,Bluetooth,-71
1.350,Bluetooth,-71
1.383,Bluetooth,-69
1.385,Bluetooth,-69
1.445,Bluetooth,-75
1.446,Bluetooth,-75
1.481,Bluetooth,-75
1.483,Bluetooth,-74
1.515,Bluetooth,-69
1.516,Bluetooth,-71
1.544,Bluetooth,-79
1.545,Bluetooth,-78
1.607,Bluetooth,-75
1.608,Bluetooth,-75
1.666,Bluetooth,-81
1.668,Bluetooth,-81
1.699,Bluetooth,-76
1.730,Bluetooth,-76
1.732,Bluetooth,-76
1.761,Bluetooth,-70
1.763,Bluetooth,-70
1.790,Bluetooth,-80
1.791,Bluetooth,-81
1.824,Bluetooth,-77
1.827,Bluetooth,-76
1.919,Bluetooth,-81
1.920,Bluetooth,-80
1.949,Bluetooth,-77
1.951,Bluetooth,-77
2.044,Bluetooth,-80
2.046,Bluetooth,-82
2.076,Bluetooth,-78
2.077,Bluetooth,-77
2.107,Bluetooth,-72
2.109,Bluetooth,-73
2.167,Bluetooth,-81
2.169,Bluetooth,-81
2.198,Bluetooth,-76
2.200,Bluetooth,-77
2.234,Bluetooth,-71
2.235,Bluetooth,-71
2.263,Bluetooth,-82
2.265,Bluetooth,-81
2.326,Bluetooth,-77
2.328,Bluetooth,-77
2.360,Bluetooth,-71
2.362,Bluetooth,-71
2.388,Bluetooth,-81
2.390,Bluetooth,-81
2.422,Bluetooth,-76
2.423,Bluetooth,-75
2.513,Bluetooth,-81
2.514,Bluetooth,-79
2.547,Bluetooth,-76
2.548,Bluetooth,-76
2.581,Bluetooth,-72
2.583,Bluetooth,-72
2.641,Bluetooth,-81
2.672,Bluetooth,-76
2.673,Bluetooth,-76
2.702,Bluetooth,-70
2.704,Bluetooth,-71
2.765,Bluetooth,-81
2.766,Bluetooth,-81
2.800,Bluetooth,-75
2.802,Bluetooth,-76
2.830,Bluetooth,-71
2.831,Bluetooth,-71
2.863,Bluetooth,-81
2.864,Bluetooth,-82
2.963,Bluetooth,-71
2.965,Bluetooth,-71
2.995,Bluetooth,-81
2.998,Bluetooth,-81
3.030,Bluetooth,-76
3.031,Bluetooth,-75
3.064,Bluetooth,-71
3.066,Bluetooth,-72
3.098,Bluetooth,-81
3.099,Bluetooth,-81
3.126,Bluetooth,-81
3.128,Bluetooth,-81
3.159,Bluetooth,-75
3.160,Bluetooth,-76
3.192,Bluetooth,-72
3.195,Bluetooth,-72
3.221,Bluetooth,-81
3.222,Bluetooth,-81
3.252,Bluetooth,-82
3.285,Bluetooth,-77
3.287,Bluetooth,-76
3.316,Bluetooth,-71
3.317,Bluetooth,-71
3.350,Bluetooth,-81
3.351,Bluetooth,-81
3.384,Bluetooth,-75
3.386,Bluetooth,-76
3.446,Bluetooth,-72
3.448,Bluetooth,-71
3.475,Bluetooth,-81
3.477,Bluetooth,-82
3.505,Bluetooth,-76
3.507,Bluetooth,-76
3.570,Bluetooth,-71
3.571,Bluetooth,-71
3.600,Bluetooth,-81
3.601,Bluetooth,-81
3.664,Bluetooth,-71
3.666,Bluetooth,-71
3.726,Bluetooth,-82
3.728,Bluetooth,-80
3.790,Bluetooth,-71
3.792,Bluetooth,-70
3.824,Bluetooth,-81
3.826,Bluetooth,-82
3.853,Bluetooth,-80
3.884,Bluetooth,-76
3.886,Bluetooth,-77
3.944,Bluetooth,-81
3.979,Bluetooth,-75
3.980,Bluetooth,-76
64.334,Bluetooth,-73
64.335,Bluetooth,-73
64.362,Bluetooth,-74
64.364,Bluetooth,-73
64.393,Bluetooth,-82
64.395,Bluetooth,-83
64.425,Bluetooth,-80
64.427,Bluetooth,-82
64.457,Bluetooth,-73
64.459,Bluetooth,-72
64.490,Bluetooth,-82
64.491,Bluetooth,-82
64.521,Bluetooth,-81
64.523,Bluetooth,-83
64.554,Bluetooth,-81
64.556,Bluetooth,-81
64.582,Bluetooth,-72
64.584,Bluetooth,-73
64.617,Bluetooth,-81
64.618,Bluetooth,-81
64.653,Bluetooth,-81
64.654,Bluetooth,-81
64.715,Bluetooth,-73
64.717,Bluetooth,-72
64.748,Bluetooth,-82
64.750,Bluetooth,-81
64.784,Bluetooth,-80
64.785,Bluetooth,-81
64.812,Bluetooth,-72
64.814,Bluetooth,-73
64.876,Bluetooth,-82
64.877,Bluetooth,-82
64.909,Bluetooth,-81
64.910,Bluetooth,-80
64.939,Bluetooth,-73
64.941,Bluetooth,-74
64.969,Bluetooth,-82
64.971,Bluetooth,-83
64.999,Bluetooth,-81
65.001,Bluetooth,-83
65.034,Bluetooth,-81
65.035,Bluetooth,-82
