Distance,10.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
0.000,Bluetooth,-58
0.001,Bluetooth,-59
0.032,Bluetooth,-56
0.033,Bluetooth,-57
0.064,Bluetooth,-63
0.065,Bluetooth,-63
0.126,Bluetooth,-57
0.127,Bluetooth,-57
0.159,Bluetooth,-57
0.160,Bluetooth,-57
0.193,Bluetooth,-60
0.193,Bluetooth,-61
0.220,Bluetooth,-59
0.221,Bluetooth,-59
0.353,Bluetooth,-57
0.353,Bluetooth,-57
0.383,Bluetooth,-56
0.384,Bluetooth,-58
0.448,Bluetooth,-61
0.449,Bluetooth,-60
0.480,Bluetooth,-56
0.481,Bluetooth,-58
0.509,Bluetooth,-57
0.510,Bluetooth,-58
0.542,Bluetooth,-61
0.544,Bluetooth,-60
0.633,Bluetooth,-58
0.635,Bluetooth,-57
0.665,Bluetooth,-58
0.761,Bluetooth,-58
0.762,Bluetooth,-58
0.796,Bluetooth,-58
0.797,Bluetooth,-60
0.831,Bluetooth,-62
0.832,Bluetooth,-62
0.861,Bluetooth,-59
0.863,Bluetooth,-58
0.894,Bluetooth,-58
0.895,Bluetooth,-59
0.926,Bluetooth,-59
0.927,Bluetooth,-59
0.960,Bluetooth,-62
0.961,Bluetooth,-61
0.989,Bluetooth,-57
0.990,Bluetooth,-57
1.050,Bluetooth,-60
1.052,Bluetooth,-59
1.081,Bluetooth,-59
1.083,Bluetooth,-61
1.115,Bluetooth,-57
1.116,Bluetooth,-58
1.145,Bluetooth,-58
1.147,Bluetooth,-58
1.210,Bluetooth,-60
1.211,Bluetooth,-60
1.244,Bluetooth,-59
1.244,Bluetooth,-60
1.273,Bluetooth,-59
1.274,Bluetooth,-59
1.372,Bluetooth,-58
1.374,Bluetooth,-58
1.405,Bluetooth,-59
1.406,Bluetooth,-59
1.440,Bluetooth,-62
1.441,Bluetooth,-60
1.468,Bluetooth,-58
1.469,Bluetooth,-58
1.533,Bluetooth,-61
1.534,Bluetooth,-61
1.563,Bluetooth,-63
1.565,Bluetooth,-62
1.595,Bluetooth,-59
1.596,Bluetooth,-58
1.626,Bluetooth,-62
1.627,Bluetooth,-63
1.690,Bluetooth,-63
1.691,Bluetooth,-64
1.723,Bluetooth,-61
1.724,Bluetooth,-61
1.755,Bluetooth,-61
1.756,Bluetooth,-61
1.786,Bluetooth,-63
1.787,Bluetooth,-63
1.855,Bluetooth,-61
1.856,Bluetooth,-60
1.919,Bluetooth,-62
1.920,Bluetooth,-60
1.954,Bluetooth,-63
1.955,Bluetooth,-63
2.056,Bluetooth,-59
2.056,Bluetooth,-60
2.089,Bluetooth,-64
2.090,Bluetooth,-64
2.118,Bluetooth,-61
2.119,Bluetooth,-61
2.151,Bluetooth,-60
2.152,Bluetooth,-59
2.188,Bluetooth,-63
2.189,Bluetooth,-64
2.246,Bluetooth,-60
2.247,Bluetooth,-60
2.275,Bluetooth,-59
2.276,Bluetooth,-59
2.310,Bluetooth,-62
2.311,Bluetooth,-62
2.373,Bluetooth,-58
2.374,Bluetooth,-59
2.403,Bluetooth,-62
2.404,Bluetooth,-62
2.437,Bluetooth,-60
2.439,Bluetooth,-60
2.469,Bluetooth,-58
2.470,Bluetooth,-59
2.598,Bluetooth,-60
2.599,Bluetooth,-60
2.629,Bluetooth,-61
2.629,Bluetooth,-61
2.725,Bluetooth,-61
2.726,Bluetooth,-61
2.760,Bluetooth,-60
2.761,Bluetooth,-60
2.795,Bluetooth,-61
2.796,Bluetooth,-62
2.827,Bluetooth,-60
2.828,Bluetooth,-60
2.892,Bluetooth,-58
2.893,Bluetooth,-59
2.925,Bluetooth,-60
2.926,Bluetooth,-60
2.954,Bluetooth,-59
2.955,Bluetooth,-59
2.985,Bluetooth,-59
2.986,Bluetooth,-60
3.045,Bluetooth,-59
3.047,Bluetooth,-60
3.076,Bluetooth,-59
3.077,Bluetooth,-59
3.109,Bluetooth,-59
3.111,Bluetooth,-59
3.204,Bluetooth,-57
3.205,Bluetooth,-58
3.237,Bluetooth,-59
3.238,Bluetooth,-59
3.268,Bluetooth,-61
3.269,Bluetooth,-60
3.365,Bluetooth,-59
3.366,Bluetooth,-60
3.397,Bluetooth,-60
3.398,Bluetooth,-60
3.426,Bluetooth,-59
3.427,Bluetooth,-59
3.491,Bluetooth,-60
3.492,Bluetooth,-60
3.522,Bluetooth,-60
3.523,Bluetooth,-60
3.550,Bluetooth,-60
3.551,Bluetooth,-60
3.584,Bluetooth,-62
3.589,Bluetooth,-61
3.654,Bluetooth,-60
3.655,Bluetooth,-60
3.682,Bluetooth,-58
3.683,Bluetooth,-59
3.806,Bluetooth,-59
3.807,Bluetooth,-59
3.839,Bluetooth,-59
3.840,Bluetooth,-60
3.868,Bluetooth,-60
3.869,Bluetooth,-60
3.929,Bluetooth,-59
3.930,Bluetooth,-59
16.502,Bluetooth,-63
16.503,Bluetooth,-64
16.533,Bluetooth,-63
16.535,Bluetooth,-63
16.566,Bluetooth,-66
16.566,Bluetooth,-66
16.594,Bluetooth,-57
16.595,Bluetooth,-57
16.627,Bluetooth,-64
16.628,Bluetooth,-64
16.663,Bluetooth,-66
16.664,Bluetooth,-66
16.788,Bluetooth,-66
16.789,Bluetooth,-66
16.846,Bluetooth,-57
16.848,Bluetooth,-56
16.882,Bluetooth,-64
16.883,Bluetooth,-64
16.918,Bluetooth,-65
16.918,Bluetooth,-65
16.948,Bluetooth,-57
16.949,Bluetooth,-56
16.982,Bluetooth,-65
16.982,Bluetooth,-64
17.046,Bluetooth,-65
17.048,Bluetooth,-65
17.078,Bluetooth,-57
17.079,Bluetooth,-57
17.113,Bluetooth,-65
17.113,Bluetooth,-64
17.143,Bluetooth,-67
17.144,Bluetooth,-68
17.173,Bluetooth,-68
17.174,Bluetooth,-68
17.203,Bluetooth,-58
17.204,Bluetooth,-58
17.234,Bluetooth,-65
17.234,Bluetooth,-67
17.264,Bluetooth,-64
17.265,Bluetooth,-65
17.326,Bluetooth,-65
17.328,Bluetooth,-66
17.358,Bluetooth,-58
17.359,Bluetooth,-57
17.388,Bluetooth,-64
17.389,Bluetooth,-64
17.453,Bluetooth,-66
17.454,Bluetooth,-66
17.519,Bluetooth,-67
17.521,Bluetooth,-67
17.554,Bluetooth,-68
17.555,Bluetooth,-67
17.584,Bluetooth,-58
17.652,Bluetooth,-69
17.653,Bluetooth,-67
17.683,Bluetooth,-70
17.684,Bluetooth,-69
17.716,Bluetooth,-59
17.717,Bluetooth,-60
17.751,Bluetooth,-68
17.752,Bluetooth,-66
17.783,Bluetooth,-68
17.784,Bluetooth,-69
17.811,Bluetooth,-68
17.812,Bluetooth,-68
17.841,Bluetooth,-57
17.843,Bluetooth,-58
17.874,Bluetooth,-67
17.876,Bluetooth,-66
17.968,Bluetooth,-58
17.969,Bluetooth,-60
17.998,Bluetooth,-67
17.999,Bluetooth,-68
18.030,Bluetooth,-73
18.031,Bluetooth,-72
18.065,Bluetooth,-57
18.066,Bluetooth,-58
18.132,Bluetooth,-66
18.133,Bluetooth,-66
18.163,Bluetooth,-68
18.164,Bluetooth,-68
18.194,Bluetooth,-58
18.195,Bluetooth,-58
18.225,Bluetooth,-66
18.226,Bluetooth,-67
18.254,Bluetooth,-66
18.255,Bluetooth,-66
18.285,Bluetooth,-67
18.314,Bluetooth,-58
18.315,Bluetooth,-58
18.408,Bluetooth,-68
18.409,Bluetooth,-68
