Distance,15.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
0.000,Bluetooth,-62
0.001,Bluetooth,-61
0.042,Bluetooth,-61
0.079,Bluetooth,-61
0.080,Bluetooth,-62
0.148,Bluetooth,-54
0.149,Bluetooth,-54
0.188,Bluetooth,-60
0.188,Bluetooth,-60
0.218,Bluetooth,-57
0.219,Bluetooth,-59
0.249,Bluetooth,-54
0.250,Bluetooth,-53
0.355,Bluetooth,-61
0.389,Bluetooth,-59
0.390,Bluetooth,-61
0.430,Bluetooth,-57
0.431,Bluetooth,-58
0.494,Bluetooth,-61
0.495,Bluetooth,-61
0.602,Bluetooth,-60
0.603,Bluetooth,-60
0.633,Bluetooth,-58
0.710,Bluetooth,-56
0.711,Bluetooth,-57
0.748,Bluetooth,-58
0.749,Bluetooth,-57
0.786,Bluetooth,-63
0.787,Bluetooth,-62
0.932,Bluetooth,-59
0.964,Bluetooth,-60
0.965,Bluetooth,-60
1.029,Bluetooth,-55
1.030,Bluetooth,-55
1.092,Bluetooth,-61
1.093,Bluetooth,-60
1.122,Bluetooth,-55
1.123,Bluetooth,-55
1.226,Bluetooth,-62
1.262,Bluetooth,-60
1.263,Bluetooth,-61
1.301,Bluetooth,-54
1.302,Bluetooth,-55
1.374,Bluetooth,-56
1.375,Bluetooth,-56
1.545,Bluetooth,-55
1.582,Bluetooth,-62
1.582,Bluetooth,-62
1.619,Bluetooth,-56
1.620,Bluetooth,-55
1.658,Bluetooth,-57
1.659,Bluetooth,-57
1.692,Bluetooth,-61
1.693,Bluetooth,-62
1.727,Bluetooth,-55
1.728,Bluetooth,-53
1.831,Bluetooth,-57
1.865,Bluetooth,-61
1.944,Bluetooth,-58
1.946,Bluetooth,-57
2.077,Bluetooth,-57
2.078,Bluetooth,-58
2.115,Bluetooth,-62
2.116,Bluetooth,-61
2.144,Bluetooth,-60
2.176,Bluetooth,-61
2.177,Bluetooth,-61
2.252,Bluetooth,-58
2.253,Bluetooth,-58
2.281,Bluetooth,-62
2.282,Bluetooth,-62
2.454,Bluetooth,-55
2.524,Bluetooth,-56
2.524,Bluetooth,-55
2.554,Bluetooth,-58
2.554,Bluetooth,-57
2.627,Bluetooth,-55
2.628,Bluetooth,-56
2.692,Bluetooth,-56
2.693,Bluetooth,-56
2.753,Bluetooth,-57
2.787,Bluetooth,-64
2.788,Bluetooth,-63
2.855,Bluetooth,-64
2.856,Bluetooth,-63
2.889,Bluetooth,-63
2.890,Bluetooth,-62
