Distance,4.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
0.018,Bluetooth,-63
0.019,Bluetooth,-64
0.120,Bluetooth,-64
0.121,Bluetooth,-63
0.157,Bluetooth,-62
0.158,Bluetooth,-61
0.188,Bluetooth,-63
0.190,Bluetooth,-63
0.256,Bluetooth,-63
0.257,Bluetooth,-63
0.285,Bluetooth,-61
0.286,Bluetooth,-63
0.360,Bluetooth,-62
0.361,Bluetooth,-64
0.456,Bluetooth,-59
0.457,Bluetooth,-61
0.491,Bluetooth,-63
0.492,Bluetooth,-64
0.527,Bluetooth,-63
0.528,Bluetooth,-63
0.597,Bluetooth,-62
0.598,Bluetooth,-62
0.633,Bluetooth,-63
0.635,Bluetooth,-63
0.668,Bluetooth,-64
0.669,Bluetooth,-63
0.708,Bluetooth,-60
0.709,Bluetooth,-59
0.802,Bluetooth,-60
0.833,Bluetooth,-64
0.834,Bluetooth,-63
0.863,Bluetooth,-64
0.864,Bluetooth,-62
0.894,Bluetooth,-64
0.895,Bluetooth,-63
1.006,Bluetooth,-63
1.007,Bluetooth,-63
1.043,Bluetooth,-60
1.044,Bluetooth,-60
1.073,Bluetooth,-62
1.074,Bluetooth,-63
1.143,Bluetooth,-62
1.248,Bluetooth,-63
1.249,Bluetooth,-63
1.284,Bluetooth,-59
1.285,Bluetooth,-61
1.314,Bluetooth,-62
1.315,Bluetooth,-63
1.344,Bluetooth,-63
1.345,Bluetooth,-64
1.385,Bluetooth,-64
1.386,Bluetooth,-62
1.454,Bluetooth,-63
1.455,Bluetooth,-62
1.560,Bluetooth,-63
1.561,Bluetooth,-62
1.639,Bluetooth,-60
1.640,Bluetooth,-60
1.676,Bluetooth,-63
1.677,Bluetooth,-62
1.707,Bluetooth,-62
1.709,Bluetooth,-62
1.778,Bluetooth,-60
1.853,Bluetooth,-62
1.855,Bluetooth,-63
1.892,Bluetooth,-59
1.925,Bluetooth,-63
1.926,Bluetooth,-62
1.966,Bluetooth,-63
1.968,Bluetooth,-62
2.004,Bluetooth,-60
2.005,Bluetooth,-61
2.068,Bluetooth,-63
2.144,Bluetooth,-60
2.145,Bluetooth,-60
2.175,Bluetooth,-62
2.176,Bluetooth,-61
2.215,Bluetooth,-63
2.217,Bluetooth,-63
2.258,Bluetooth,-60
2.259,Bluetooth,-60
2.294,Bluetooth,-62
2.295,Bluetooth,-63
2.325,Bluetooth,-64
2.326,Bluetooth,-63
2.358,Bluetooth,-60
2.359,Bluetooth,-60
2.393,Bluetooth,-63
2.394,Bluetooth,-62
2.457,Bluetooth,-61
2.458,Bluetooth,-60
2.496,Bluetooth,-62
2.497,Bluetooth,-62
2.561,Bluetooth,-61
2.594,Bluetooth,-63
2.595,Bluetooth,-62
2.626,Bluetooth,-62
2.660,Bluetooth,-63
2.661,Bluetooth,-63
2.698,Bluetooth,-60
2.772,Bluetooth,-62
2.773,Bluetooth,-63
2.806,Bluetooth,-60
2.807,Bluetooth,-61
2.877,Bluetooth,-63
2.878,Bluetooth,-64
2.908,Bluetooth,-63
2.945,Bluetooth,-59
2.946,Bluetooth,-60
2.982,Bluetooth,-63
2.984,Bluetooth,-63
3.021,Bluetooth,-63
3.022,Bluetooth,-63
3.063,Bluetooth,-60
3.064,Bluetooth,-60
3.130,Bluetooth,-63
3.131,Bluetooth,-63
3.165,Bluetooth,-60
3.166,Bluetooth,-60
3.225,Bluetooth,-63
3.287,Bluetooth,-60
3.288,Bluetooth,-60
3.319,Bluetooth,-63
3.320,Bluetooth,-63
3.395,Bluetooth,-61
3.396,Bluetooth,-59
3.434,Bluetooth,-62
3.435,Bluetooth,-63
3.580,Bluetooth,-62
3.581,Bluetooth,-63
3.619,Bluetooth,-64
3.620,Bluetooth,-63
3.652,Bluetooth,-59
3.653,Bluetooth,-60
3.683,Bluetooth,-62
3.684,Bluetooth,-64
3.757,Bluetooth,-59
3.758,Bluetooth,-60
3.825,Bluetooth,-63
3.826,Bluetooth,-62
3.865,Bluetooth,-62
3.866,Bluetooth,-62
3.905,Bluetooth,-60
3.906,Bluetooth,-60
3.938,Bluetooth,-63
