Distance,6.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
0.017,Bluetooth,-71
0.018,Bluetooth,-72
0.043,Bluetooth,-73
0.044,Bluetooth,-72
0.077,Bluetooth,-66
0.079,Bluetooth,-66
0.139,Bluetooth,-69
0.140,Bluetooth,-69
0.169,Bluetooth,-72
0.171,Bluetooth,-71
0.263,Bluetooth,-77
0.264,Bluetooth,-77
0.295,Bluetooth,-69
0.296,Bluetooth,-71
0.324,Bluetooth,-73
0.325,Bluetooth,-73
0.387,Bluetooth,-70
0.389,Bluetooth,-70
0.454,Bluetooth,-67
0.455,Bluetooth,-66
0.485,Bluetooth,-67
0.486,Bluetooth,-69
0.547,Bluetooth,-67
0.548,Bluetooth,-67
0.580,Bluetooth,-72
0.640,Bluetooth,-72
0.641,Bluetooth,-71
0.671,Bluetooth,-68
0.672,Bluetooth,-69
0.700,Bluetooth,-67
0.700,Bluetooth,-68
0.733,Bluetooth,-65
0.733,Bluetooth,-66
0.768,Bluetooth,-68
0.769,Bluetooth,-66
0.895,Bluetooth,-67
0.897,Bluetooth,-67
0.930,Bluetooth,-65
0.931,Bluetooth,-64
0.997,Bluetooth,-66
0.997,Bluetooth,-66
1.090,Bluetooth,-66
1.091,Bluetooth,-67
1.151,Bluetooth,-64
1.152,Bluetooth,-65
1.181,Bluetooth,-65
1.182,Bluetooth,-65
1.218,Bluetooth,-66
1.220,Bluetooth,-66
1.269,Bluetooth,-66
1.270,Bluetooth,-67
1.304,Bluetooth,-69
1.306,Bluetooth,-69
1.339,Bluetooth,-67
1.340,Bluetooth,-67
1.372,Bluetooth,-70
1.373,Bluetooth,-69
1.535,Bluetooth,-69
1.536,Bluetooth,-67
1.631,Bluetooth,-67
1.632,Bluetooth,-67
1.699,Bluetooth,-70
1.699,Bluetooth,-70
1.728,Bluetooth,-68
1.730,Bluetooth,-67
1.794,Bluetooth,-70
1.794,Bluetooth,-70
1.855,Bluetooth,-67
1.856,Bluetooth,-67
1.890,Bluetooth,-70
1.891,Bluetooth,-71
1.956,Bluetooth,-67
1.957,Bluetooth,-66
1.988,Bluetooth,-73
1.989,Bluetooth,-73
2.085,Bluetooth,-71
2.087,Bluetooth,-71
2.149,Bluetooth,-67
2.150,Bluetooth,-66
2.183,Bluetooth,-71
2.184,Bluetooth,-71
2.248,Bluetooth,-68
2.249,Bluetooth,-68
2.282,Bluetooth,-71
2.284,Bluetooth,-71
2.345,Bluetooth,-68
2.346,Bluetooth,-68
2.380,Bluetooth,-71
2.381,Bluetooth,-71
2.482,Bluetooth,-71
2.483,Bluetooth,-72
2.542,Bluetooth,-67
2.543,Bluetooth,-68
2.638,Bluetooth,-67
2.639,Bluetooth,-69
2.674,Bluetooth,-70
2.675,Bluetooth,-71
2.740,Bluetooth,-67
2.741,Bluetooth,-68
2.769,Bluetooth,-69
2.770,Bluetooth,-69
2.834,Bluetooth,-68
2.835,Bluetooth,-67
2.900,Bluetooth,-71
2.901,Bluetooth,-71
2.933,Bluetooth,-68
2.966,Bluetooth,-71
2.967,Bluetooth,-71
2.997,Bluetooth,-71
2.998,Bluetooth,-71
3.058,Bluetooth,-68
3.059,Bluetooth,-68
3.092,Bluetooth,-69
3.093,Bluetooth,-69
3.153,Bluetooth,-72
3.154,Bluetooth,-73
3.185,Bluetooth,-68
3.187,Bluetooth,-70
3.248,Bluetooth,-71
3.249,Bluetooth,-73
3.383,Bluetooth,-72
3.384,Bluetooth,-71
3.450,Bluetooth,-67
3.451,Bluetooth,-69
3.484,Bluetooth,-71
3.485,Bluetooth,-72
3.549,Bluetooth,-68
3.550,Bluetooth,-68
3.583,Bluetooth,-72
3.584,Bluetooth,-70
3.639,Bluetooth,-68
3.640,Bluetooth,-70
3.673,Bluetooth,-73
3.674,Bluetooth,-73
3.735,Bluetooth,-72
3.767,Bluetooth,-73
3.768,Bluetooth,-73
3.830,Bluetooth,-69
3.866,Bluetooth,-72
3.867,Bluetooth,-72
3.929,Bluetooth,-69
3.996,Bluetooth,-73
3.997,Bluetooth,-73
46.370,Bluetooth,-79
46.371,Bluetooth,-79
46.434,Bluetooth,-83
46.435,Bluetooth,-84
46.469,Bluetooth,-79
46.470,Bluetooth,-79
46.594,Bluetooth,-80
46.595,Bluetooth,-80
46.629,Bluetooth,-83
46.630,Bluetooth,-83
46.694,Bluetooth,-79
46.696,Bluetooth,-79
46.760,Bluetooth,-83
46.761,Bluetooth,-83
46.791,Bluetooth,-79
46.792,Bluetooth,-78
46.854,Bluetooth,-84
46.884,Bluetooth,-79
46.885,Bluetooth,-79
46.948,Bluetooth,-84
46.948,Bluetooth,-84
46.979,Bluetooth,-79
46.979,Bluetooth,-79
47.012,Bluetooth,-78
47.013,Bluetooth,-77
47.045,Bluetooth,-83
47.046,Bluetooth,-84
47.077,Bluetooth,-79
47.078,Bluetooth,-79
47.119,Bluetooth,-77
47.203,Bluetooth,-79
47.204,Bluetooth,-78
47.235,Bluetooth,-83
47.236,Bluetooth,-84
47.265,Bluetooth,-79
47.267,Bluetooth,-78
47.364,Bluetooth,-83
47.365,Bluetooth,-84
47.393,Bluetooth,-79
47.394,Bluetooth,-78
47.424,Bluetooth,-83
47.425,Bluetooth,-84
47.485,Bluetooth,-78
47.487,Bluetooth,-78
47.549,Bluetooth,-84
47.550,Bluetooth,-84
47.582,Bluetooth,-78
47.583,Bluetooth,-79
47.648,Bluetooth,-85
47.649,Bluetooth,-84
47.679,Bluetooth,-78
47.680,Bluetooth,-78
47.717,Bluetooth,-78
47.718,Bluetooth,-77
47.835,Bluetooth,-85
47.836,Bluetooth,-84
47.933,Bluetooth,-83
47.934,Bluetooth,-84
47.963,Bluetooth,-85
47.994,Bluetooth,-80
47.995,Bluetooth,-78
48.054,Bluetooth,-84
