Distance,6.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
0.000,Bluetooth,-55
0.001,Bluetooth,-56
0.039,Bluetooth,-59
0.040,Bluetooth,-59
0.079,Bluetooth,-61
0.080,Bluetooth,-60
0.116,Bluetooth,-66
0.117,Bluetooth,-66
0.148,Bluetooth,-65
0.149,Bluetooth,-65
0.261,Bluetooth,-67
0.263,Bluetooth,-66
0.333,Bluetooth,-58
0.334,Bluetooth,-58
0.370,Bluetooth,-64
0.371,Bluetooth,-64
0.407,Bluetooth,-56
0.408,Bluetooth,-57
0.438,Bluetooth,-55
0.440,Bluetooth,-54
0.515,Bluetooth,-62
0.516,Bluetooth,-62
0.557,Bluetooth,-55
0.558,Bluetooth,-53
0.593,Bluetooth,-57
0.594,Bluetooth,-58
0.629,Bluetooth,-64
0.630,Bluetooth,-62
0.668,Bluetooth,-54
0.669,Bluetooth,-54
0.700,Bluetooth,-59
0.701,Bluetooth,-59
0.736,Bluetooth,-62
0.737,Bluetooth,-63
0.771,Bluetooth,-53
0.772,Bluetooth,-55
0.802,Bluetooth,-54
0.803,Bluetooth,-54
0.835,Bluetooth,-58
0.836,Bluetooth,-57
0.866,Bluetooth,-63
0.867,Bluetooth,-63
0.899,Bluetooth,-53
0.900,Bluetooth,-54
0.936,Bluetooth,-57
0.938,Bluetooth,-57
0.999,Bluetooth,-64
1.000,Bluetooth,-64
1.031,Bluetooth,-55
1.032,Bluetooth,-54
1.063,Bluetooth,-58
1.064,Bluetooth,-58
1.102,Bluetooth,-65
1.103,Bluetooth,-64
1.176,Bluetooth,-58
1.177,Bluetooth,-57
1.237,Bluetooth,-63
1.238,Bluetooth,-63
1.278,Bluetooth,-54
1.279,Bluetooth,-54
1.314,Bluetooth,-58
1.315,Bluetooth,-58
1.351,Bluetooth,-62
1.352,Bluetooth,-62
1.382,Bluetooth,-54
1.383,Bluetooth,-53
1.417,Bluetooth,-58
1.418,Bluetooth,-58
1.446,Bluetooth,-63
1.447,Bluetooth,-63
1.480,Bluetooth,-60
1.481,Bluetooth,-63
1.517,Bluetooth,-55
1.518,Bluetooth,-55
1.551,Bluetooth,-58
1.552,Bluetooth,-58
1.585,Bluetooth,-61
1.586,Bluetooth,-62
1.697,Bluetooth,-60
1.698,Bluetooth,-62
1.732,Bluetooth,-55
1.733,Bluetooth,-54
1.772,Bluetooth,-57
1.773,Bluetooth,-58
1.808,Bluetooth,-60
1.809,Bluetooth,-62
1.842,Bluetooth,-60
1.842,Bluetooth,-62
1.942,Bluetooth,-59
1.944,Bluetooth,-61
1.977,Bluetooth,-54
1.978,Bluetooth,-53
2.043,Bluetooth,-59
2.044,Bluetooth,-59
2.081,Bluetooth,-60
2.083,Bluetooth,-59
2.118,Bluetooth,-53
2.119,Bluetooth,-55
2.150,Bluetooth,-60
2.151,Bluetooth,-59
2.188,Bluetooth,-59
2.190,Bluetooth,-60
2.223,Bluetooth,-54
2.293,Bluetooth,-58
2.294,Bluetooth,-58
2.329,Bluetooth,-54
2.330,Bluetooth,-55
2.367,Bluetooth,-57
2.368,Bluetooth,-57
2.406,Bluetooth,-57
2.407,Bluetooth,-58
2.441,Bluetooth,-57
2.442,Bluetooth,-58
2.478,Bluetooth,-54
2.479,Bluetooth,-53
2.520,Bluetooth,-57
2.521,Bluetooth,-57
2.653,Bluetooth,-59
2.654,Bluetooth,-57
2.685,Bluetooth,-58
2.723,Bluetooth,-53
2.724,Bluetooth,-54
2.752,Bluetooth,-58
2.753,Bluetooth,-58
2.786,Bluetooth,-58
2.787,Bluetooth,-58
2.850,Bluetooth,-56
2.851,Bluetooth,-58
2.883,Bluetooth,-57
2.884,Bluetooth,-58
2.921,Bluetooth,-58
2.923,Bluetooth,-59
3.032,Bluetooth,-57
3.033,Bluetooth,-58
3.143,Bluetooth,-58
3.144,Bluetooth,-58
3.214,Bluetooth,-56
3.215,Bluetooth,-57
3.245,Bluetooth,-58
3.246,Bluetooth,-58
3.276,Bluetooth,-57
3.277,Bluetooth,-59
3.310,Bluetooth,-53
3.311,Bluetooth,-54
3.344,Bluetooth,-56
3.380,Bluetooth,-58
3.381,Bluetooth,-58
3.486,Bluetooth,-60
3.487,Bluetooth,-58
3.527,Bluetooth,-54
3.528,Bluetooth,-53
3.568,Bluetooth,-55
3.569,Bluetooth,-56
3.605,Bluetooth,-59
3.606,Bluetooth,-58
3.648,Bluetooth,-53
3.649,Bluetooth,-53
3.683,Bluetooth,-54
3.684,Bluetooth,-53
3.723,Bluetooth,-56
3.724,Bluetooth,-56
3.759,Bluetooth,-58
3.760,Bluetooth,-60
3.797,Bluetooth,-54
3.798,Bluetooth,-53
3.828,Bluetooth,-55
3.829,Bluetooth,-55
3.859,Bluetooth,-59
3.860,Bluetooth,-60
3.895,Bluetooth,-53
3.896,Bluetooth,-53
17.957,Bluetooth,-56
17.992,Bluetooth,-63
17.994,Bluetooth,-62
18.062,Bluetooth,-56
18.063,Bluetooth,-58
18.141,Bluetooth,-61
18.142,Bluetooth,-61
18.180,Bluetooth,-57
18.182,Bluetooth,-57
18.210,Bluetooth,-62
18.211,Bluetooth,-62
18.251,Bluetooth,-61
18.252,Bluetooth,-60
18.287,Bluetooth,-56
18.288,Bluetooth,-56
18.322,Bluetooth,-57
18.323,Bluetooth,-57
18.358,Bluetooth,-62
18.417,Bluetooth,-56
18.418,Bluetooth,-58
18.449,Bluetooth,-62
18.450,Bluetooth,-63
18.487,Bluetooth,-60
18.488,Bluetooth,-60
18.561,Bluetooth,-57
18.562,Bluetooth,-57
18.593,Bluetooth,-62
18.593,Bluetooth,-62
18.633,Bluetooth,-62
18.634,Bluetooth,-61
18.662,Bluetooth,-57
18.663,Bluetooth,-58
18.733,Bluetooth,-60
18.734,Bluetooth,-61
18.770,Bluetooth,-57
18.771,Bluetooth,-57
18.922,Bluetooth,-56
18.923,Bluetooth,-57
18.953,Bluetooth,-62
18.992,Bluetooth,-60
18.993,Bluetooth,-60
19.023,Bluetooth,-58
19.024,Bluetooth,-56
19.054,Bluetooth,-61
19.055,Bluetooth,-62
19.093,Bluetooth,-60
19.094,Bluetooth,-60
19.277,Bluetooth,-56
19.279,Bluetooth,-58
19.311,Bluetooth,-62
19.312,Bluetooth,-63
19.344,Bluetooth,-60
19.345,Bluetooth,-59
19.378,Bluetooth,-57
19.379,Bluetooth,-58
19.477,Bluetooth,-60
19.478,Bluetooth,-60
19.512,Bluetooth,-57
19.513,Bluetooth,-58
19.550,Bluetooth,-63
19.551,Bluetooth,-62
19.619,Bluetooth,-57
19.620,Bluetooth,-57
19.694,Bluetooth,-61
19.695,Bluetooth,-61
19.729,Bluetooth,-57
19.730,Bluetooth,-57
19.766,Bluetooth,-61
19.767,Bluetooth,-62
19.796,Bluetooth,-62
19.797,Bluetooth,-62
19.837,Bluetooth,-61
19.838,Bluetooth,-61
19.870,Bluetooth,-58
19.871,Bluetooth,-57
19.907,Bluetooth,-63
19.909,Bluetooth,-62
19.940,Bluetooth,-60
19.942,Bluetooth,-60
19.979,Bluetooth,-56
19.980,Bluetooth,-57
20.017,Bluetooth,-61
20.018,Bluetooth,-62
20.054,Bluetooth,-60
20.129,Bluetooth,-62
20.130,Bluetooth,-61
20.237,Bluetooth,-57
20.238,Bluetooth,-58
20.339,Bluetooth,-57
20.341,Bluetooth,-58
20.374,Bluetooth,-61
20.409,Bluetooth,-60
20.411,Bluetooth,-60
20.440,Bluetooth,-60
20.442,Bluetooth,-60
20.482,Bluetooth,-56
20.482,Bluetooth,-56
20.513,Bluetooth,-60
20.514,Bluetooth,-61
20.554,Bluetooth,-60
20.555,Bluetooth,-60
20.585,Bluetooth,-56
20.586,Bluetooth,-56
20.619,Bluetooth,-60
20.620,Bluetooth,-60
20.684,Bluetooth,-60
20.685,Bluetooth,-60
20.720,Bluetooth,-56
20.755,Bluetooth,-62
20.756,Bluetooth,-62
20.796,Bluetooth,-60
20.797,Bluetooth,-60
20.829,Bluetooth,-57
20.830,Bluetooth,-57
20.860,Bluetooth,-61
20.861,Bluetooth,-60
21.009,Bluetooth,-62
21.010,Bluetooth,-63
21.044,Bluetooth,-63
21.045,Bluetooth,-61
21.073,Bluetooth,-56
21.074,Bluetooth,-58
21.104,Bluetooth,-61
21.141,Bluetooth,-61
21.142,Bluetooth,-62
21.177,Bluetooth,-58
21.178,Bluetooth,-58
21.208,Bluetooth,-62
21.210,Bluetooth,-63
21.242,Bluetooth,-62
21.243,Bluetooth,-61
21.273,Bluetooth,-62
21.274,Bluetooth,-62
21.301,Bluetooth,-58
21.303,Bluetooth,-58
21.334,Bluetooth,-61
21.335,Bluetooth,-61
21.369,Bluetooth,-62
21.371,Bluetooth,-62
21.408,Bluetooth,-56
21.409,Bluetooth,-58
