Distance,6.0
TXDevice,iPhone11_Pro
TXPower,7
RXDevice,iPhoneXR
0.000,Bluetooth,-52
0.001,Bluetooth,-53
0.040,Bluetooth,-52
0.042,Bluetooth,-54
0.135,Bluetooth,-50
0.137,Bluetooth,-50
0.170,Bluetooth,-52
0.172,Bluetooth,-52
0.205,Bluetooth,-54
0.206,Bluetooth,-53
0.239,Bluetooth,-55
0.241,Bluetooth,-53
0.277,Bluetooth,-52
0.280,Bluetooth,-51
0.314,Bluetooth,-55
0.316,Bluetooth,-56
0.346,Bluetooth,-58
0.349,Bluetooth,-59
0.415,Bluetooth,-52
0.417,Bluetooth,-52
0.492,Bluetooth,-54
0.494,Bluetooth,-53
0.532,Bluetooth,-51
0.534,Bluetooth,-50
0.571,Bluetooth,-59
0.573,Bluetooth,-58
0.604,Bluetooth,-55
0.606,Bluetooth,-54
0.636,Bluetooth,-47
0.638,Bluetooth,-49
0.673,Bluetooth,-56
0.675,Bluetooth,-57
0.703,Bluetooth,-56
0.705,Bluetooth,-56
0.737,Bluetooth,-56
0.739,Bluetooth,-55
0.772,Bluetooth,-48
0.774,Bluetooth,-49
0.804,Bluetooth,-54
0.806,Bluetooth,-54
0.835,Bluetooth,-53
0.837,Bluetooth,-55
0.983,Bluetooth,-55
0.984,Bluetooth,-55
1.049,Bluetooth,-57
1.051,Bluetooth,-57
1.253,Bluetooth,-47
1.255,Bluetooth,-48
1.283,Bluetooth,-56
1.284,Bluetooth,-56
1.364,Bluetooth,-49
1.366,Bluetooth,-49
1.398,Bluetooth,-55
1.399,Bluetooth,-54
1.466,Bluetooth,-54
1.468,Bluetooth,-54
1.496,Bluetooth,-48
1.498,Bluetooth,-49
1.526,Bluetooth,-55
1.529,Bluetooth,-54
1.561,Bluetooth,-54
1.563,Bluetooth,-53
1.601,Bluetooth,-49
1.603,Bluetooth,-49
1.746,Bluetooth,-48
1.749,Bluetooth,-49
1.773,Bluetooth,-54
1.775,Bluetooth,-54
1.814,Bluetooth,-53
1.816,Bluetooth,-54
1.885,Bluetooth,-53
2.013,Bluetooth,-54
2.016,Bluetooth,-55
2.046,Bluetooth,-52
2.048,Bluetooth,-53
