Distance,6.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
0.012,Bluetooth,-65
0.013,Bluetooth,-66
0.161,Bluetooth,-67
0.161,Bluetooth,-67
0.190,Bluetooth,-65
0.191,Bluetooth,-65
0.222,Bluetooth,-65
0.223,Bluetooth,-65
0.252,Bluetooth,-70
0.253,Bluetooth,-71
0.284,Bluetooth,-65
0.285,Bluetooth,-65
0.314,Bluetooth,-63
0.316,Bluetooth,-63
0.347,Bluetooth,-68
0.348,Bluetooth,-71
0.377,Bluetooth,-76
0.379,Bluetooth,-78
0.453,Bluetooth,-67
0.455,Bluetooth,-68
0.484,Bluetooth,-82
0.485,Bluetooth,-84
0.625,Bluetooth,-91
0.661,Bluetooth,-68
0.662,Bluetooth,-68
0.687,Bluetooth,-65
0.688,Bluetooth,-66
0.720,Bluetooth,-65
0.721,Bluetooth,-65
0.789,Bluetooth,-68
0.790,Bluetooth,-69
0.828,Bluetooth,-65
0.829,Bluetooth,-64
0.858,Bluetooth,-76
0.859,Bluetooth,-76
0.893,Bluetooth,-70
0.895,Bluetooth,-69
0.926,Bluetooth,-68
0.928,Bluetooth,-67
0.964,Bluetooth,-77
0.965,Bluetooth,-77
0.995,Bluetooth,-77
0.996,Bluetooth,-77
1.035,Bluetooth,-70
1.036,Bluetooth,-70
1.150,Bluetooth,-71
1.152,Bluetooth,-71
1.184,Bluetooth,-67
1.185,Bluetooth,-65
1.212,Bluetooth,-77
1.213,Bluetooth,-75
1.282,Bluetooth,-66
1.284,Bluetooth,-65
1.351,Bluetooth,-74
1.392,Bluetooth,-75
1.433,Bluetooth,-68
1.433,Bluetooth,-68
1.468,Bluetooth,-75
1.542,Bluetooth,-67
1.543,Bluetooth,-69
1.574,Bluetooth,-75
1.575,Bluetooth,-75
1.660,Bluetooth,-68
1.661,Bluetooth,-67
1.690,Bluetooth,-73
1.764,Bluetooth,-67
1.765,Bluetooth,-68
1.802,Bluetooth,-73
1.803,Bluetooth,-74
1.833,Bluetooth,-73
1.835,Bluetooth,-73
1.872,Bluetooth,-73
1.910,Bluetooth,-67
1.911,Bluetooth,-67
2.014,Bluetooth,-68
2.015,Bluetooth,-68
2.113,Bluetooth,-76
2.115,Bluetooth,-75
2.148,Bluetooth,-67
2.149,Bluetooth,-68
2.181,Bluetooth,-72
2.182,Bluetooth,-74
2.289,Bluetooth,-73
2.319,Bluetooth,-73
2.320,Bluetooth,-73
2.351,Bluetooth,-76
2.381,Bluetooth,-67
2.382,Bluetooth,-68
2.412,Bluetooth,-73
2.478,Bluetooth,-76
2.479,Bluetooth,-74
2.518,Bluetooth,-66
2.519,Bluetooth,-67
2.552,Bluetooth,-75
2.591,Bluetooth,-74
2.622,Bluetooth,-67
2.623,Bluetooth,-66
2.725,Bluetooth,-66
2.727,Bluetooth,-66
2.757,Bluetooth,-66
2.870,Bluetooth,-66
2.871,Bluetooth,-66
2.908,Bluetooth,-76
2.974,Bluetooth,-66
2.975,Bluetooth,-67
3.012,Bluetooth,-76
3.051,Bluetooth,-72
3.052,Bluetooth,-72
3.160,Bluetooth,-75
3.194,Bluetooth,-75
3.233,Bluetooth,-72
3.234,Bluetooth,-72
3.269,Bluetooth,-66
3.271,Bluetooth,-67
3.336,Bluetooth,-71
3.367,Bluetooth,-67
3.501,Bluetooth,-67
3.502,Bluetooth,-67
3.533,Bluetooth,-79
3.535,Bluetooth,-79
3.568,Bluetooth,-73
3.569,Bluetooth,-73
3.599,Bluetooth,-72
3.600,Bluetooth,-72
3.666,Bluetooth,-76
3.738,Bluetooth,-67
3.740,Bluetooth,-66
3.767,Bluetooth,-77
3.837,Bluetooth,-70
3.838,Bluetooth,-70
3.868,Bluetooth,-66
3.870,Bluetooth,-66
3.901,Bluetooth,-77
94.654,Bluetooth,-69
94.655,Bluetooth,-68
94.685,Bluetooth,-65
94.686,Bluetooth,-67
94.792,Bluetooth,-68
94.833,Bluetooth,-67
94.834,Bluetooth,-67
94.907,Bluetooth,-68
94.909,Bluetooth,-69
94.943,Bluetooth,-68
94.944,Bluetooth,-68
94.973,Bluetooth,-70
94.975,Bluetooth,-71
95.051,Bluetooth,-67
95.052,Bluetooth,-67
95.082,Bluetooth,-72
95.083,Bluetooth,-72
95.151,Bluetooth,-70
95.152,Bluetooth,-69
95.191,Bluetooth,-67
95.192,Bluetooth,-66
95.224,Bluetooth,-74
95.226,Bluetooth,-74
95.322,Bluetooth,-75
95.323,Bluetooth,-74
95.352,Bluetooth,-74
95.353,Bluetooth,-75
95.391,Bluetooth,-69
95.392,Bluetooth,-69
95.460,Bluetooth,-75
95.461,Bluetooth,-75
95.497,Bluetooth,-69
95.537,Bluetooth,-66
95.538,Bluetooth,-67
95.636,Bluetooth,-69
95.637,Bluetooth,-69
95.711,Bluetooth,-73
95.712,Bluetooth,-72
95.742,Bluetooth,-67
95.743,Bluetooth,-68
95.779,Bluetooth,-66
95.780,Bluetooth,-67
95.813,Bluetooth,-75
95.814,Bluetooth,-74
95.844,Bluetooth,-69
95.845,Bluetooth,-69
95.877,Bluetooth,-69
95.990,Bluetooth,-68
95.991,Bluetooth,-68
96.025,Bluetooth,-68
96.026,Bluetooth,-67
96.053,Bluetooth,-74
96.054,Bluetooth,-74
96.154,Bluetooth,-68
96.155,Bluetooth,-67
96.192,Bluetooth,-74
96.193,Bluetooth,-73
96.223,Bluetooth,-68
96.257,Bluetooth,-67
96.258,Bluetooth,-66
96.293,Bluetooth,-74
96.294,Bluetooth,-74
96.324,Bluetooth,-69
96.357,Bluetooth,-68
96.358,Bluetooth,-69
96.425,Bluetooth,-75
96.499,Bluetooth,-67
96.500,Bluetooth,-67
96.635,Bluetooth,-66
96.636,Bluetooth,-67
96.672,Bluetooth,-71
96.752,Bluetooth,-67
96.753,Bluetooth,-67
96.786,Bluetooth,-71
96.827,Bluetooth,-70
96.828,Bluetooth,-68
96.864,Bluetooth,-67
96.865,Bluetooth,-67
96.974,Bluetooth,-67
96.976,Bluetooth,-67
97.011,Bluetooth,-72
97.075,Bluetooth,-69
97.076,Bluetooth,-69
97.109,Bluetooth,-66
97.110,Bluetooth,-67
97.142,Bluetooth,-71
97.143,Bluetooth,-73
97.286,Bluetooth,-68
97.288,Bluetooth,-70
97.320,Bluetooth,-69
97.321,Bluetooth,-69
97.393,Bluetooth,-72
97.395,Bluetooth,-72
97.429,Bluetooth,-68
