Distance,4.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
0.000,Bluetooth,-64
0.001,Bluetooth,-64
0.037,Bluetooth,-65
0.038,Bluetooth,-65
0.107,Bluetooth,-67
0.108,Bluetooth,-68
0.137,Bluetooth,-63
0.138,Bluetooth,-62
0.177,Bluetooth,-64
0.178,Bluetooth,-64
0.286,Bluetooth,-67
0.287,Bluetooth,-68
0.429,Bluetooth,-68
0.429,Bluetooth,-69
0.461,Bluetooth,-65
0.462,Bluetooth,-65
0.492,Bluetooth,-65
0.559,Bluetooth,-68
0.560,Bluetooth,-66
0.624,Bluetooth,-64
0.625,Bluetooth,-66
0.655,Bluetooth,-64
0.656,Bluetooth,-65
0.727,Bluetooth,-64
0.728,Bluetooth,-64
0.764,Bluetooth,-65
0.765,Bluetooth,-64
0.801,Bluetooth,-66
0.841,Bluetooth,-65
0.842,Bluetooth,-66
0.877,Bluetooth,-72
1.256,Bluetooth,-64
1.258,Bluetooth,-64
1.289,Bluetooth,-70
1.290,Bluetooth,-70
1.328,Bluetooth,-64
1.329,Bluetooth,-64
1.368,Bluetooth,-63
1.369,Bluetooth,-62
1.403,Bluetooth,-64
1.438,Bluetooth,-63
1.439,Bluetooth,-62
1.549,Bluetooth,-64
1.550,Bluetooth,-64
1.585,Bluetooth,-63
1.586,Bluetooth,-62
1.651,Bluetooth,-64
1.689,Bluetooth,-62
1.759,Bluetooth,-70
1.760,Bluetooth,-70
1.900,Bluetooth,-67
1.901,Bluetooth,-66
1.938,Bluetooth,-67
1.939,Bluetooth,-67
1.971,Bluetooth,-67
1.972,Bluetooth,-66
2.011,Bluetooth,-64
2.083,Bluetooth,-65
2.084,Bluetooth,-65
2.116,Bluetooth,-67
2.117,Bluetooth,-66
2.149,Bluetooth,-64
2.149,Bluetooth,-66
2.182,Bluetooth,-65
2.183,Bluetooth,-65
2.246,Bluetooth,-62
2.247,Bluetooth,-62
2.281,Bluetooth,-61
2.283,Bluetooth,-61
2.320,Bluetooth,-59
2.321,Bluetooth,-60
2.358,Bluetooth,-67
2.359,Bluetooth,-67
2.464,Bluetooth,-59
2.465,Bluetooth,-58
2.500,Bluetooth,-67
2.502,Bluetooth,-67
2.531,Bluetooth,-60
2.532,Bluetooth,-61
2.592,Bluetooth,-58
2.629,Bluetooth,-59
2.726,Bluetooth,-59
2.727,Bluetooth,-60
2.758,Bluetooth,-59
2.759,Bluetooth,-57
2.907,Bluetooth,-69
2.978,Bluetooth,-68
2.978,Bluetooth,-68
3.018,Bluetooth,-59
3.019,Bluetooth,-57
3.086,Bluetooth,-67
3.202,Bluetooth,-58
3.229,Bluetooth,-58
3.230,Bluetooth,-58
3.264,Bluetooth,-60
3.265,Bluetooth,-59
3.300,Bluetooth,-70
3.301,Bluetooth,-69
3.333,Bluetooth,-68
3.334,Bluetooth,-68
3.370,Bluetooth,-59
3.411,Bluetooth,-64
3.412,Bluetooth,-64
3.474,Bluetooth,-59
3.475,Bluetooth,-58
3.508,Bluetooth,-65
3.542,Bluetooth,-59
3.543,Bluetooth,-59
3.615,Bluetooth,-68
3.616,Bluetooth,-67
3.796,Bluetooth,-61
3.827,Bluetooth,-62
3.828,Bluetooth,-62
3.960,Bluetooth,-63
