Distance,10.0
TXDevice,iPhone6s
TXPower,12
RXDevice,iPhone6s
0.000,Bluetooth,-76
0.000,Bluetooth,-75
0.030,Bluetooth,-74
0.031,Bluetooth,-75
0.063,Bluetooth,-67
0.064,Bluetooth,-67
0.098,Bluetooth,-68
0.099,Bluetooth,-67
0.129,Bluetooth,-75
0.130,Bluetooth,-74
0.163,Bluetooth,-75
0.164,Bluetooth,-74
0.195,Bluetooth,-67
0.196,Bluetooth,-66
0.227,Bluetooth,-74
0.229,Bluetooth,-72
0.291,Bluetooth,-75
0.293,Bluetooth,-75
0.323,Bluetooth,-67
0.324,Bluetooth,-67
0.358,Bluetooth,-74
0.359,Bluetooth,-74
0.387,Bluetooth,-75
0.388,Bluetooth,-75
0.421,Bluetooth,-75
0.422,Bluetooth,-74
0.454,Bluetooth,-66
0.455,Bluetooth,-67
0.486,Bluetooth,-74
0.487,Bluetooth,-73
0.514,Bluetooth,-75
0.516,Bluetooth,-75
0.548,Bluetooth,-67
0.549,Bluetooth,-67
0.581,Bluetooth,-66
0.584,Bluetooth,-67
0.611,Bluetooth,-74
0.612,Bluetooth,-73
0.640,Bluetooth,-75
0.641,Bluetooth,-74
0.671,Bluetooth,-67
0.672,Bluetooth,-66
0.702,Bluetooth,-67
0.703,Bluetooth,-66
0.732,Bluetooth,-73
0.733,Bluetooth,-73
0.761,Bluetooth,-74
0.762,Bluetooth,-75
0.799,Bluetooth,-66
0.800,Bluetooth,-67
0.834,Bluetooth,-73
0.835,Bluetooth,-73
0.899,Bluetooth,-75
0.900,Bluetooth,-75
0.928,Bluetooth,-67
0.929,Bluetooth,-66
0.958,Bluetooth,-73
0.959,Bluetooth,-73
0.990,Bluetooth,-75
0.991,Bluetooth,-75
1.020,Bluetooth,-75
1.021,Bluetooth,-75
1.050,Bluetooth,-66
1.052,Bluetooth,-65
1.084,Bluetooth,-74
1.085,Bluetooth,-73
1.112,Bluetooth,-76
1.113,Bluetooth,-75
1.146,Bluetooth,-67
1.149,Bluetooth,-66
1.178,Bluetooth,-66
1.179,Bluetooth,-67
1.214,Bluetooth,-73
1.216,Bluetooth,-73
1.242,Bluetooth,-74
1.244,Bluetooth,-75
1.275,Bluetooth,-67
1.276,Bluetooth,-67
1.308,Bluetooth,-73
1.310,Bluetooth,-74
1.339,Bluetooth,-73
1.340,Bluetooth,-73
1.369,Bluetooth,-76
1.370,Bluetooth,-76
1.403,Bluetooth,-67
1.403,Bluetooth,-67
1.437,Bluetooth,-74
1.439,Bluetooth,-73
1.468,Bluetooth,-75
1.469,Bluetooth,-74
1.533,Bluetooth,-66
1.533,Bluetooth,-65
1.564,Bluetooth,-74
