Distance,10.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
0.000,Bluetooth,-48
0.001,Bluetooth,-49
0.070,Bluetooth,-49
0.071,Bluetooth,-48
0.111,Bluetooth,-49
0.112,Bluetooth,-49
0.223,Bluetooth,-49
0.468,Bluetooth,-49
0.469,Bluetooth,-49
0.497,Bluetooth,-51
0.498,Bluetooth,-50
0.573,Bluetooth,-50
0.574,Bluetooth,-51
0.653,Bluetooth,-51
0.654,Bluetooth,-49
0.725,Bluetooth,-51
0.726,Bluetooth,-51
0.758,Bluetooth,-50
0.758,Bluetooth,-51
0.836,Bluetooth,-52
0.943,Bluetooth,-50
0.943,Bluetooth,-50
0.976,Bluetooth,-49
0.977,Bluetooth,-49
1.016,Bluetooth,-49
1.017,Bluetooth,-49
1.056,Bluetooth,-50
1.057,Bluetooth,-49
1.191,Bluetooth,-48
1.191,Bluetooth,-48
1.263,Bluetooth,-50
1.264,Bluetooth,-49
1.325,Bluetooth,-48
1.326,Bluetooth,-47
1.363,Bluetooth,-49
1.364,Bluetooth,-48
1.400,Bluetooth,-47
1.401,Bluetooth,-48
1.431,Bluetooth,-47
1.575,Bluetooth,-47
1.577,Bluetooth,-49
1.653,Bluetooth,-49
1.654,Bluetooth,-48
1.690,Bluetooth,-48
1.691,Bluetooth,-48
1.731,Bluetooth,-49
1.767,Bluetooth,-49
1.768,Bluetooth,-49
1.839,Bluetooth,-49
1.839,Bluetooth,-48
1.876,Bluetooth,-48
1.878,Bluetooth,-48
1.983,Bluetooth,-48
1.984,Bluetooth,-48
2.014,Bluetooth,-47
2.015,Bluetooth,-48
2.090,Bluetooth,-49
2.090,Bluetooth,-48
2.162,Bluetooth,-49
2.163,Bluetooth,-48
2.196,Bluetooth,-48
2.196,Bluetooth,-48
2.235,Bluetooth,-48
2.237,Bluetooth,-48
2.275,Bluetooth,-48
2.276,Bluetooth,-47
2.315,Bluetooth,-46
2.316,Bluetooth,-46
2.523,Bluetooth,-48
2.524,Bluetooth,-48
2.559,Bluetooth,-49
2.560,Bluetooth,-49
2.592,Bluetooth,-47
2.593,Bluetooth,-49
2.631,Bluetooth,-47
2.744,Bluetooth,-47
2.746,Bluetooth,-48
2.782,Bluetooth,-48
2.783,Bluetooth,-48
2.813,Bluetooth,-48
2.814,Bluetooth,-48
2.882,Bluetooth,-48
2.882,Bluetooth,-48
3.062,Bluetooth,-49
3.063,Bluetooth,-49
3.096,Bluetooth,-49
3.096,Bluetooth,-48
3.131,Bluetooth,-47
3.132,Bluetooth,-48
3.172,Bluetooth,-48
3.174,Bluetooth,-48
3.209,Bluetooth,-47
3.211,Bluetooth,-47
3.243,Bluetooth,-48
3.317,Bluetooth,-48
3.318,Bluetooth,-48
3.352,Bluetooth,-48
3.353,Bluetooth,-48
3.383,Bluetooth,-48
3.420,Bluetooth,-48
3.421,Bluetooth,-48
3.460,Bluetooth,-49
3.461,Bluetooth,-48
3.499,Bluetooth,-48
3.499,Bluetooth,-48
3.535,Bluetooth,-48
3.566,Bluetooth,-48
3.567,Bluetooth,-48
3.604,Bluetooth,-48
3.605,Bluetooth,-48
3.682,Bluetooth,-48
3.682,Bluetooth,-48
3.711,Bluetooth,-48
3.713,Bluetooth,-49
3.751,Bluetooth,-48
3.752,Bluetooth,-47
3.780,Bluetooth,-48
3.781,Bluetooth,-48
3.811,Bluetooth,-48
3.812,Bluetooth,-48
78.662,Bluetooth,-60
78.663,Bluetooth,-59
78.734,Bluetooth,-62
78.735,Bluetooth,-62
78.872,Bluetooth,-58
78.905,Bluetooth,-66
78.906,Bluetooth,-65
79.002,Bluetooth,-56
79.003,Bluetooth,-57
79.033,Bluetooth,-63
79.034,Bluetooth,-65
79.067,Bluetooth,-59
79.068,Bluetooth,-60
79.097,Bluetooth,-56
79.097,Bluetooth,-57
79.133,Bluetooth,-61
79.201,Bluetooth,-62
79.202,Bluetooth,-62
79.277,Bluetooth,-55
79.278,Bluetooth,-54
79.432,Bluetooth,-61
79.464,Bluetooth,-54
79.465,Bluetooth,-54
79.526,Bluetooth,-60
79.527,Bluetooth,-59
79.592,Bluetooth,-54
79.593,Bluetooth,-53
79.696,Bluetooth,-66
79.697,Bluetooth,-66
79.732,Bluetooth,-54
79.761,Bluetooth,-62
79.762,Bluetooth,-62
79.803,Bluetooth,-68
79.804,Bluetooth,-68
79.832,Bluetooth,-56
79.833,Bluetooth,-54
79.903,Bluetooth,-63
79.904,Bluetooth,-63
80.038,Bluetooth,-62
80.247,Bluetooth,-66
80.248,Bluetooth,-67
80.281,Bluetooth,-55
80.282,Bluetooth,-55
80.322,Bluetooth,-68
80.355,Bluetooth,-64
80.356,Bluetooth,-65
80.449,Bluetooth,-55
80.450,Bluetooth,-55
80.483,Bluetooth,-64
80.485,Bluetooth,-64
80.522,Bluetooth,-68
80.523,Bluetooth,-68
80.658,Bluetooth,-65
80.658,Bluetooth,-65
80.697,Bluetooth,-66
80.698,Bluetooth,-68
80.735,Bluetooth,-54
80.797,Bluetooth,-66
80.798,Bluetooth,-66
80.923,Bluetooth,-69
80.954,Bluetooth,-69
80.955,Bluetooth,-69
81.020,Bluetooth,-61
81.021,Bluetooth,-60
81.054,Bluetooth,-57
81.055,Bluetooth,-57
81.126,Bluetooth,-58
81.127,Bluetooth,-58
81.198,Bluetooth,-68
81.199,Bluetooth,-68
81.263,Bluetooth,-69
81.264,Bluetooth,-68
81.298,Bluetooth,-60
81.299,Bluetooth,-60
81.334,Bluetooth,-56
81.374,Bluetooth,-67
81.412,Bluetooth,-58
81.413,Bluetooth,-60
