Distance,10.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
0.000,Bluetooth,-58
0.038,Bluetooth,-58
0.040,Bluetooth,-57
0.076,Bluetooth,-61
0.108,Bluetooth,-64
0.110,Bluetooth,-64
0.146,Bluetooth,-58
0.147,Bluetooth,-58
0.210,Bluetooth,-60
0.212,Bluetooth,-61
0.245,Bluetooth,-61
0.247,Bluetooth,-61
0.285,Bluetooth,-58
0.287,Bluetooth,-58
0.351,Bluetooth,-57
0.353,Bluetooth,-57
0.384,Bluetooth,-60
0.451,Bluetooth,-58
0.453,Bluetooth,-57
0.481,Bluetooth,-59
0.484,Bluetooth,-59
0.553,Bluetooth,-59
0.555,Bluetooth,-58
0.584,Bluetooth,-56
0.586,Bluetooth,-57
0.622,Bluetooth,-58
0.624,Bluetooth,-57
0.692,Bluetooth,-60
0.694,Bluetooth,-58
0.838,Bluetooth,-59
0.840,Bluetooth,-58
1.013,Bluetooth,-61
1.015,Bluetooth,-61
1.044,Bluetooth,-57
1.046,Bluetooth,-58
1.078,Bluetooth,-56
1.080,Bluetooth,-56
1.116,Bluetooth,-56
1.118,Bluetooth,-56
1.215,Bluetooth,-59
1.325,Bluetooth,-59
1.327,Bluetooth,-60
1.358,Bluetooth,-58
1.463,Bluetooth,-58
1.532,Bluetooth,-56
1.534,Bluetooth,-56
1.570,Bluetooth,-58
1.572,Bluetooth,-59
1.605,Bluetooth,-59
1.607,Bluetooth,-58
1.712,Bluetooth,-58
1.714,Bluetooth,-58
1.749,Bluetooth,-56
1.751,Bluetooth,-56
1.781,Bluetooth,-60
1.784,Bluetooth,-60
1.810,Bluetooth,-57
1.850,Bluetooth,-60
1.853,Bluetooth,-59
1.892,Bluetooth,-60
1.892,Bluetooth,-60
1.999,Bluetooth,-59
2.001,Bluetooth,-60
2.038,Bluetooth,-55
2.040,Bluetooth,-56
2.115,Bluetooth,-60
2.147,Bluetooth,-61
2.149,Bluetooth,-59
2.177,Bluetooth,-61
2.207,Bluetooth,-56
2.209,Bluetooth,-57
2.244,Bluetooth,-60
2.246,Bluetooth,-60
2.274,Bluetooth,-61
2.276,Bluetooth,-60
2.341,Bluetooth,-59
2.343,Bluetooth,-57
2.413,Bluetooth,-60
2.481,Bluetooth,-60
2.483,Bluetooth,-61
2.515,Bluetooth,-58
2.517,Bluetooth,-58
2.556,Bluetooth,-60
2.558,Bluetooth,-60
2.592,Bluetooth,-60
2.594,Bluetooth,-60
2.622,Bluetooth,-60
2.624,Bluetooth,-60
2.659,Bluetooth,-59
2.662,Bluetooth,-58
2.692,Bluetooth,-58
2.767,Bluetooth,-60
2.769,Bluetooth,-61
2.941,Bluetooth,-58
2.943,Bluetooth,-58
2.976,Bluetooth,-62
2.978,Bluetooth,-61
3.006,Bluetooth,-61
3.044,Bluetooth,-61
3.047,Bluetooth,-61
3.149,Bluetooth,-60
3.185,Bluetooth,-60
3.187,Bluetooth,-60
3.225,Bluetooth,-58
3.227,Bluetooth,-57
3.265,Bluetooth,-60
3.267,Bluetooth,-61
3.300,Bluetooth,-60
3.336,Bluetooth,-59
3.338,Bluetooth,-59
3.372,Bluetooth,-59
3.374,Bluetooth,-60
3.402,Bluetooth,-55
3.403,Bluetooth,-56
3.435,Bluetooth,-56
3.436,Bluetooth,-56
3.468,Bluetooth,-58
3.470,Bluetooth,-58
3.507,Bluetooth,-58
3.509,Bluetooth,-58
3.543,Bluetooth,-56
3.545,Bluetooth,-55
3.581,Bluetooth,-56
3.583,Bluetooth,-57
3.693,Bluetooth,-59
3.695,Bluetooth,-60
3.732,Bluetooth,-60
3.735,Bluetooth,-59
3.766,Bluetooth,-55
3.768,Bluetooth,-54
3.805,Bluetooth,-58
3.808,Bluetooth,-58
3.844,Bluetooth,-60
3.846,Bluetooth,-60
3.882,Bluetooth,-54
3.884,Bluetooth,-55
3.912,Bluetooth,-56
3.946,Bluetooth,-55
3.948,Bluetooth,-55
3.983,Bluetooth,-56
3.985,Bluetooth,-56
112.565,Bluetooth,-71
112.568,Bluetooth,-73
112.663,Bluetooth,-70
112.665,Bluetooth,-71
112.768,Bluetooth,-70
112.801,Bluetooth,-65
112.833,Bluetooth,-71
112.834,Bluetooth,-70
112.868,Bluetooth,-72
112.871,Bluetooth,-72
113.012,Bluetooth,-74
113.051,Bluetooth,-69
113.053,Bluetooth,-68
113.114,Bluetooth,-72
113.191,Bluetooth,-73
113.229,Bluetooth,-69
113.231,Bluetooth,-71
113.260,Bluetooth,-72
113.263,Bluetooth,-71
113.294,Bluetooth,-74
113.296,Bluetooth,-74
113.332,Bluetooth,-72
113.335,Bluetooth,-71
113.392,Bluetooth,-73
113.431,Bluetooth,-72
113.434,Bluetooth,-71
113.506,Bluetooth,-74
113.508,Bluetooth,-73
113.543,Bluetooth,-73
113.545,Bluetooth,-73
113.645,Bluetooth,-75
113.648,Bluetooth,-75
113.683,Bluetooth,-79
113.684,Bluetooth,-79
113.718,Bluetooth,-76
113.784,Bluetooth,-81
113.785,Bluetooth,-81
113.814,Bluetooth,-76
113.817,Bluetooth,-75
113.851,Bluetooth,-77
113.853,Bluetooth,-75
113.891,Bluetooth,-82
113.894,Bluetooth,-82
113.965,Bluetooth,-67
113.968,Bluetooth,-68
