Distance,10.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
0.000,Bluetooth,-63
0.001,Bluetooth,-62
0.106,Bluetooth,-61
0.107,Bluetooth,-61
0.143,Bluetooth,-62
0.144,Bluetooth,-61
0.219,Bluetooth,-60
0.221,Bluetooth,-61
0.258,Bluetooth,-62
0.258,Bluetooth,-62
0.286,Bluetooth,-57
0.287,Bluetooth,-57
0.347,Bluetooth,-61
0.348,Bluetooth,-61
0.378,Bluetooth,-62
0.380,Bluetooth,-61
0.406,Bluetooth,-56
0.408,Bluetooth,-56
0.478,Bluetooth,-62
0.479,Bluetooth,-63
0.509,Bluetooth,-66
0.510,Bluetooth,-67
0.538,Bluetooth,-57
0.540,Bluetooth,-56
0.576,Bluetooth,-62
0.577,Bluetooth,-61
0.611,Bluetooth,-61
0.612,Bluetooth,-61
0.646,Bluetooth,-58
0.648,Bluetooth,-57
0.685,Bluetooth,-60
0.687,Bluetooth,-60
0.721,Bluetooth,-60
0.722,Bluetooth,-61
0.760,Bluetooth,-57
0.761,Bluetooth,-57
0.801,Bluetooth,-60
0.802,Bluetooth,-61
0.832,Bluetooth,-60
0.833,Bluetooth,-61
0.868,Bluetooth,-61
0.869,Bluetooth,-62
0.900,Bluetooth,-56
0.902,Bluetooth,-57
1.039,Bluetooth,-60
1.040,Bluetooth,-62
1.079,Bluetooth,-61
1.080,Bluetooth,-61
1.144,Bluetooth,-57
1.145,Bluetooth,-58
1.216,Bluetooth,-61
1.217,Bluetooth,-61
1.245,Bluetooth,-57
1.246,Bluetooth,-56
1.282,Bluetooth,-61
1.319,Bluetooth,-60
1.320,Bluetooth,-61
1.382,Bluetooth,-58
1.383,Bluetooth,-57
1.420,Bluetooth,-61
1.421,Bluetooth,-62
1.529,Bluetooth,-62
1.530,Bluetooth,-62
1.566,Bluetooth,-61
1.567,Bluetooth,-61
1.600,Bluetooth,-57
1.601,Bluetooth,-57
1.640,Bluetooth,-62
1.641,Bluetooth,-63
1.673,Bluetooth,-63
1.674,Bluetooth,-62
1.705,Bluetooth,-61
1.707,Bluetooth,-61
1.739,Bluetooth,-57
1.740,Bluetooth,-57
1.842,Bluetooth,-57
1.843,Bluetooth,-57
1.872,Bluetooth,-57
1.873,Bluetooth,-57
1.946,Bluetooth,-62
1.947,Bluetooth,-62
1.982,Bluetooth,-55
1.984,Bluetooth,-57
2.061,Bluetooth,-62
2.062,Bluetooth,-62
2.088,Bluetooth,-58
2.089,Bluetooth,-58
2.119,Bluetooth,-62
2.120,Bluetooth,-62
2.151,Bluetooth,-62
2.152,Bluetooth,-62
2.190,Bluetooth,-61
2.191,Bluetooth,-62
2.221,Bluetooth,-57
2.222,Bluetooth,-56
2.261,Bluetooth,-62
2.262,Bluetooth,-62
2.296,Bluetooth,-61
2.297,Bluetooth,-62
2.325,Bluetooth,-57
2.326,Bluetooth,-57
2.358,Bluetooth,-61
2.359,Bluetooth,-62
2.391,Bluetooth,-62
2.392,Bluetooth,-63
2.532,Bluetooth,-61
2.533,Bluetooth,-62
2.562,Bluetooth,-57
2.563,Bluetooth,-57
2.595,Bluetooth,-57
2.596,Bluetooth,-58
2.630,Bluetooth,-62
2.631,Bluetooth,-62
2.668,Bluetooth,-62
2.669,Bluetooth,-62
2.696,Bluetooth,-56
2.697,Bluetooth,-57
2.730,Bluetooth,-60
2.731,Bluetooth,-63
2.801,Bluetooth,-58
2.905,Bluetooth,-62
2.907,Bluetooth,-62
2.973,Bluetooth,-61
2.974,Bluetooth,-63
3.043,Bluetooth,-62
3.045,Bluetooth,-62
3.081,Bluetooth,-62
3.082,Bluetooth,-62
3.149,Bluetooth,-61
3.151,Bluetooth,-62
3.184,Bluetooth,-57
3.185,Bluetooth,-57
3.259,Bluetooth,-61
3.260,Bluetooth,-61
3.295,Bluetooth,-58
3.296,Bluetooth,-57
3.334,Bluetooth,-61
3.335,Bluetooth,-61
3.366,Bluetooth,-61
3.399,Bluetooth,-56
3.401,Bluetooth,-57
3.435,Bluetooth,-58
3.436,Bluetooth,-57
3.470,Bluetooth,-60
3.472,Bluetooth,-62
3.505,Bluetooth,-61
3.506,Bluetooth,-61
3.566,Bluetooth,-62
3.567,Bluetooth,-62
3.701,Bluetooth,-62
3.702,Bluetooth,-62
3.737,Bluetooth,-61
3.738,Bluetooth,-61
3.774,Bluetooth,-57
3.775,Bluetooth,-57
3.809,Bluetooth,-63
3.810,Bluetooth,-62
3.911,Bluetooth,-57
3.913,Bluetooth,-57
