Distance,15.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
0.000,Bluetooth,-62
0.001,Bluetooth,-61
0.066,Bluetooth,-67
0.127,Bluetooth,-67
0.128,Bluetooth,-65
0.196,Bluetooth,-66
0.197,Bluetooth,-66
0.228,Bluetooth,-65
0.229,Bluetooth,-65
0.263,Bluetooth,-61
0.264,Bluetooth,-62
0.326,Bluetooth,-68
0.327,Bluetooth,-69
0.358,Bluetooth,-72
0.359,Bluetooth,-71
0.389,Bluetooth,-89
0.390,Bluetooth,-89
0.491,Bluetooth,-66
0.491,Bluetooth,-66
0.519,Bluetooth,-75
0.520,Bluetooth,-75
0.616,Bluetooth,-69
0.617,Bluetooth,-69
0.648,Bluetooth,-66
0.649,Bluetooth,-66
0.678,Bluetooth,-66
0.679,Bluetooth,-65
0.714,Bluetooth,-66
0.715,Bluetooth,-66
0.744,Bluetooth,-64
0.745,Bluetooth,-66
0.807,Bluetooth,-68
0.808,Bluetooth,-67
0.838,Bluetooth,-76
0.840,Bluetooth,-74
0.872,Bluetooth,-59
0.874,Bluetooth,-60
0.937,Bluetooth,-58
0.937,Bluetooth,-58
0.966,Bluetooth,-65
0.967,Bluetooth,-63
0.997,Bluetooth,-65
0.998,Bluetooth,-64
1.029,Bluetooth,-64
1.030,Bluetooth,-64
1.091,Bluetooth,-54
1.092,Bluetooth,-55
1.124,Bluetooth,-62
1.125,Bluetooth,-62
1.187,Bluetooth,-53
1.188,Bluetooth,-53
1.317,Bluetooth,-56
1.319,Bluetooth,-57
1.353,Bluetooth,-60
1.354,Bluetooth,-58
1.382,Bluetooth,-57
1.384,Bluetooth,-56
1.449,Bluetooth,-59
1.451,Bluetooth,-59
1.484,Bluetooth,-62
1.485,Bluetooth,-62
1.514,Bluetooth,-57
1.515,Bluetooth,-58
1.548,Bluetooth,-58
1.549,Bluetooth,-59
1.647,Bluetooth,-60
1.648,Bluetooth,-59
1.680,Bluetooth,-59
1.681,Bluetooth,-59
1.716,Bluetooth,-69
1.716,Bluetooth,-68
1.746,Bluetooth,-60
1.747,Bluetooth,-60
1.837,Bluetooth,-61
1.839,Bluetooth,-61
1.873,Bluetooth,-60
1.874,Bluetooth,-60
1.936,Bluetooth,-63
1.936,Bluetooth,-62
1.965,Bluetooth,-56
1.966,Bluetooth,-56
1.998,Bluetooth,-57
1.999,Bluetooth,-57
2.061,Bluetooth,-58
2.062,Bluetooth,-57
2.093,Bluetooth,-56
2.095,Bluetooth,-54
