Distance,4.0
TXDevice,iPhone6s
TXPower,12
RXDevice,iPhone6s
0.014,Bluetooth,-67
0.014,Bluetooth,-66
0.045,Bluetooth,-73
0.046,Bluetooth,-73
0.077,Bluetooth,-75
0.078,Bluetooth,-75
0.108,Bluetooth,-67
0.108,Bluetooth,-66
0.138,Bluetooth,-68
0.138,Bluetooth,-66
0.169,Bluetooth,-73
0.169,Bluetooth,-73
0.199,Bluetooth,-74
0.200,Bluetooth,-77
0.235,Bluetooth,-67
0.236,Bluetooth,-67
0.270,Bluetooth,-73
0.271,Bluetooth,-72
0.300,Bluetooth,-73
0.301,Bluetooth,-73
0.334,Bluetooth,-76
0.335,Bluetooth,-76
0.363,Bluetooth,-66
0.364,Bluetooth,-65
0.394,Bluetooth,-73
0.394,Bluetooth,-72
0.455,Bluetooth,-75
0.456,Bluetooth,-75
0.487,Bluetooth,-67
0.488,Bluetooth,-67
0.519,Bluetooth,-72
0.519,Bluetooth,-74
0.552,Bluetooth,-75
0.553,Bluetooth,-76
0.582,Bluetooth,-75
0.584,Bluetooth,-76
0.614,Bluetooth,-67
0.617,Bluetooth,-67
0.644,Bluetooth,-74
0.645,Bluetooth,-72
0.673,Bluetooth,-77
0.674,Bluetooth,-76
0.704,Bluetooth,-76
0.705,Bluetooth,-76
0.738,Bluetooth,-67
0.739,Bluetooth,-67
0.771,Bluetooth,-73
0.771,Bluetooth,-72
0.800,Bluetooth,-76
0.802,Bluetooth,-76
0.833,Bluetooth,-67
0.835,Bluetooth,-67
0.866,Bluetooth,128
0.899,Bluetooth,-73
0.900,Bluetooth,-73
0.926,Bluetooth,-75
0.927,Bluetooth,-75
0.963,Bluetooth,-66
0.965,Bluetooth,-67
0.992,Bluetooth,-74
0.993,Bluetooth,-73
1.057,Bluetooth,-77
1.058,Bluetooth,-77
1.090,Bluetooth,-67
1.091,Bluetooth,-67
1.122,Bluetooth,-74
1.123,Bluetooth,-73
1.152,Bluetooth,-77
1.153,Bluetooth,-78
1.185,Bluetooth,-68
1.188,Bluetooth,-66
1.220,Bluetooth,-68
1.221,Bluetooth,-68
1.252,Bluetooth,-73
1.254,Bluetooth,-74
1.282,Bluetooth,-76
1.282,Bluetooth,-78
1.308,Bluetooth,-68
1.308,Bluetooth,-67
1.374,Bluetooth,-74
1.374,Bluetooth,-73
1.403,Bluetooth,-78
1.404,Bluetooth,-78
1.435,Bluetooth,-68
1.435,Bluetooth,-68
1.467,Bluetooth,-76
1.467,Bluetooth,-75
1.531,Bluetooth,-79
1.531,Bluetooth,-79
1.563,Bluetooth,-69
1.564,Bluetooth,-69
1.592,Bluetooth,-76
1.592,Bluetooth,-75
1.652,Bluetooth,-80
1.653,Bluetooth,-81
1.715,Bluetooth,-78
1.715,Bluetooth,-77
1.775,Bluetooth,-79
1.775,Bluetooth,-79
1.805,Bluetooth,-69
1.805,Bluetooth,-70
1.840,Bluetooth,-78
1.840,Bluetooth,-78
1.868,Bluetooth,-79
1.869,Bluetooth,-79
1.899,Bluetooth,-78
1.899,Bluetooth,-79
1.929,Bluetooth,-69
1.929,Bluetooth,-70
1.960,Bluetooth,-78
1.960,Bluetooth,-77
1.988,Bluetooth,-78
1.989,Bluetooth,-79
2.024,Bluetooth,-71
2.025,Bluetooth,-68
2.054,Bluetooth,-70
2.054,Bluetooth,-69
2.088,Bluetooth,-77
2.089,Bluetooth,-76
2.119,Bluetooth,-79
2.119,Bluetooth,-79
2.151,Bluetooth,-69
2.152,Bluetooth,-69
2.182,Bluetooth,-68
2.182,Bluetooth,-69
2.214,Bluetooth,-77
2.214,Bluetooth,-78
2.245,Bluetooth,-77
2.246,Bluetooth,-79
2.275,Bluetooth,-68
2.276,Bluetooth,-69
2.311,Bluetooth,-77
2.313,Bluetooth,-76
2.376,Bluetooth,-80
2.377,Bluetooth,-78
2.410,Bluetooth,-69
2.410,Bluetooth,-68
2.444,Bluetooth,-77
2.445,Bluetooth,-76
2.474,Bluetooth,-78
2.474,Bluetooth,-78
2.507,Bluetooth,-69
2.507,Bluetooth,-69
2.538,Bluetooth,-69
2.538,Bluetooth,-68
2.569,Bluetooth,-76
2.569,Bluetooth,-76
2.601,Bluetooth,-78
2.601,Bluetooth,-77
2.633,Bluetooth,-69
2.633,Bluetooth,-69
2.666,Bluetooth,-76
2.667,Bluetooth,-75
2.697,Bluetooth,-76
2.698,Bluetooth,-75
2.730,Bluetooth,-76
2.731,Bluetooth,-78
2.761,Bluetooth,-69
2.762,Bluetooth,-68
2.792,Bluetooth,-76
2.793,Bluetooth,-75
2.856,Bluetooth,-79
2.857,Bluetooth,-79
2.885,Bluetooth,-69
2.886,Bluetooth,-69
2.916,Bluetooth,-75
2.917,Bluetooth,-74
2.977,Bluetooth,-78
2.979,Bluetooth,-78
3.008,Bluetooth,-68
3.009,Bluetooth,-68
3.042,Bluetooth,-76
3.043,Bluetooth,-75
3.072,Bluetooth,-78
3.073,Bluetooth,-79
3.134,Bluetooth,-69
3.135,Bluetooth,-69
3.165,Bluetooth,127
3.197,Bluetooth,-78
3.199,Bluetooth,-79
3.229,Bluetooth,-69
3.231,Bluetooth,-69
3.259,Bluetooth,-69
3.260,Bluetooth,-68
3.290,Bluetooth,-75
3.291,Bluetooth,-77
3.319,Bluetooth,-77
3.321,Bluetooth,-78
3.350,Bluetooth,-67
3.352,Bluetooth,-66
3.383,Bluetooth,127
3.414,Bluetooth,-78
3.415,Bluetooth,-76
3.446,Bluetooth,-77
3.448,Bluetooth,-78
3.476,Bluetooth,127
3.508,Bluetooth,-76
3.510,Bluetooth,-77
3.538,Bluetooth,127
3.568,Bluetooth,-78
3.569,Bluetooth,-78
3.599,Bluetooth,-68
3.601,Bluetooth,-68
3.632,Bluetooth,-76
3.633,Bluetooth,-74
3.660,Bluetooth,-76
3.661,Bluetooth,-76
3.755,Bluetooth,-75
3.756,Bluetooth,-75
3.787,Bluetooth,-75
3.788,Bluetooth,-76
3.848,Bluetooth,-67
3.850,Bluetooth,-66
3.911,Bluetooth,-75
3.914,Bluetooth,-74
3.941,Bluetooth,127
3.973,Bluetooth,-66
3.974,Bluetooth,-65
78.823,Bluetooth,-70
78.824,Bluetooth,-71
78.854,Bluetooth,-73
78.855,Bluetooth,-74
78.889,Bluetooth,-73
78.890,Bluetooth,-72
78.923,Bluetooth,-70
78.924,Bluetooth,-70
78.955,Bluetooth,-69
78.956,Bluetooth,-70
78.986,Bluetooth,-74
78.987,Bluetooth,-74
79.018,Bluetooth,-69
79.019,Bluetooth,-69
79.048,Bluetooth,-69
79.048,Bluetooth,-71
79.079,Bluetooth,-70
79.080,Bluetooth,-71
79.110,Bluetooth,-73
79.111,Bluetooth,-73
79.143,Bluetooth,-69
79.144,Bluetooth,-69
79.175,Bluetooth,-70
79.176,Bluetooth,-68
79.205,Bluetooth,128
79.239,Bluetooth,-72
79.240,Bluetooth,-73
79.270,Bluetooth,-69
79.271,Bluetooth,-70
79.306,Bluetooth,-68
