Distance,10.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
0.000,Bluetooth,-63
0.001,Bluetooth,-62
0.034,Bluetooth,-57
0.035,Bluetooth,-58
0.093,Bluetooth,-59
0.127,Bluetooth,-57
0.128,Bluetooth,-57
0.160,Bluetooth,-61
0.161,Bluetooth,-61
0.193,Bluetooth,-59
0.193,Bluetooth,-59
0.225,Bluetooth,-57
0.226,Bluetooth,-58
0.264,Bluetooth,-61
0.265,Bluetooth,-61
0.334,Bluetooth,-60
0.335,Bluetooth,-60
0.365,Bluetooth,-57
0.366,Bluetooth,-57
0.433,Bluetooth,-56
0.434,Bluetooth,-57
0.469,Bluetooth,-59
0.470,Bluetooth,-61
0.499,Bluetooth,-61
0.500,Bluetooth,-61
0.573,Bluetooth,-59
0.574,Bluetooth,-59
0.681,Bluetooth,-59
0.714,Bluetooth,-55
0.715,Bluetooth,-55
0.754,Bluetooth,-57
0.755,Bluetooth,-57
0.786,Bluetooth,-60
0.787,Bluetooth,-60
0.852,Bluetooth,-62
0.853,Bluetooth,-63
0.884,Bluetooth,-61
0.885,Bluetooth,-59
0.951,Bluetooth,-65
0.951,Bluetooth,-65
0.988,Bluetooth,-63
1.020,Bluetooth,-63
1.021,Bluetooth,-65
1.058,Bluetooth,-63
1.059,Bluetooth,-62
1.097,Bluetooth,-72
1.098,Bluetooth,-71
1.127,Bluetooth,-62
1.128,Bluetooth,-63
1.196,Bluetooth,-62
1.197,Bluetooth,-62
1.236,Bluetooth,-81
1.237,Bluetooth,-80
1.269,Bluetooth,-62
1.299,Bluetooth,-61
1.557,Bluetooth,-66
1.558,Bluetooth,-66
1.596,Bluetooth,-63
1.628,Bluetooth,-69
1.629,Bluetooth,-70
1.665,Bluetooth,-61
1.666,Bluetooth,-60
1.876,Bluetooth,-87
1.915,Bluetooth,-80
1.916,Bluetooth,-81
2.044,Bluetooth,-72
2.045,Bluetooth,-72
2.112,Bluetooth,-68
2.113,Bluetooth,-68
2.143,Bluetooth,-68
2.144,Bluetooth,-68
2.177,Bluetooth,-61
2.215,Bluetooth,-62
2.216,Bluetooth,-62
2.331,Bluetooth,-63
2.331,Bluetooth,-63
2.431,Bluetooth,-69
2.432,Bluetooth,-69
2.467,Bluetooth,-63
2.468,Bluetooth,-61
2.535,Bluetooth,-62
2.536,Bluetooth,-63
2.609,Bluetooth,-69
2.610,Bluetooth,-71
2.650,Bluetooth,-61
2.651,Bluetooth,-62
2.689,Bluetooth,-60
2.690,Bluetooth,-60
2.728,Bluetooth,-68
2.729,Bluetooth,-69
2.908,Bluetooth,-75
2.909,Bluetooth,-76
3.150,Bluetooth,-58
3.151,Bluetooth,-58
3.188,Bluetooth,-67
3.188,Bluetooth,-66
3.333,Bluetooth,-65
3.334,Bluetooth,-65
3.405,Bluetooth,-59
3.441,Bluetooth,-65
3.578,Bluetooth,-64
3.613,Bluetooth,-62
3.614,Bluetooth,-62
3.687,Bluetooth,-63
3.725,Bluetooth,-60
3.726,Bluetooth,-59
3.797,Bluetooth,-62
3.798,Bluetooth,-62
3.832,Bluetooth,-60
3.833,Bluetooth,-59
