Distance,10.0
TXDevice,iPhone11_Pro
TXPower,7
RXDevice,iPhoneXR
0.038,Bluetooth,-70
0.040,Bluetooth,-70
0.075,Bluetooth,-57
0.077,Bluetooth,-57
0.107,Bluetooth,-56
0.108,Bluetooth,-58
0.139,Bluetooth,-67
0.141,Bluetooth,-68
0.206,Bluetooth,-53
0.208,Bluetooth,-54
0.237,Bluetooth,-55
0.239,Bluetooth,-55
0.273,Bluetooth,-66
0.274,Bluetooth,-67
0.305,Bluetooth,-61
0.369,Bluetooth,-58
0.370,Bluetooth,-58
0.407,Bluetooth,-69
0.409,Bluetooth,-70
0.441,Bluetooth,-71
0.443,Bluetooth,-70
0.476,Bluetooth,-60
0.477,Bluetooth,-60
0.509,Bluetooth,-61
0.511,Bluetooth,-60
0.540,Bluetooth,-59
0.542,Bluetooth,-59
0.575,Bluetooth,-60
0.577,Bluetooth,-60
0.611,Bluetooth,-58
0.613,Bluetooth,-58
0.646,Bluetooth,-61
0.647,Bluetooth,-61
0.676,Bluetooth,-64
0.677,Bluetooth,-65
0.706,Bluetooth,-73
0.708,Bluetooth,-72
0.745,Bluetooth,-60
0.746,Bluetooth,-60
0.811,Bluetooth,-62
0.812,Bluetooth,-62
0.849,Bluetooth,-65
0.850,Bluetooth,-65
0.886,Bluetooth,-62
0.887,Bluetooth,-61
0.914,Bluetooth,-66
0.915,Bluetooth,-65
0.945,Bluetooth,-64
0.946,Bluetooth,-65
0.978,Bluetooth,-62
0.980,Bluetooth,-63
1.014,Bluetooth,-66
1.016,Bluetooth,-67
1.047,Bluetooth,-62
1.048,Bluetooth,-62
1.079,Bluetooth,-68
1.080,Bluetooth,-69
1.114,Bluetooth,-61
1.116,Bluetooth,-60
1.150,Bluetooth,-61
1.152,Bluetooth,-61
1.190,Bluetooth,-71
1.192,Bluetooth,-71
1.227,Bluetooth,-64
1.229,Bluetooth,-64
1.256,Bluetooth,-63
1.258,Bluetooth,-63
1.291,Bluetooth,-61
1.292,Bluetooth,-61
1.323,Bluetooth,-63
1.324,Bluetooth,-64
1.353,Bluetooth,-64
1.355,Bluetooth,-64
1.384,Bluetooth,-60
1.386,Bluetooth,-59
1.423,Bluetooth,-65
1.424,Bluetooth,-64
