Distance,6.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
0.000,Bluetooth,-72
0.001,Bluetooth,-73
0.031,Bluetooth,-69
0.032,Bluetooth,-70
0.122,Bluetooth,-68
0.123,Bluetooth,-68
0.157,Bluetooth,-59
0.158,Bluetooth,-61
0.186,Bluetooth,-60
0.187,Bluetooth,-59
0.251,Bluetooth,-68
0.252,Bluetooth,-67
0.282,Bluetooth,-57
0.284,Bluetooth,-57
0.314,Bluetooth,-60
0.315,Bluetooth,-60
0.348,Bluetooth,-60
0.349,Bluetooth,-59
0.405,Bluetooth,-57
0.408,Bluetooth,-57
0.442,Bluetooth,-60
0.443,Bluetooth,-60
0.473,Bluetooth,-59
0.474,Bluetooth,-59
0.503,Bluetooth,-54
0.504,Bluetooth,-53
0.598,Bluetooth,-61
0.600,Bluetooth,-61
0.631,Bluetooth,-60
0.633,Bluetooth,-60
0.687,Bluetooth,-61
0.688,Bluetooth,-62
0.717,Bluetooth,-60
0.719,Bluetooth,-60
0.751,Bluetooth,-58
0.752,Bluetooth,-57
0.809,Bluetooth,-62
0.810,Bluetooth,-62
0.843,Bluetooth,-63
0.844,Bluetooth,-62
0.874,Bluetooth,-61
0.875,Bluetooth,-61
0.905,Bluetooth,-66
0.906,Bluetooth,-67
0.972,Bluetooth,-58
0.973,Bluetooth,-58
1.031,Bluetooth,-66
1.032,Bluetooth,-65
1.064,Bluetooth,-56
1.064,Bluetooth,-55
1.156,Bluetooth,-61
1.157,Bluetooth,-60
1.189,Bluetooth,-55
1.190,Bluetooth,-54
1.220,Bluetooth,-61
1.221,Bluetooth,-61
1.253,Bluetooth,-60
1.254,Bluetooth,-60
1.282,Bluetooth,-57
1.283,Bluetooth,-57
1.313,Bluetooth,-55
1.314,Bluetooth,-55
1.346,Bluetooth,-58
1.347,Bluetooth,-59
1.407,Bluetooth,-57
1.408,Bluetooth,-57
1.440,Bluetooth,-54
1.442,Bluetooth,-54
1.477,Bluetooth,-56
1.478,Bluetooth,-57
1.570,Bluetooth,-55
1.571,Bluetooth,-56
1.604,Bluetooth,-57
1.605,Bluetooth,-57
1.635,Bluetooth,-58
1.636,Bluetooth,-58
1.671,Bluetooth,-55
1.672,Bluetooth,-54
1.703,Bluetooth,-58
1.704,Bluetooth,-58
1.801,Bluetooth,-55
1.801,Bluetooth,-55
