Distance,15.0
TXDevice,iPhone11_Pro
TXPower,7
RXDevice,iPhoneXR
0.000,Bluetooth,-57
0.002,Bluetooth,-56
0.041,Bluetooth,-61
0.042,Bluetooth,-62
0.220,Bluetooth,-68
0.221,Bluetooth,-68
0.256,Bluetooth,-60
0.292,Bluetooth,-60
0.294,Bluetooth,-60
0.325,Bluetooth,-75
0.366,Bluetooth,-62
0.407,Bluetooth,-60
0.408,Bluetooth,-60
0.442,Bluetooth,-64
0.483,Bluetooth,-61
0.484,Bluetooth,-62
0.516,Bluetooth,-56
0.517,Bluetooth,-55
0.549,Bluetooth,-56
0.550,Bluetooth,-56
0.618,Bluetooth,-66
0.619,Bluetooth,-66
0.650,Bluetooth,-59
0.651,Bluetooth,-58
0.682,Bluetooth,-62
0.684,Bluetooth,-62
0.718,Bluetooth,-59
0.719,Bluetooth,-60
0.786,Bluetooth,-60
0.787,Bluetooth,-60
0.823,Bluetooth,-59
0.825,Bluetooth,-61
0.860,Bluetooth,-57
0.862,Bluetooth,-59
0.891,Bluetooth,-59
0.892,Bluetooth,-59
0.924,Bluetooth,-60
0.926,Bluetooth,-59
0.997,Bluetooth,-60
0.999,Bluetooth,-60
1.067,Bluetooth,-59
1.069,Bluetooth,-59
1.107,Bluetooth,-58
1.108,Bluetooth,-58
1.144,Bluetooth,-60
1.145,Bluetooth,-59
1.219,Bluetooth,-58
1.220,Bluetooth,-58
1.292,Bluetooth,-59
1.294,Bluetooth,-59
1.326,Bluetooth,-58
1.327,Bluetooth,-57
1.364,Bluetooth,-61
1.366,Bluetooth,-61
1.471,Bluetooth,-58
1.472,Bluetooth,-58
1.545,Bluetooth,-58
1.546,Bluetooth,-59
1.583,Bluetooth,-57
1.585,Bluetooth,-59
1.615,Bluetooth,-62
1.616,Bluetooth,-62
1.644,Bluetooth,-59
1.645,Bluetooth,-59
1.678,Bluetooth,-58
1.679,Bluetooth,-59
1.717,Bluetooth,-61
1.718,Bluetooth,-62
1.746,Bluetooth,-61
1.748,Bluetooth,-63
1.786,Bluetooth,-60
1.787,Bluetooth,-59
1.817,Bluetooth,-59
1.853,Bluetooth,-60
1.854,Bluetooth,-60
1.922,Bluetooth,-61
1.922,Bluetooth,-62
1.964,Bluetooth,-59
1.966,Bluetooth,-58
2.058,Bluetooth,-66
2.060,Bluetooth,-67
2.090,Bluetooth,-57
2.091,Bluetooth,-58
2.120,Bluetooth,-66
2.122,Bluetooth,-67
2.156,Bluetooth,-64
2.157,Bluetooth,-64
2.188,Bluetooth,-65
2.190,Bluetooth,-66
2.222,Bluetooth,-58
2.223,Bluetooth,-57
2.254,Bluetooth,-68
2.255,Bluetooth,-68
2.293,Bluetooth,-63
2.295,Bluetooth,-63
2.332,Bluetooth,-57
2.333,Bluetooth,-56
2.361,Bluetooth,-67
2.363,Bluetooth,-68
2.397,Bluetooth,-63
2.399,Bluetooth,-64
2.438,Bluetooth,-57
2.439,Bluetooth,-58
2.575,Bluetooth,-56
2.577,Bluetooth,-57
2.611,Bluetooth,-65
2.613,Bluetooth,-66
2.644,Bluetooth,-60
2.645,Bluetooth,-60
2.678,Bluetooth,-56
2.680,Bluetooth,-58
2.744,Bluetooth,-67
2.745,Bluetooth,-67
2.778,Bluetooth,-64
2.780,Bluetooth,-64
2.809,Bluetooth,-57
2.810,Bluetooth,-58
2.840,Bluetooth,-66
2.841,Bluetooth,-66
2.877,Bluetooth,-65
2.878,Bluetooth,-64
2.916,Bluetooth,-65
2.918,Bluetooth,-65
2.986,Bluetooth,-60
2.987,Bluetooth,-60
3.020,Bluetooth,-64
3.021,Bluetooth,-64
3.057,Bluetooth,-57
3.058,Bluetooth,-58
3.094,Bluetooth,-66
3.095,Bluetooth,-66
3.127,Bluetooth,-63
3.129,Bluetooth,-64
3.166,Bluetooth,-58
3.168,Bluetooth,-58
3.205,Bluetooth,-66
3.206,Bluetooth,-67
3.236,Bluetooth,-63
3.238,Bluetooth,-63
3.277,Bluetooth,-57
3.278,Bluetooth,-58
3.349,Bluetooth,-69
3.351,Bluetooth,-69
3.491,Bluetooth,-64
3.492,Bluetooth,-63
3.525,Bluetooth,-58
3.527,Bluetooth,-57
3.559,Bluetooth,-69
3.560,Bluetooth,-69
3.590,Bluetooth,-68
3.591,Bluetooth,-68
3.808,Bluetooth,-66
3.809,Bluetooth,-66
3.878,Bluetooth,-58
3.879,Bluetooth,-60
61.381,Bluetooth,-88
61.382,Bluetooth,-87
61.417,Bluetooth,-69
61.418,Bluetooth,-68
61.451,Bluetooth,-82
61.453,Bluetooth,-82
61.483,Bluetooth,-88
61.520,Bluetooth,-70
61.522,Bluetooth,-69
61.560,Bluetooth,-82
61.561,Bluetooth,-82
61.590,Bluetooth,-83
61.591,Bluetooth,-82
