Distance,6.0
TXDevice,iPhone11_Pro
TXPower,7
RXDevice,iPhoneXR
0.005,Bluetooth,-72
0.007,Bluetooth,-72
0.040,Bluetooth,-64
0.070,Bluetooth,-76
0.178,Bluetooth,-67
0.180,Bluetooth,-69
0.212,Bluetooth,-62
0.214,Bluetooth,-63
0.244,Bluetooth,-59
0.246,Bluetooth,-59
0.285,Bluetooth,-75
0.286,Bluetooth,-76
0.319,Bluetooth,-63
0.321,Bluetooth,-64
0.350,Bluetooth,-66
0.352,Bluetooth,-67
0.424,Bluetooth,-66
0.426,Bluetooth,-66
0.462,Bluetooth,-62
0.463,Bluetooth,-64
0.499,Bluetooth,-63
0.500,Bluetooth,-63
0.531,Bluetooth,-71
0.531,Bluetooth,-71
0.559,Bluetooth,-91
0.591,Bluetooth,-67
0.593,Bluetooth,-67
0.629,Bluetooth,-71
0.631,Bluetooth,-71
0.667,Bluetooth,-81
0.668,Bluetooth,-82
0.710,Bluetooth,-69
0.712,Bluetooth,-69
0.860,Bluetooth,-72
0.861,Bluetooth,-72
0.890,Bluetooth,-72
0.891,Bluetooth,-72
0.921,Bluetooth,-68
0.922,Bluetooth,-67
0.961,Bluetooth,-82
0.962,Bluetooth,-82
0.995,Bluetooth,-72
1.065,Bluetooth,-68
1.067,Bluetooth,-69
1.095,Bluetooth,-75
1.098,Bluetooth,-74
1.164,Bluetooth,-67
1.165,Bluetooth,-67
1.195,Bluetooth,-66
1.197,Bluetooth,-66
1.292,Bluetooth,-60
1.293,Bluetooth,-60
1.329,Bluetooth,-61
1.331,Bluetooth,-60
1.362,Bluetooth,-57
1.364,Bluetooth,-57
1.534,Bluetooth,-59
1.535,Bluetooth,-59
1.568,Bluetooth,-62
1.570,Bluetooth,-62
1.598,Bluetooth,-58
1.600,Bluetooth,-58
1.632,Bluetooth,-59
1.633,Bluetooth,-60
1.666,Bluetooth,-62
1.777,Bluetooth,-59
1.778,Bluetooth,-59
1.811,Bluetooth,-63
1.813,Bluetooth,-62
1.842,Bluetooth,-55
1.844,Bluetooth,-54
1.873,Bluetooth,-59
1.874,Bluetooth,-60
1.911,Bluetooth,-61
1.913,Bluetooth,-62
1.978,Bluetooth,-67
1.980,Bluetooth,-67
2.016,Bluetooth,-65
2.018,Bluetooth,-66
2.095,Bluetooth,-65
2.099,Bluetooth,-65
2.130,Bluetooth,-61
2.131,Bluetooth,-62
2.203,Bluetooth,-59
2.205,Bluetooth,-58
2.243,Bluetooth,-70
2.245,Bluetooth,-71
2.284,Bluetooth,-72
2.391,Bluetooth,-66
2.393,Bluetooth,-65
2.429,Bluetooth,-61
2.431,Bluetooth,-62
2.461,Bluetooth,-64
2.462,Bluetooth,-62
2.489,Bluetooth,-68
2.490,Bluetooth,-67
2.530,Bluetooth,-67
2.531,Bluetooth,-66
2.596,Bluetooth,-72
2.597,Bluetooth,-71
2.637,Bluetooth,-66
2.638,Bluetooth,-66
2.673,Bluetooth,-68
2.675,Bluetooth,-67
2.713,Bluetooth,-71
2.714,Bluetooth,-71
2.754,Bluetooth,-69
2.755,Bluetooth,-69
2.786,Bluetooth,-64
2.787,Bluetooth,-64
2.858,Bluetooth,-67
2.860,Bluetooth,-68
2.888,Bluetooth,-69
2.890,Bluetooth,-70
2.922,Bluetooth,-63
2.923,Bluetooth,-62
3.028,Bluetooth,-62
3.030,Bluetooth,-62
3.064,Bluetooth,-62
3.065,Bluetooth,-62
3.099,Bluetooth,-67
3.100,Bluetooth,-67
3.136,Bluetooth,-69
3.137,Bluetooth,-72
3.171,Bluetooth,-62
3.172,Bluetooth,-62
3.203,Bluetooth,-69
3.204,Bluetooth,-66
3.350,Bluetooth,-72
3.351,Bluetooth,-72
3.380,Bluetooth,-72
3.381,Bluetooth,-72
3.448,Bluetooth,-66
3.449,Bluetooth,-66
3.481,Bluetooth,-72
3.483,Bluetooth,-71
3.517,Bluetooth,-61
3.518,Bluetooth,-61
3.549,Bluetooth,-65
3.551,Bluetooth,-64
3.619,Bluetooth,-72
3.620,Bluetooth,-71
3.656,Bluetooth,-59
3.657,Bluetooth,-61
3.722,Bluetooth,-71
3.724,Bluetooth,-72
3.758,Bluetooth,-59
3.847,Bluetooth,-71
3.849,Bluetooth,-71
3.878,Bluetooth,-59
3.880,Bluetooth,-58
3.981,Bluetooth,-71
3.982,Bluetooth,-70
15.754,Bluetooth,-59
15.755,Bluetooth,-59
15.786,Bluetooth,-68
15.788,Bluetooth,-67
15.819,Bluetooth,-61
15.821,Bluetooth,-62
15.855,Bluetooth,-59
15.856,Bluetooth,-59
15.920,Bluetooth,-69
15.921,Bluetooth,-69
15.951,Bluetooth,-64
15.953,Bluetooth,-64
15.984,Bluetooth,-58
15.985,Bluetooth,-60
16.018,Bluetooth,-66
16.019,Bluetooth,-67
16.060,Bluetooth,-62
16.061,Bluetooth,-62
16.098,Bluetooth,-59
16.100,Bluetooth,-59
16.198,Bluetooth,-63
16.199,Bluetooth,-63
16.239,Bluetooth,-59
16.240,Bluetooth,-59
16.267,Bluetooth,-66
16.269,Bluetooth,-66
16.299,Bluetooth,-62
16.301,Bluetooth,-61
16.336,Bluetooth,-59
16.337,Bluetooth,-59
16.402,Bluetooth,-66
16.404,Bluetooth,-66
16.443,Bluetooth,-61
16.445,Bluetooth,-60
16.484,Bluetooth,-60
16.485,Bluetooth,-60
16.516,Bluetooth,-64
16.518,Bluetooth,-65
16.549,Bluetooth,-61
16.551,Bluetooth,-62
16.583,Bluetooth,-60
16.584,Bluetooth,-60
16.620,Bluetooth,-62
16.621,Bluetooth,-63
16.660,Bluetooth,-61
16.661,Bluetooth,-61
16.699,Bluetooth,-60
16.700,Bluetooth,-60
16.729,Bluetooth,-61
16.730,Bluetooth,-62
16.762,Bluetooth,-61
16.764,Bluetooth,-61
16.839,Bluetooth,-61
16.840,Bluetooth,-61
16.875,Bluetooth,-61
16.877,Bluetooth,-61
16.912,Bluetooth,-59
16.914,Bluetooth,-60
16.945,Bluetooth,-62
16.948,Bluetooth,-62
16.978,Bluetooth,-61
17.049,Bluetooth,-60
17.050,Bluetooth,-61
17.081,Bluetooth,-60
17.083,Bluetooth,-62
17.112,Bluetooth,-62
17.113,Bluetooth,-62
17.149,Bluetooth,-60
17.151,Bluetooth,-59
