Distance,15.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
0.000,Bluetooth,-64
0.001,Bluetooth,-64
0.037,Bluetooth,-66
0.038,Bluetooth,-67
0.066,Bluetooth,-67
0.067,Bluetooth,-67
0.099,Bluetooth,-64
0.100,Bluetooth,-64
0.191,Bluetooth,-69
0.219,Bluetooth,-65
0.220,Bluetooth,-63
0.254,Bluetooth,-67
0.255,Bluetooth,-67
0.319,Bluetooth,-70
0.320,Bluetooth,-70
0.348,Bluetooth,-66
0.349,Bluetooth,-65
0.380,Bluetooth,-70
0.382,Bluetooth,-70
0.414,Bluetooth,-68
0.415,Bluetooth,-67
0.479,Bluetooth,-68
0.481,Bluetooth,-68
0.513,Bluetooth,-67
0.514,Bluetooth,-68
0.550,Bluetooth,-66
0.551,Bluetooth,-65
0.579,Bluetooth,-67
0.580,Bluetooth,-68
0.640,Bluetooth,-63
0.641,Bluetooth,-63
0.671,Bluetooth,-63
0.672,Bluetooth,-63
0.705,Bluetooth,-63
0.706,Bluetooth,-63
0.736,Bluetooth,-64
0.737,Bluetooth,-64
0.796,Bluetooth,-68
0.797,Bluetooth,-68
0.826,Bluetooth,-65
0.827,Bluetooth,-65
0.856,Bluetooth,-68
0.858,Bluetooth,-68
0.920,Bluetooth,-69
0.950,Bluetooth,-61
0.951,Bluetooth,-61
0.982,Bluetooth,-66
0.982,Bluetooth,-67
1.017,Bluetooth,-67
1.018,Bluetooth,-67
1.114,Bluetooth,-60
1.116,Bluetooth,-60
1.151,Bluetooth,-64
1.152,Bluetooth,-64
1.185,Bluetooth,-57
1.185,Bluetooth,-58
1.219,Bluetooth,-59
1.220,Bluetooth,-59
1.314,Bluetooth,-63
1.316,Bluetooth,-64
1.349,Bluetooth,-55
1.349,Bluetooth,-56
1.415,Bluetooth,-64
1.416,Bluetooth,-64
1.508,Bluetooth,-58
1.509,Bluetooth,-58
1.539,Bluetooth,-64
1.540,Bluetooth,-65
1.596,Bluetooth,-56
1.597,Bluetooth,-55
1.629,Bluetooth,-59
1.630,Bluetooth,-59
1.663,Bluetooth,-63
1.664,Bluetooth,-63
1.693,Bluetooth,-55
1.694,Bluetooth,-55
1.790,Bluetooth,-63
1.791,Bluetooth,-63
1.819,Bluetooth,-56
1.821,Bluetooth,-57
1.883,Bluetooth,-58
1.884,Bluetooth,-59
1.942,Bluetooth,-57
1.943,Bluetooth,-55
2.039,Bluetooth,-62
2.040,Bluetooth,-62
2.068,Bluetooth,-56
2.069,Bluetooth,-57
2.103,Bluetooth,-61
2.104,Bluetooth,-61
2.134,Bluetooth,-61
2.135,Bluetooth,-61
2.195,Bluetooth,-56
2.196,Bluetooth,-57
2.225,Bluetooth,-60
2.226,Bluetooth,-60
2.258,Bluetooth,-60
2.259,Bluetooth,-60
2.319,Bluetooth,-57
2.321,Bluetooth,-57
2.356,Bluetooth,-60
2.357,Bluetooth,-61
2.385,Bluetooth,-60
2.386,Bluetooth,-61
2.417,Bluetooth,-57
2.418,Bluetooth,-57
2.479,Bluetooth,-59
2.480,Bluetooth,-59
2.540,Bluetooth,-60
2.541,Bluetooth,-61
2.602,Bluetooth,-56
2.603,Bluetooth,-56
2.635,Bluetooth,-60
2.636,Bluetooth,-61
2.665,Bluetooth,-63
2.666,Bluetooth,-62
2.699,Bluetooth,-57
2.700,Bluetooth,-57
2.792,Bluetooth,-65
2.793,Bluetooth,-65
2.822,Bluetooth,-58
2.823,Bluetooth,-58
2.855,Bluetooth,-63
2.856,Bluetooth,-61
2.923,Bluetooth,-66
2.924,Bluetooth,-66
2.956,Bluetooth,-58
2.957,Bluetooth,-57
2.992,Bluetooth,-61
2.992,Bluetooth,-61
3.023,Bluetooth,-63
3.024,Bluetooth,-64
3.118,Bluetooth,-59
3.119,Bluetooth,-59
3.149,Bluetooth,-63
3.150,Bluetooth,-62
3.182,Bluetooth,-56
3.183,Bluetooth,-56
