Distance,4.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
0.000,Bluetooth,-64
0.001,Bluetooth,-64
0.062,Bluetooth,-70
0.063,Bluetooth,-71
0.093,Bluetooth,-62
0.154,Bluetooth,-69
0.155,Bluetooth,-69
0.217,Bluetooth,-64
0.218,Bluetooth,-63
0.249,Bluetooth,-74
0.250,Bluetooth,-73
0.315,Bluetooth,-63
0.315,Bluetooth,-61
0.346,Bluetooth,-70
0.347,Bluetooth,-71
0.416,Bluetooth,-63
0.417,Bluetooth,-62
0.446,Bluetooth,-65
0.447,Bluetooth,-65
0.511,Bluetooth,-64
0.513,Bluetooth,-64
0.545,Bluetooth,-78
0.546,Bluetooth,-77
0.577,Bluetooth,-60
0.578,Bluetooth,-61
0.609,Bluetooth,-60
0.610,Bluetooth,-61
0.643,Bluetooth,-68
0.644,Bluetooth,-68
0.703,Bluetooth,-65
0.704,Bluetooth,-66
0.738,Bluetooth,-63
0.739,Bluetooth,-63
0.831,Bluetooth,-65
0.832,Bluetooth,-66
0.862,Bluetooth,-64
0.864,Bluetooth,-64
0.922,Bluetooth,-62
0.923,Bluetooth,-62
0.952,Bluetooth,-60
0.953,Bluetooth,-61
1.022,Bluetooth,-66
1.023,Bluetooth,-64
1.054,Bluetooth,-63
1.120,Bluetooth,-62
1.121,Bluetooth,-61
1.151,Bluetooth,-64
1.152,Bluetooth,-65
1.218,Bluetooth,-61
1.219,Bluetooth,-61
1.253,Bluetooth,-62
1.254,Bluetooth,-63
1.345,Bluetooth,-62
1.346,Bluetooth,-62
1.439,Bluetooth,-62
1.440,Bluetooth,-62
1.502,Bluetooth,-61
1.503,Bluetooth,-60
1.565,Bluetooth,-63
1.566,Bluetooth,-63
1.660,Bluetooth,-63
1.724,Bluetooth,-58
1.725,Bluetooth,-58
1.821,Bluetooth,-58
1.822,Bluetooth,-58
1.857,Bluetooth,-64
1.858,Bluetooth,-63
1.915,Bluetooth,-58
1.916,Bluetooth,-59
1.951,Bluetooth,-64
1.952,Bluetooth,-62
1.981,Bluetooth,-56
1.982,Bluetooth,-57
2.015,Bluetooth,-58
2.015,Bluetooth,-59
2.045,Bluetooth,-64
2.076,Bluetooth,-56
2.077,Bluetooth,-57
2.110,Bluetooth,-58
2.111,Bluetooth,-59
2.171,Bluetooth,-64
2.172,Bluetooth,-65
2.200,Bluetooth,-59
2.201,Bluetooth,-61
2.326,Bluetooth,-60
2.326,Bluetooth,-61
2.356,Bluetooth,-69
2.357,Bluetooth,-70
2.424,Bluetooth,-60
2.425,Bluetooth,-59
2.518,Bluetooth,-60
2.519,Bluetooth,-60
2.549,Bluetooth,-66
2.550,Bluetooth,-66
2.587,Bluetooth,-59
2.587,Bluetooth,-58
2.612,Bluetooth,-62
2.641,Bluetooth,-67
2.642,Bluetooth,-69
2.673,Bluetooth,-65
2.674,Bluetooth,-66
2.704,Bluetooth,-61
2.705,Bluetooth,-62
2.735,Bluetooth,-65
2.736,Bluetooth,-65
2.802,Bluetooth,-61
2.804,Bluetooth,-62
2.863,Bluetooth,-64
2.864,Bluetooth,-65
2.956,Bluetooth,-65
2.957,Bluetooth,-65
3.022,Bluetooth,-62
3.023,Bluetooth,-62
3.054,Bluetooth,-65
3.056,Bluetooth,-65
3.121,Bluetooth,-62
3.122,Bluetooth,-62
3.153,Bluetooth,-66
3.155,Bluetooth,-64
3.214,Bluetooth,-62
3.215,Bluetooth,-62
3.249,Bluetooth,-65
3.250,Bluetooth,-65
3.348,Bluetooth,-65
3.348,Bluetooth,-65
3.387,Bluetooth,-58
3.388,Bluetooth,-56
3.414,Bluetooth,-63
3.415,Bluetooth,-62
3.467,Bluetooth,-62
3.563,Bluetooth,-68
3.564,Bluetooth,-69
3.627,Bluetooth,-63
3.628,Bluetooth,-61
3.659,Bluetooth,-65
3.660,Bluetooth,-64
3.720,Bluetooth,-62
3.721,Bluetooth,-62
