Distance,10.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
0.000,Bluetooth,-66
0.002,Bluetooth,-67
0.030,Bluetooth,-65
0.031,Bluetooth,-66
0.061,Bluetooth,-68
0.062,Bluetooth,-68
0.100,Bluetooth,-61
0.102,Bluetooth,-61
0.136,Bluetooth,-65
0.173,Bluetooth,-67
0.174,Bluetooth,-68
0.204,Bluetooth,-59
0.205,Bluetooth,-60
0.341,Bluetooth,-60
0.342,Bluetooth,-60
0.442,Bluetooth,-60
0.443,Bluetooth,-60
0.474,Bluetooth,-60
0.475,Bluetooth,-60
0.506,Bluetooth,-67
0.507,Bluetooth,-68
0.581,Bluetooth,-59
0.582,Bluetooth,-59
0.620,Bluetooth,-65
0.621,Bluetooth,-67
0.653,Bluetooth,-67
0.686,Bluetooth,-60
0.760,Bluetooth,-65
0.761,Bluetooth,-65
0.834,Bluetooth,-61
0.836,Bluetooth,-60
0.864,Bluetooth,-66
0.865,Bluetooth,-66
0.896,Bluetooth,-67
0.897,Bluetooth,-65
0.935,Bluetooth,-60
0.937,Bluetooth,-61
0.973,Bluetooth,-65
0.974,Bluetooth,-65
1.003,Bluetooth,-66
1.005,Bluetooth,-66
1.035,Bluetooth,-66
1.037,Bluetooth,-66
1.066,Bluetooth,-61
1.067,Bluetooth,-61
1.138,Bluetooth,-66
1.139,Bluetooth,-66
1.168,Bluetooth,-62
1.169,Bluetooth,-62
1.198,Bluetooth,-62
1.199,Bluetooth,-63
1.233,Bluetooth,-66
1.234,Bluetooth,-67
1.338,Bluetooth,-65
1.339,Bluetooth,-67
1.379,Bluetooth,-66
1.380,Bluetooth,-65
1.415,Bluetooth,-65
1.416,Bluetooth,-64
1.452,Bluetooth,-66
1.453,Bluetooth,-66
1.521,Bluetooth,-65
1.522,Bluetooth,-64
1.557,Bluetooth,-65
1.558,Bluetooth,-65
1.736,Bluetooth,-68
1.737,Bluetooth,-67
1.767,Bluetooth,-62
1.768,Bluetooth,-62
1.801,Bluetooth,-65
1.802,Bluetooth,-65
1.841,Bluetooth,-65
1.842,Bluetooth,-66
1.881,Bluetooth,-62
1.882,Bluetooth,-62
1.912,Bluetooth,-61
1.913,Bluetooth,-62
1.943,Bluetooth,-65
1.944,Bluetooth,-64
2.047,Bluetooth,-65
