Distance,10.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
0.000,Bluetooth,-69
0.001,Bluetooth,-71
0.080,Bluetooth,-71
0.111,Bluetooth,-69
0.112,Bluetooth,-69
0.157,Bluetooth,-69
0.158,Bluetooth,-69
0.222,Bluetooth,-69
0.223,Bluetooth,-70
0.258,Bluetooth,-70
0.259,Bluetooth,-71
0.296,Bluetooth,-69
0.297,Bluetooth,-70
0.373,Bluetooth,-70
0.407,Bluetooth,-69
0.408,Bluetooth,-70
0.440,Bluetooth,-70
0.475,Bluetooth,-70
0.476,Bluetooth,-69
0.516,Bluetooth,-68
0.517,Bluetooth,-70
0.579,Bluetooth,-70
0.580,Bluetooth,-71
0.658,Bluetooth,-70
0.659,Bluetooth,-70
0.690,Bluetooth,-70
0.758,Bluetooth,-69
0.759,Bluetooth,-69
0.791,Bluetooth,-69
0.825,Bluetooth,-71
0.863,Bluetooth,-70
0.864,Bluetooth,-70
0.922,Bluetooth,-70
0.923,Bluetooth,-70
0.962,Bluetooth,-69
1.109,Bluetooth,-71
1.110,Bluetooth,-70
1.144,Bluetooth,-69
1.179,Bluetooth,-70
1.180,Bluetooth,-71
1.254,Bluetooth,-68
1.357,Bluetooth,-68
1.392,Bluetooth,-68
1.461,Bluetooth,-71
1.462,Bluetooth,-70
1.502,Bluetooth,-70
1.537,Bluetooth,-72
1.573,Bluetooth,-70
1.574,Bluetooth,-70
1.638,Bluetooth,-70
1.670,Bluetooth,-71
1.671,Bluetooth,-71
1.707,Bluetooth,-70
1.708,Bluetooth,-70
1.739,Bluetooth,-70
1.740,Bluetooth,-69
1.810,Bluetooth,-70
1.849,Bluetooth,-70
1.878,Bluetooth,-72
1.879,Bluetooth,-71
1.908,Bluetooth,-70
1.942,Bluetooth,-71
1.944,Bluetooth,-70
1.978,Bluetooth,-69
1.979,Bluetooth,-68
2.013,Bluetooth,-71
2.088,Bluetooth,-69
2.117,Bluetooth,-71
2.157,Bluetooth,-70
2.158,Bluetooth,-71
2.189,Bluetooth,-71
2.228,Bluetooth,-69
2.229,Bluetooth,-70
2.259,Bluetooth,-71
2.290,Bluetooth,-70
2.291,Bluetooth,-71
2.358,Bluetooth,-72
2.388,Bluetooth,-71
2.457,Bluetooth,-69
2.458,Bluetooth,-69
2.487,Bluetooth,-72
2.488,Bluetooth,-70
2.521,Bluetooth,-69
2.522,Bluetooth,-69
2.557,Bluetooth,-68
2.558,Bluetooth,-69
2.625,Bluetooth,-70
2.626,Bluetooth,-71
2.664,Bluetooth,-70
2.665,Bluetooth,-71
2.704,Bluetooth,-69
2.705,Bluetooth,-69
2.736,Bluetooth,-71
2.737,Bluetooth,-71
2.769,Bluetooth,-71
2.771,Bluetooth,-70
2.808,Bluetooth,-69
2.809,Bluetooth,-70
2.837,Bluetooth,-70
2.839,Bluetooth,-71
2.909,Bluetooth,-71
2.911,Bluetooth,-71
2.940,Bluetooth,-69
3.048,Bluetooth,-69
3.049,Bluetooth,-68
3.081,Bluetooth,-71
3.183,Bluetooth,-69
3.184,Bluetooth,-69
3.222,Bluetooth,-70
3.262,Bluetooth,-70
3.263,Bluetooth,-70
3.302,Bluetooth,-69
3.303,Bluetooth,-69
3.368,Bluetooth,-70
3.370,Bluetooth,-70
3.407,Bluetooth,-69
3.408,Bluetooth,-70
3.437,Bluetooth,-71
3.477,Bluetooth,-69
3.478,Bluetooth,-70
3.546,Bluetooth,-68
3.547,Bluetooth,-70
3.584,Bluetooth,-72
3.664,Bluetooth,-69
3.665,Bluetooth,-70
3.696,Bluetooth,-71
3.697,Bluetooth,-71
3.730,Bluetooth,-70
3.731,Bluetooth,-70
3.764,Bluetooth,-69
3.765,Bluetooth,-69
3.797,Bluetooth,-71
3.915,Bluetooth,-72
3.916,Bluetooth,-72
3.945,Bluetooth,-71
3.946,Bluetooth,-71
