Distance,4.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
0.052,Bluetooth,-73
0.179,Bluetooth,-71
0.219,Bluetooth,-61
0.220,Bluetooth,-62
0.252,Bluetooth,-72
0.390,Bluetooth,-71
0.528,Bluetooth,-70
0.563,Bluetooth,-61
0.564,Bluetooth,-62
0.600,Bluetooth,-73
0.746,Bluetooth,-71
0.747,Bluetooth,-72
0.786,Bluetooth,-64
0.787,Bluetooth,-66
0.820,Bluetooth,-62
0.821,Bluetooth,-62
0.852,Bluetooth,-74
0.853,Bluetooth,-74
0.893,Bluetooth,-69
0.894,Bluetooth,-70
0.928,Bluetooth,-62
0.929,Bluetooth,-61
1.037,Bluetooth,-61
1.039,Bluetooth,-62
1.135,Bluetooth,-69
1.137,Bluetooth,-69
1.171,Bluetooth,-62
1.173,Bluetooth,-61
1.207,Bluetooth,-74
1.207,Bluetooth,-75
1.241,Bluetooth,-69
1.242,Bluetooth,-68
1.319,Bluetooth,-75
1.355,Bluetooth,-69
1.356,Bluetooth,-70
1.388,Bluetooth,-61
1.390,Bluetooth,-63
1.427,Bluetooth,-75
1.462,Bluetooth,-74
1.463,Bluetooth,-75
1.570,Bluetooth,-74
1.669,Bluetooth,-73
1.708,Bluetooth,-68
1.709,Bluetooth,-68
1.814,Bluetooth,-73
1.816,Bluetooth,-73
1.953,Bluetooth,-68
1.954,Bluetooth,-69
1.993,Bluetooth,-62
1.994,Bluetooth,-61
2.025,Bluetooth,-72
2.027,Bluetooth,-73
2.101,Bluetooth,-69
2.102,Bluetooth,-69
2.141,Bluetooth,-61
2.307,Bluetooth,-75
2.381,Bluetooth,-60
2.452,Bluetooth,-69
2.554,Bluetooth,-71
2.555,Bluetooth,-70
2.659,Bluetooth,-70
2.696,Bluetooth,-73
2.698,Bluetooth,-73
2.731,Bluetooth,-61
2.732,Bluetooth,-61
2.763,Bluetooth,-68
2.764,Bluetooth,-68
2.836,Bluetooth,-63
2.875,Bluetooth,-71
2.876,Bluetooth,-70
2.914,Bluetooth,-72
2.915,Bluetooth,-72
2.948,Bluetooth,-65
2.950,Bluetooth,-65
3.018,Bluetooth,-70
3.019,Bluetooth,-70
3.056,Bluetooth,-69
3.057,Bluetooth,-70
3.154,Bluetooth,-66
3.156,Bluetooth,-65
3.228,Bluetooth,-69
3.229,Bluetooth,-70
3.342,Bluetooth,-64
3.343,Bluetooth,-65
3.371,Bluetooth,-69
3.403,Bluetooth,-64
3.404,Bluetooth,-63
