Distance,10.0
TXDevice,iPhone6s
TXPower,12
RXDevice,iPhone6s
0.000,Bluetooth,-74
0.001,Bluetooth,-73
0.031,Bluetooth,-75
0.032,Bluetooth,-76
0.062,Bluetooth,-76
0.063,Bluetooth,-75
0.092,Bluetooth,-76
0.094,Bluetooth,-77
0.123,Bluetooth,-72
0.124,Bluetooth,-71
0.155,Bluetooth,-75
0.156,Bluetooth,-75
0.185,Bluetooth,-77
0.187,Bluetooth,-77
0.218,Bluetooth,-73
0.218,Bluetooth,-72
0.248,Bluetooth,-73
0.249,Bluetooth,-74
0.279,Bluetooth,-75
0.281,Bluetooth,-76
0.310,Bluetooth,-76
0.312,Bluetooth,-77
0.341,Bluetooth,-74
0.342,Bluetooth,-74
0.376,Bluetooth,-75
0.378,Bluetooth,-76
0.408,Bluetooth,-75
0.410,Bluetooth,-75
0.436,Bluetooth,-76
0.437,Bluetooth,-78
0.470,Bluetooth,-73
0.471,Bluetooth,-73
0.506,Bluetooth,-76
0.507,Bluetooth,-75
0.567,Bluetooth,-77
0.568,Bluetooth,-77
0.600,Bluetooth,-75
0.601,Bluetooth,-74
0.632,Bluetooth,-74
0.634,Bluetooth,-74
0.664,Bluetooth,-78
0.665,Bluetooth,-78
0.697,Bluetooth,-74
0.698,Bluetooth,-73
0.727,Bluetooth,-72
0.728,Bluetooth,-73
0.758,Bluetooth,-76
0.760,Bluetooth,-77
0.790,Bluetooth,-78
0.791,Bluetooth,-78
0.820,Bluetooth,-74
0.821,Bluetooth,-73
0.853,Bluetooth,-75
0.854,Bluetooth,-75
0.888,Bluetooth,-78
0.889,Bluetooth,-78
0.917,Bluetooth,-78
0.918,Bluetooth,-79
0.948,Bluetooth,-74
0.950,Bluetooth,-74
0.979,Bluetooth,-79
0.981,Bluetooth,-78
1.012,Bluetooth,-76
1.013,Bluetooth,-77
1.040,Bluetooth,-78
1.041,Bluetooth,-77
1.071,Bluetooth,-75
1.072,Bluetooth,-75
1.102,Bluetooth,-77
1.103,Bluetooth,-76
1.164,Bluetooth,-79
1.165,Bluetooth,-79
1.199,Bluetooth,-77
1.200,Bluetooth,-76
1.229,Bluetooth,-76
1.229,Bluetooth,-77
1.259,Bluetooth,-79
1.260,Bluetooth,-79
1.289,Bluetooth,-81
1.290,Bluetooth,-80
1.323,Bluetooth,-78
1.324,Bluetooth,-78
1.357,Bluetooth,-75
1.359,Bluetooth,-76
1.386,Bluetooth,-81
1.387,Bluetooth,-81
1.418,Bluetooth,-78
1.419,Bluetooth,-76
1.449,Bluetooth,-76
1.484,Bluetooth,-78
1.484,Bluetooth,-77
1.517,Bluetooth,-80
1.518,Bluetooth,-80
1.549,Bluetooth,-76
1.550,Bluetooth,-77
1.582,Bluetooth,-79
1.583,Bluetooth,-78
1.612,Bluetooth,-78
1.613,Bluetooth,-80
1.642,Bluetooth,-79
1.644,Bluetooth,-80
1.673,Bluetooth,-77
1.675,Bluetooth,-76
1.708,Bluetooth,-78
1.710,Bluetooth,-79
1.737,Bluetooth,-79
1.738,Bluetooth,-79
1.770,Bluetooth,-79
1.772,Bluetooth,-79
1.803,Bluetooth,-76
1.804,Bluetooth,-75
1.839,Bluetooth,-77
1.840,Bluetooth,-77
1.868,Bluetooth,-77
1.869,Bluetooth,-78
1.899,Bluetooth,-76
1.900,Bluetooth,-76
1.932,Bluetooth,-74
1.933,Bluetooth,-74
1.962,Bluetooth,-75
1.964,Bluetooth,-75
1.993,Bluetooth,-79
1.995,Bluetooth,-80
2.024,Bluetooth,-74
2.025,Bluetooth,-74
2.054,Bluetooth,-73
2.055,Bluetooth,-74
2.084,Bluetooth,-76
2.085,Bluetooth,-75
2.113,Bluetooth,-78
2.114,Bluetooth,-78
2.144,Bluetooth,-72
2.145,Bluetooth,-75
2.174,Bluetooth,-71
2.175,Bluetooth,-72
2.205,Bluetooth,-75
2.206,Bluetooth,-75
2.235,Bluetooth,-77
2.237,Bluetooth,-77
2.269,Bluetooth,-71
2.270,Bluetooth,-72
2.301,Bluetooth,-75
2.302,Bluetooth,-75
2.331,Bluetooth,-75
2.332,Bluetooth,-75
2.363,Bluetooth,-77
2.365,Bluetooth,-75
2.394,Bluetooth,-72
2.395,Bluetooth,-73
2.429,Bluetooth,-74
2.430,Bluetooth,-74
2.460,Bluetooth,-77
2.462,Bluetooth,-78
2.490,Bluetooth,-76
2.494,Bluetooth,-78
2.522,Bluetooth,-72
2.523,Bluetooth,-71
2.557,Bluetooth,-74
2.558,Bluetooth,-75
2.585,Bluetooth,-76
2.587,Bluetooth,-76
2.617,Bluetooth,-72
2.618,Bluetooth,-72
2.653,Bluetooth,-71
2.654,Bluetooth,-71
2.684,Bluetooth,-74
2.685,Bluetooth,-74
2.717,Bluetooth,-75
2.718,Bluetooth,-78
2.749,Bluetooth,-72
2.750,Bluetooth,-72
2.779,Bluetooth,-73
2.781,Bluetooth,-74
2.810,Bluetooth,-75
2.812,Bluetooth,-74
2.840,Bluetooth,-76
2.841,Bluetooth,-75
2.876,Bluetooth,-71
2.879,Bluetooth,-72
2.911,Bluetooth,-74
2.912,Bluetooth,-74
2.944,Bluetooth,-77
2.945,Bluetooth,-77
2.974,Bluetooth,-72
2.976,Bluetooth,-72
3.005,Bluetooth,-71
3.006,Bluetooth,-72
3.037,Bluetooth,-74
3.038,Bluetooth,-74
3.069,Bluetooth,-77
3.070,Bluetooth,-77
3.101,Bluetooth,-72
3.102,Bluetooth,-72
3.131,Bluetooth,-71
3.132,Bluetooth,-72
3.162,Bluetooth,-74
3.164,Bluetooth,-74
3.190,Bluetooth,-75
3.191,Bluetooth,-76
3.224,Bluetooth,-72
3.225,Bluetooth,-71
3.257,Bluetooth,-75
3.258,Bluetooth,-74
3.287,Bluetooth,-76
3.288,Bluetooth,-74
3.315,Bluetooth,-77
3.316,Bluetooth,-77
3.347,Bluetooth,-72
3.348,Bluetooth,-73
3.379,Bluetooth,-75
3.381,Bluetooth,-76
3.410,Bluetooth,-75
3.412,Bluetooth,-76
3.439,Bluetooth,-76
3.440,Bluetooth,-76
3.471,Bluetooth,-71
3.472,Bluetooth,-73
3.504,Bluetooth,-75
3.505,Bluetooth,-77
3.536,Bluetooth,-77
3.537,Bluetooth,-77
3.567,Bluetooth,-77
3.568,Bluetooth,-77
3.600,Bluetooth,-71
3.601,Bluetooth,-72
3.634,Bluetooth,-76
3.635,Bluetooth,-76
3.668,Bluetooth,-77
3.669,Bluetooth,-77
3.701,Bluetooth,-72
3.702,Bluetooth,-73
3.733,Bluetooth,-72
3.734,Bluetooth,-73
3.763,Bluetooth,-76
3.765,Bluetooth,-75
3.795,Bluetooth,-76
3.796,Bluetooth,-78
3.825,Bluetooth,-73
3.826,Bluetooth,-74
3.858,Bluetooth,-76
3.860,Bluetooth,-76
3.892,Bluetooth,-75
3.894,Bluetooth,-76
3.923,Bluetooth,-77
3.924,Bluetooth,-78
3.957,Bluetooth,-73
3.958,Bluetooth,-73
148.043,Bluetooth,-74
148.044,Bluetooth,127
148.074,Bluetooth,-81
148.075,Bluetooth,-80
148.104,Bluetooth,-77
148.105,Bluetooth,128
