Distance,15.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
0.000,Bluetooth,-57
0.001,Bluetooth,-58
0.031,Bluetooth,-55
0.066,Bluetooth,-56
0.107,Bluetooth,-58
0.170,Bluetooth,-56
0.250,Bluetooth,-59
0.251,Bluetooth,-60
0.279,Bluetooth,-54
0.280,Bluetooth,-54
0.316,Bluetooth,-56
0.317,Bluetooth,-55
0.347,Bluetooth,-58
0.348,Bluetooth,-58
0.383,Bluetooth,-55
0.384,Bluetooth,-55
0.413,Bluetooth,-54
0.414,Bluetooth,-56
0.446,Bluetooth,-54
0.447,Bluetooth,-63
0.481,Bluetooth,-55
0.482,Bluetooth,-55
0.513,Bluetooth,-59
0.514,Bluetooth,-58
0.753,Bluetooth,-63
0.754,Bluetooth,-63
0.789,Bluetooth,-65
0.790,Bluetooth,-65
0.824,Bluetooth,-65
0.825,Bluetooth,-65
0.864,Bluetooth,-63
0.865,Bluetooth,-64
0.901,Bluetooth,-65
0.902,Bluetooth,-65
0.968,Bluetooth,-61
0.969,Bluetooth,-62
1.042,Bluetooth,-54
1.043,Bluetooth,-53
1.070,Bluetooth,-53
1.107,Bluetooth,-55
1.108,Bluetooth,-56
1.176,Bluetooth,-53
1.177,Bluetooth,-53
1.213,Bluetooth,-53
1.214,Bluetooth,-52
1.246,Bluetooth,-52
1.247,Bluetooth,-52
1.282,Bluetooth,-57
1.284,Bluetooth,-56
1.318,Bluetooth,-53
1.319,Bluetooth,-54
1.353,Bluetooth,-52
1.354,Bluetooth,-53
1.388,Bluetooth,-55
1.389,Bluetooth,-56
1.614,Bluetooth,-57
1.615,Bluetooth,-50
1.648,Bluetooth,-76
1.649,Bluetooth,-76
1.687,Bluetooth,-59
1.688,Bluetooth,-60
1.717,Bluetooth,-50
1.718,Bluetooth,-50
1.747,Bluetooth,-66
1.749,Bluetooth,-66
1.791,Bluetooth,-65
1.792,Bluetooth,-63
1.897,Bluetooth,-65
1.898,Bluetooth,-66
1.928,Bluetooth,-57
1.929,Bluetooth,-58
1.962,Bluetooth,-51
1.964,Bluetooth,-52
1.991,Bluetooth,-60
1.993,Bluetooth,-61
2.028,Bluetooth,-57
2.029,Bluetooth,-57
2.125,Bluetooth,-61
2.126,Bluetooth,-61
2.190,Bluetooth,-53
2.192,Bluetooth,-54
2.222,Bluetooth,-63
2.223,Bluetooth,-62
2.262,Bluetooth,-56
2.263,Bluetooth,-56
2.293,Bluetooth,-56
2.294,Bluetooth,-56
2.325,Bluetooth,-54
2.326,Bluetooth,-54
2.354,Bluetooth,-61
2.394,Bluetooth,-54
2.396,Bluetooth,-54
2.470,Bluetooth,-54
2.471,Bluetooth,-55
2.507,Bluetooth,-53
2.509,Bluetooth,-53
2.574,Bluetooth,-66
2.575,Bluetooth,-65
2.602,Bluetooth,-54
2.604,Bluetooth,-55
2.642,Bluetooth,-55
2.643,Bluetooth,-55
2.677,Bluetooth,-60
2.678,Bluetooth,-61
2.715,Bluetooth,-55
2.716,Bluetooth,-55
2.753,Bluetooth,-57
2.755,Bluetooth,-59
2.855,Bluetooth,-57
2.856,Bluetooth,-57
2.885,Bluetooth,-58
2.886,Bluetooth,-58
2.921,Bluetooth,-59
2.922,Bluetooth,-61
2.957,Bluetooth,-56
2.958,Bluetooth,-56
2.996,Bluetooth,-57
2.997,Bluetooth,-58
3.030,Bluetooth,-60
3.031,Bluetooth,-62
3.065,Bluetooth,-56
3.066,Bluetooth,-56
3.097,Bluetooth,-57
3.099,Bluetooth,-56
3.138,Bluetooth,-56
3.140,Bluetooth,-57
3.169,Bluetooth,-60
3.171,Bluetooth,-62
3.204,Bluetooth,-55
3.205,Bluetooth,-56
3.245,Bluetooth,-57
3.246,Bluetooth,-57
3.276,Bluetooth,-60
3.278,Bluetooth,-61
3.306,Bluetooth,-54
3.307,Bluetooth,-55
3.387,Bluetooth,-60
3.388,Bluetooth,-60
3.424,Bluetooth,-55
3.425,Bluetooth,-55
3.491,Bluetooth,-56
3.493,Bluetooth,-56
3.528,Bluetooth,-62
3.530,Bluetooth,-62
3.560,Bluetooth,-55
3.708,Bluetooth,-56
3.710,Bluetooth,-55
3.748,Bluetooth,-61
3.749,Bluetooth,-63
3.781,Bluetooth,-55
3.782,Bluetooth,-55
3.815,Bluetooth,-57
3.816,Bluetooth,-57
3.849,Bluetooth,-56
3.850,Bluetooth,-56
3.887,Bluetooth,-62
3.888,Bluetooth,-63
3.916,Bluetooth,-56
3.917,Bluetooth,-56
76.266,Bluetooth,-64
76.267,Bluetooth,-64
76.298,Bluetooth,-64
76.299,Bluetooth,-65
76.331,Bluetooth,-59
76.332,Bluetooth,-59
76.360,Bluetooth,-76
76.361,Bluetooth,-74
76.478,Bluetooth,-70
76.517,Bluetooth,-64
76.518,Bluetooth,-64
76.555,Bluetooth,-57
76.557,Bluetooth,-56
