Distance,6.0
TXDevice,iPhone6s
TXPower,12
RXDevice,iPhone6s
0.000,Bluetooth,-71
0.001,Bluetooth,-70
0.059,Bluetooth,-68
0.060,Bluetooth,-69
0.094,Bluetooth,128
0.127,Bluetooth,-70
0.129,Bluetooth,-71
0.224,Bluetooth,-70
0.225,Bluetooth,-69
0.258,Bluetooth,-71
0.259,Bluetooth,-72
0.290,Bluetooth,-69
0.291,Bluetooth,-69
0.326,Bluetooth,-70
0.327,Bluetooth,-69
0.357,Bluetooth,-71
0.358,Bluetooth,-70
0.387,Bluetooth,-70
0.388,Bluetooth,-70
0.416,Bluetooth,-69
0.417,Bluetooth,-70
0.451,Bluetooth,-71
0.452,Bluetooth,-68
0.482,Bluetooth,-69
0.483,Bluetooth,-70
0.513,Bluetooth,-70
0.514,Bluetooth,-69
0.545,Bluetooth,-70
0.547,Bluetooth,-71
0.674,Bluetooth,-72
0.675,Bluetooth,-73
0.986,Bluetooth,-69
0.987,Bluetooth,-68
1.014,Bluetooth,-71
1.016,Bluetooth,-72
1.049,Bluetooth,-71
1.050,Bluetooth,-72
1.181,Bluetooth,-73
1.183,Bluetooth,-71
1.211,Bluetooth,-69
1.213,Bluetooth,-69
1.244,Bluetooth,-69
1.247,Bluetooth,-71
1.277,Bluetooth,-69
1.279,Bluetooth,-68
1.312,Bluetooth,-71
1.314,Bluetooth,-71
1.343,Bluetooth,-70
1.344,Bluetooth,-70
1.372,Bluetooth,-69
1.373,Bluetooth,-67
1.407,Bluetooth,-66
1.408,Bluetooth,-65
1.472,Bluetooth,-68
1.473,Bluetooth,-69
1.505,Bluetooth,-67
1.507,Bluetooth,-70
1.540,Bluetooth,-65
1.541,Bluetooth,-65
1.572,Bluetooth,-70
1.573,Bluetooth,-68
1.603,Bluetooth,-68
1.604,Bluetooth,-68
1.635,Bluetooth,-65
1.637,Bluetooth,-65
1.667,Bluetooth,-65
1.667,Bluetooth,-66
1.729,Bluetooth,-69
1.732,Bluetooth,-69
1.760,Bluetooth,-66
1.761,Bluetooth,-66
1.858,Bluetooth,-70
1.859,Bluetooth,-69
1.983,Bluetooth,-69
1.985,Bluetooth,-69
2.014,Bluetooth,-67
2.015,Bluetooth,-65
2.045,Bluetooth,-68
2.047,Bluetooth,-70
2.073,Bluetooth,-69
2.074,Bluetooth,-71
2.105,Bluetooth,-69
2.106,Bluetooth,-69
2.138,Bluetooth,-66
2.140,Bluetooth,-66
2.303,Bluetooth,127
2.335,Bluetooth,-71
2.336,Bluetooth,-71
2.369,Bluetooth,-68
2.370,Bluetooth,-66
2.401,Bluetooth,-69
2.402,Bluetooth,-69
2.436,Bluetooth,-69
2.437,Bluetooth,-71
2.501,Bluetooth,-67
2.502,Bluetooth,-67
2.532,Bluetooth,-70
2.533,Bluetooth,-71
2.561,Bluetooth,-71
2.563,Bluetooth,-71
2.621,Bluetooth,-67
2.622,Bluetooth,-67
2.652,Bluetooth,-70
2.653,Bluetooth,-71
2.686,Bluetooth,-73
2.687,Bluetooth,-73
2.719,Bluetooth,-64
2.720,Bluetooth,-65
2.783,Bluetooth,-72
2.784,Bluetooth,-71
2.817,Bluetooth,-71
2.818,Bluetooth,-72
2.851,Bluetooth,-68
2.852,Bluetooth,-68
2.882,Bluetooth,-72
2.883,Bluetooth,-69
2.912,Bluetooth,126
2.942,Bluetooth,-71
2.943,Bluetooth,-73
2.977,Bluetooth,-67
2.980,Bluetooth,-67
3.008,Bluetooth,-71
3.009,Bluetooth,-71
3.042,Bluetooth,-72
3.043,Bluetooth,-72
3.073,Bluetooth,-68
3.075,Bluetooth,-67
3.103,Bluetooth,-66
3.109,Bluetooth,-68
3.137,Bluetooth,-72
3.137,Bluetooth,-72
3.168,Bluetooth,-72
3.168,Bluetooth,-71
3.199,Bluetooth,-68
3.199,Bluetooth,-67
3.231,Bluetooth,-70
3.231,Bluetooth,-73
3.261,Bluetooth,-73
3.261,Bluetooth,-71
3.289,Bluetooth,-73
3.290,Bluetooth,-74
3.320,Bluetooth,-68
3.320,Bluetooth,-66
3.354,Bluetooth,-72
3.355,Bluetooth,-71
3.387,Bluetooth,-73
3.387,Bluetooth,-73
3.421,Bluetooth,-72
3.421,Bluetooth,-72
3.454,Bluetooth,-69
3.454,Bluetooth,-71
3.484,Bluetooth,-74
3.485,Bluetooth,-73
3.513,Bluetooth,-73
3.513,Bluetooth,-74
3.543,Bluetooth,-72
3.543,Bluetooth,-74
3.574,Bluetooth,-70
3.574,Bluetooth,-70
3.607,Bluetooth,-73
3.607,Bluetooth,-72
3.636,Bluetooth,-74
3.636,Bluetooth,-73
3.667,Bluetooth,-74
3.667,Bluetooth,-73
3.730,Bluetooth,-73
3.758,Bluetooth,-75
3.759,Bluetooth,-75
3.791,Bluetooth,-72
3.792,Bluetooth,-71
3.826,Bluetooth,-70
3.827,Bluetooth,-71
3.860,Bluetooth,-70
3.861,Bluetooth,-74
3.891,Bluetooth,-71
3.892,Bluetooth,-73
3.926,Bluetooth,-70
3.927,Bluetooth,-70
3.960,Bluetooth,-73
3.961,Bluetooth,-71
134.651,Bluetooth,-75
134.652,Bluetooth,127
134.684,Bluetooth,-73
134.685,Bluetooth,126
134.715,Bluetooth,-87
134.716,Bluetooth,128
134.746,Bluetooth,-75
134.747,Bluetooth,127
134.778,Bluetooth,-74
134.779,Bluetooth,126
134.901,Bluetooth,-73
134.902,Bluetooth,127
134.962,Bluetooth,-86
134.964,Bluetooth,-88
134.991,Bluetooth,-75
134.992,Bluetooth,-73
135.024,Bluetooth,-74
135.025,Bluetooth,127
135.054,Bluetooth,-87
135.055,Bluetooth,127
135.084,Bluetooth,-87
135.085,Bluetooth,127
135.114,Bluetooth,-75
135.115,Bluetooth,-75
135.145,Bluetooth,-74
135.146,Bluetooth,127
135.175,Bluetooth,-86
135.176,Bluetooth,-87
135.206,Bluetooth,-86
135.207,Bluetooth,-85
135.234,Bluetooth,-74
135.235,Bluetooth,-76
135.265,Bluetooth,-74
135.266,Bluetooth,127
135.295,Bluetooth,-84
135.296,Bluetooth,-86
135.327,Bluetooth,-87
135.328,Bluetooth,-85
135.354,Bluetooth,-74
135.355,Bluetooth,128
135.385,Bluetooth,-74
135.387,Bluetooth,127
135.419,Bluetooth,-86
135.422,Bluetooth,127
135.482,Bluetooth,-74
135.483,Bluetooth,-75
135.517,Bluetooth,-74
135.518,Bluetooth,127
135.549,Bluetooth,-84
135.550,Bluetooth,-85
135.579,Bluetooth,-75
135.579,Bluetooth,-75
135.609,Bluetooth,-75
135.610,Bluetooth,-74
